[2026-07-21T13:00:27.970+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-07-21T13:00:28.007+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video manual__2026-07-21T13:00:21.173940+00:00 [queued]>
[2026-07-21T13:00:28.015+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video manual__2026-07-21T13:00:21.173940+00:00 [queued]>
[2026-07-21T13:00:28.017+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 3
[2026-07-21T13:00:28.028+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): build_long_video> on 2026-07-21 13:00:21.173940+00:00
[2026-07-21T13:00:28.033+0000] {standard_task_runner.py:64} INFO - Started process 252 to run task
[2026-07-21T13:00:28.036+0000] {standard_task_runner.py:90} INFO - Running: ['airflow', 'tasks', 'run', 'youtube_english_video_pipeline', 'build_long_video', 'manual__2026-07-21T13:00:21.173940+00:00', '--job-id', '25', '--raw', '--subdir', 'DAGS_FOLDER/youtube_pipeline.py', '--cfg-path', '/tmp/tmp6iu2ymoe']
[2026-07-21T13:00:28.038+0000] {standard_task_runner.py:91} INFO - Job 25: Subtask build_long_video
[2026-07-21T13:00:28.112+0000] {task_command.py:426} INFO - Running <TaskInstance: youtube_english_video_pipeline.build_long_video manual__2026-07-21T13:00:21.173940+00:00 [running]> on host 38df6585cc26
[2026-07-21T13:00:28.741+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='taky' AIRFLOW_CTX_DAG_ID='youtube_english_video_pipeline' AIRFLOW_CTX_TASK_ID='build_long_video' AIRFLOW_CTX_EXECUTION_DATE='2026-07-21T13:00:21.173940+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2026-07-21T13:00:21.173940+00:00'
[2026-07-21T13:00:28.741+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-07-21T13:00:29.574+0000] {logging_mixin.py:188} INFO - 2026-07-21 13:00:29,574 | INFO     | planner.video_planner | Planned LONG video: topic='Travel English', phrases=20
[2026-07-21T13:00:29.792+0000] {logging_mixin.py:188} INFO - 2026-07-21 13:00:29,792 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1.mp3
[2026-07-21T13:00:30.032+0000] {logging_mixin.py:188} INFO - 2026-07-21 13:00:30,032 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1.mp3
[2026-07-21T13:00:30.681+0000] {logging_mixin.py:188} INFO - 2026-07-21 13:00:30,680 | INFO     | media.image_downloader | Downloaded background image for scene='airport' -> /opt/airflow/output/images/long_1.jpg
[2026-07-21T13:00:30.682+0000] {logging_mixin.py:188} INFO - 2026-07-21 13:00:30,682 | INFO     | video.video_builder | Running ffmpeg: ffmpeg -y -i /opt/airflow/output/audio/phrase_1.mp3 -i /opt/airflow/output/audio/example_1.mp3 -filter_complex [0:a]apad=pad_dur=0.4[a0];[a0][1:a]concat=n=2:v=0:a=1[aout] -map [aout] /opt/airflow/output/videos/_tmp/long_1_raw.audio.mp3
[2026-07-21T13:00:30.905+0000] {logging_mixin.py:188} INFO - 2026-07-21 13:00:30,905 | INFO     | video.video_builder | Running ffmpeg: ffmpeg -y -loop 1 -i /opt/airflow/output/images/long_1.jpg -i /opt/airflow/output/videos/_tmp/long_1_raw.audio.mp3 -vf scale=1920:1080:force_original_aspect_ratio=increase,crop=1920:1080,drawtext=fontfile='/opt/airflow/assets/fonts/NotoSansJP-Bold.ttf':text='Could you give me a hand?':fontcolor=FFFFFF:fontsize=56:x=(w-text_w)/2:y=(h*0.35):box=1:boxcolor=black@0.45:boxborderw=20,drawtext=fontfile='/opt/airflow/assets/fonts/NotoSansJP-Bold.ttf':text='Could you give me a hand with these bags?':fontcolor=FFD54A:fontsize=33:x=(w-text_w)/2:y=(h*0.55):box=1:boxcolor=black@0.45:boxborderw=16 -c:v libx264 -tune stillimage -pix_fmt yuv420p -c:a aac -b:a 192k -shortest -r 30 /opt/airflow/output/videos/_tmp/long_1_raw.mp4
[2026-07-21T13:00:40.340+0000] {logging_mixin.py:188} INFO - 2026-07-21 13:00:40,340 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3.mp3
[2026-07-21T13:00:40.858+0000] {logging_mixin.py:188} INFO - 2026-07-21 13:00:40,858 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3.mp3
[2026-07-21T13:00:41.168+0000] {logging_mixin.py:188} INFO - 2026-07-21 13:00:41,168 | INFO     | media.image_downloader | Downloaded background image for scene='airport' -> /opt/airflow/output/images/long_3.jpg
[2026-07-21T13:00:41.170+0000] {logging_mixin.py:188} INFO - 2026-07-21 13:00:41,170 | INFO     | video.video_builder | Running ffmpeg: ffmpeg -y -i /opt/airflow/output/audio/phrase_3.mp3 -i /opt/airflow/output/audio/example_3.mp3 -filter_complex [0:a]apad=pad_dur=0.4[a0];[a0][1:a]concat=n=2:v=0:a=1[aout] -map [aout] /opt/airflow/output/videos/_tmp/long_3_raw.audio.mp3
[2026-07-21T13:00:41.417+0000] {logging_mixin.py:188} INFO - 2026-07-21 13:00:41,416 | INFO     | video.video_builder | Running ffmpeg: ffmpeg -y -loop 1 -i /opt/airflow/output/images/long_3.jpg -i /opt/airflow/output/videos/_tmp/long_3_raw.audio.mp3 -vf scale=1920:1080:force_original_aspect_ratio=increase,crop=1920:1080,drawtext=fontfile='/opt/airflow/assets/fonts/NotoSansJP-Bold.ttf':text='Is this seat taken?':fontcolor=FFFFFF:fontsize=56:x=(w-text_w)/2:y=(h*0.35):box=1:boxcolor=black@0.45:boxborderw=20,drawtext=fontfile='/opt/airflow/assets/fonts/NotoSansJP-Bold.ttf':text='Excuse me, is this seat taken?':fontcolor=FFD54A:fontsize=33:x=(w-text_w)/2:y=(h*0.55):box=1:boxcolor=black@0.45:boxborderw=16 -c:v libx264 -tune stillimage -pix_fmt yuv420p -c:a aac -b:a 192k -shortest -r 30 /opt/airflow/output/videos/_tmp/long_3_raw.mp4
[2026-07-21T13:00:45.194+0000] {logging_mixin.py:188} INFO - 2026-07-21 13:00:45,194 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_8.mp3
[2026-07-21T13:00:45.600+0000] {logging_mixin.py:188} INFO - 2026-07-21 13:00:45,600 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_8.mp3
[2026-07-21T13:00:46.688+0000] {logging_mixin.py:188} INFO - 2026-07-21 13:00:46,688 | INFO     | media.image_downloader | Downloaded background image for scene='hotel' -> /opt/airflow/output/images/long_8.jpg
[2026-07-21T13:00:46.693+0000] {logging_mixin.py:188} INFO - 2026-07-21 13:00:46,693 | INFO     | video.video_builder | Running ffmpeg: ffmpeg -y -i /opt/airflow/output/audio/phrase_8.mp3 -i /opt/airflow/output/audio/example_8.mp3 -filter_complex [0:a]apad=pad_dur=0.4[a0];[a0][1:a]concat=n=2:v=0:a=1[aout] -map [aout] /opt/airflow/output/videos/_tmp/long_8_raw.audio.mp3
[2026-07-21T13:00:46.943+0000] {logging_mixin.py:188} INFO - 2026-07-21 13:00:46,943 | INFO     | video.video_builder | Running ffmpeg: ffmpeg -y -loop 1 -i /opt/airflow/output/images/long_8.jpg -i /opt/airflow/output/videos/_tmp/long_8_raw.audio.mp3 -vf scale=1920:1080:force_original_aspect_ratio=increase,crop=1920:1080,drawtext=fontfile='/opt/airflow/assets/fonts/NotoSansJP-Bold.ttf':text='I have a reservation under Smith.':fontcolor=FFFFFF:fontsize=56:x=(w-text_w)/2:y=(h*0.35):box=1:boxcolor=black@0.45:boxborderw=20,drawtext=fontfile='/opt/airflow/assets/fonts/NotoSansJP-Bold.ttf':text='Hi, I have a reservation under Smith for tonight.':fontcolor=FFD54A:fontsize=33:x=(w-text_w)/2:y=(h*0.55):box=1:boxcolor=black@0.45:boxborderw=16 -c:v libx264 -tune stillimage -pix_fmt yuv420p -c:a aac -b:a 192k -shortest -r 30 /opt/airflow/output/videos/_tmp/long_8_raw.mp4
[2026-07-21T13:00:51.143+0000] {logging_mixin.py:188} INFO - 2026-07-21 13:00:51,143 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_15.mp3
[2026-07-21T13:00:51.723+0000] {logging_mixin.py:188} INFO - 2026-07-21 13:00:51,723 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_15.mp3
