[2026-07-23T12:37:53.247+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-07-23T12:37:53.278+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video manual__2026-07-23T12:37:48.903095+00:00 [queued]>
[2026-07-23T12:37:53.288+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video manual__2026-07-23T12:37:48.903095+00:00 [queued]>
[2026-07-23T12:37:53.290+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 3
[2026-07-23T12:37:53.299+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): build_long_video> on 2026-07-23 12:37:48.903095+00:00
[2026-07-23T12:37:53.304+0000] {standard_task_runner.py:64} INFO - Started process 3818 to run task
[2026-07-23T12:37:53.306+0000] {standard_task_runner.py:90} INFO - Running: ['airflow', 'tasks', 'run', 'youtube_english_video_pipeline', 'build_long_video', 'manual__2026-07-23T12:37:48.903095+00:00', '--job-id', '67', '--raw', '--subdir', 'DAGS_FOLDER/youtube_pipeline.py', '--cfg-path', '/tmp/tmp5j9ntmt7']
[2026-07-23T12:37:53.308+0000] {standard_task_runner.py:91} INFO - Job 67: Subtask build_long_video
[2026-07-23T12:37:53.371+0000] {task_command.py:426} INFO - Running <TaskInstance: youtube_english_video_pipeline.build_long_video manual__2026-07-23T12:37:48.903095+00:00 [running]> on host 78117f1d7858
[2026-07-23T12:37:53.547+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='taky' AIRFLOW_CTX_DAG_ID='youtube_english_video_pipeline' AIRFLOW_CTX_TASK_ID='build_long_video' AIRFLOW_CTX_EXECUTION_DATE='2026-07-23T12:37:48.903095+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2026-07-23T12:37:48.903095+00:00'
[2026-07-23T12:37:53.547+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-07-23T12:37:53.996+0000] {logging_mixin.py:188} INFO - 2026-07-23 12:37:53,996 | INFO     | planner.video_planner | Planned LONG video: topic='Business English', phrases=20
[2026-07-23T12:37:54.387+0000] {logging_mixin.py:188} INFO - 2026-07-23 12:37:54,387 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_64.mp3
[2026-07-23T12:37:54.818+0000] {logging_mixin.py:188} INFO - 2026-07-23 12:37:54,818 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_64.mp3
[2026-07-23T12:37:54.987+0000] {logging_mixin.py:188} INFO - 2026-07-23 12:37:54,987 | INFO     | media.image_downloader | Downloaded background image for scene='office' -> /opt/airflow/output/images/long_64.jpg
[2026-07-23T12:37:54.989+0000] {logging_mixin.py:188} INFO - 2026-07-23 12:37:54,989 | INFO     | video.video_builder | Running ffmpeg: ffmpeg -y -i /opt/airflow/output/audio/phrase_64.mp3 -i /opt/airflow/output/audio/example_64.mp3 -filter_complex [0:a]apad=pad_dur=0.4[a0];[a0][1:a]concat=n=2:v=0:a=1[aout] -map [aout] /opt/airflow/output/videos/_tmp/long_64_raw.audio.mp3
[2026-07-23T12:37:55.174+0000] {logging_mixin.py:188} INFO - 2026-07-23 12:37:55,173 | INFO     | video.video_builder | Running ffmpeg: ffmpeg -y -loop 1 -i /opt/airflow/output/images/long_64.jpg -i /opt/airflow/output/videos/_tmp/long_64_raw.audio.mp3 -vf scale=1920:1080:force_original_aspect_ratio=increase,crop=1920:1080,drawtext=fontfile='/opt/airflow/assets/fonts/NotoSansJP-Bold.ttf':text='Let’s touch base next week.':fontcolor=FFFFFF:fontsize=56:x=(w-text_w)/2:y=(h*0.35):box=1:boxcolor=black@0.45:boxborderw=20,drawtext=fontfile='/opt/airflow/assets/fonts/NotoSansJP-Bold.ttf':text='We have a lot to discuss, so let’s touch base next week to finalize the details.':fontcolor=FFD54A:fontsize=33:x=(w-text_w)/2:y=(h*0.55):box=1:boxcolor=black@0.45:boxborderw=16 -c:v libx264 -tune stillimage -pix_fmt yuv420p -c:a aac -b:a 192k -shortest -r 30 /opt/airflow/output/videos/_tmp/long_64_raw.mp4
[2026-07-23T12:38:00.980+0000] {logging_mixin.py:188} INFO - 2026-07-23 12:38:00,979 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_71.mp3
[2026-07-23T12:38:01.519+0000] {logging_mixin.py:188} INFO - 2026-07-23 12:38:01,519 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_71.mp3
[2026-07-23T12:38:02.499+0000] {logging_mixin.py:188} INFO - 2026-07-23 12:38:02,499 | INFO     | media.image_downloader | Downloaded background image for scene='phone' -> /opt/airflow/output/images/long_71.jpg
[2026-07-23T12:38:02.500+0000] {logging_mixin.py:188} INFO - 2026-07-23 12:38:02,500 | INFO     | video.video_builder | Running ffmpeg: ffmpeg -y -i /opt/airflow/output/audio/phrase_71.mp3 -i /opt/airflow/output/audio/example_71.mp3 -filter_complex [0:a]apad=pad_dur=0.4[a0];[a0][1:a]concat=n=2:v=0:a=1[aout] -map [aout] /opt/airflow/output/videos/_tmp/long_71_raw.audio.mp3
[2026-07-23T12:38:02.616+0000] {logging_mixin.py:188} INFO - 2026-07-23 12:38:02,616 | INFO     | video.video_builder | Running ffmpeg: ffmpeg -y -loop 1 -i /opt/airflow/output/images/long_71.jpg -i /opt/airflow/output/videos/_tmp/long_71_raw.audio.mp3 -vf scale=1920:1080:force_original_aspect_ratio=increase,crop=1920:1080,drawtext=fontfile='/opt/airflow/assets/fonts/NotoSansJP-Bold.ttf':text='Sorry, you’re breaking up a bit.':fontcolor=FFFFFF:fontsize=56:x=(w-text_w)/2:y=(h*0.35):box=1:boxcolor=black@0.45:boxborderw=20,drawtext=fontfile='/opt/airflow/assets/fonts/NotoSansJP-Bold.ttf':text='Can you repeat that? Sorry, you’re breaking up a bit because of the bad connection.':fontcolor=FFD54A:fontsize=33:x=(w-text_w)/2:y=(h*0.55):box=1:boxcolor=black@0.45:boxborderw=16 -c:v libx264 -tune stillimage -pix_fmt yuv420p -c:a aac -b:a 192k -shortest -r 30 /opt/airflow/output/videos/_tmp/long_71_raw.mp4
[2026-07-23T12:38:06.640+0000] {logging_mixin.py:188} INFO - 2026-07-23 12:38:06,639 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_76.mp3
[2026-07-23T12:38:07.190+0000] {logging_mixin.py:188} INFO - 2026-07-23 12:38:07,190 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_76.mp3
[2026-07-23T12:38:08.009+0000] {logging_mixin.py:188} INFO - 2026-07-23 12:38:08,009 | INFO     | media.image_downloader | Downloaded background image for scene='boardroom' -> /opt/airflow/output/images/long_76.jpg
[2026-07-23T12:38:08.010+0000] {logging_mixin.py:188} INFO - 2026-07-23 12:38:08,010 | INFO     | video.video_builder | Running ffmpeg: ffmpeg -y -i /opt/airflow/output/audio/phrase_76.mp3 -i /opt/airflow/output/audio/example_76.mp3 -filter_complex [0:a]apad=pad_dur=0.4[a0];[a0][1:a]concat=n=2:v=0:a=1[aout] -map [aout] /opt/airflow/output/videos/_tmp/long_76_raw.audio.mp3
[2026-07-23T12:38:08.103+0000] {logging_mixin.py:188} INFO - 2026-07-23 12:38:08,102 | INFO     | video.video_builder | Running ffmpeg: ffmpeg -y -loop 1 -i /opt/airflow/output/images/long_76.jpg -i /opt/airflow/output/videos/_tmp/long_76_raw.audio.mp3 -vf scale=1920:1080:force_original_aspect_ratio=increase,crop=1920:1080,drawtext=fontfile='/opt/airflow/assets/fonts/NotoSansJP-Bold.ttf':text='How does that sound to you?':fontcolor=FFFFFF:fontsize=56:x=(w-text_w)/2:y=(h*0.35):box=1:boxcolor=black@0.45:boxborderw=20,drawtext=fontfile='/opt/airflow/assets/fonts/NotoSansJP-Bold.ttf':text='We could schedule the meeting for Tuesday afternoon. How does that sound to you?':fontcolor=FFD54A:fontsize=33:x=(w-text_w)/2:y=(h*0.55):box=1:boxcolor=black@0.45:boxborderw=16 -c:v libx264 -tune stillimage -pix_fmt yuv420p -c:a aac -b:a 192k -shortest -r 30 /opt/airflow/output/videos/_tmp/long_76_raw.mp4
[2026-07-23T12:38:11.792+0000] {logging_mixin.py:188} INFO - 2026-07-23 12:38:11,791 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_81.mp3
[2026-07-23T12:38:12.277+0000] {logging_mixin.py:188} INFO - 2026-07-23 12:38:12,277 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_81.mp3
[2026-07-23T12:38:13.020+0000] {logging_mixin.py:188} INFO - 2026-07-23 12:38:13,020 | INFO     | media.image_downloader | Downloaded background image for scene='presentation' -> /opt/airflow/output/images/long_81.jpg
[2026-07-23T12:38:13.022+0000] {logging_mixin.py:188} INFO - 2026-07-23 12:38:13,022 | INFO     | video.video_builder | Running ffmpeg: ffmpeg -y -i /opt/airflow/output/audio/phrase_81.mp3 -i /opt/airflow/output/audio/example_81.mp3 -filter_complex [0:a]apad=pad_dur=0.4[a0];[a0][1:a]concat=n=2:v=0:a=1[aout] -map [aout] /opt/airflow/output/videos/_tmp/long_81_raw.audio.mp3
[2026-07-23T12:38:13.129+0000] {logging_mixin.py:188} INFO - 2026-07-23 12:38:13,129 | INFO     | video.video_builder | Running ffmpeg: ffmpeg -y -loop 1 -i /opt/airflow/output/images/long_81.jpg -i /opt/airflow/output/videos/_tmp/long_81_raw.audio.mp3 -vf scale=1920:1080:force_original_aspect_ratio=increase,crop=1920:1080,drawtext=fontfile='/opt/airflow/assets/fonts/NotoSansJP-Bold.ttf':text='Could you run that by me again?':fontcolor=FFFFFF:fontsize=56:x=(w-text_w)/2:y=(h*0.35):box=1:boxcolor=black@0.45:boxborderw=20,drawtext=fontfile='/opt/airflow/assets/fonts/NotoSansJP-Bold.ttf':text='I didn’t quite catch the last part of your plan. Could you run that by me again?':fontcolor=FFD54A:fontsize=33:x=(w-text_w)/2:y=(h*0.55):box=1:boxcolor=black@0.45:boxborderw=16 -c:v libx264 -tune stillimage -pix_fmt yuv420p -c:a aac -b:a 192k -shortest -r 30 /opt/airflow/output/videos/_tmp/long_81_raw.mp4
[2026-07-23T12:38:17.116+0000] {logging_mixin.py:188} INFO - 2026-07-23 12:38:17,116 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_87.mp3
[2026-07-23T12:38:17.582+0000] {logging_mixin.py:188} INFO - 2026-07-23 12:38:17,581 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_87.mp3
[2026-07-23T12:38:17.849+0000] {logging_mixin.py:188} INFO - 2026-07-23 12:38:17,849 | INFO     | media.image_downloader | Downloaded background image for scene='office' -> /opt/airflow/output/images/long_87.jpg
[2026-07-23T12:38:17.850+0000] {logging_mixin.py:188} INFO - 2026-07-23 12:38:17,850 | INFO     | video.video_builder | Running ffmpeg: ffmpeg -y -i /opt/airflow/output/audio/phrase_87.mp3 -i /opt/airflow/output/audio/example_87.mp3 -filter_complex [0:a]apad=pad_dur=0.4[a0];[a0][1:a]concat=n=2:v=0:a=1[aout] -map [aout] /opt/airflow/output/videos/_tmp/long_87_raw.audio.mp3
[2026-07-23T12:38:17.942+0000] {logging_mixin.py:188} INFO - 2026-07-23 12:38:17,942 | INFO     | video.video_builder | Running ffmpeg: ffmpeg -y -loop 1 -i /opt/airflow/output/images/long_87.jpg -i /opt/airflow/output/videos/_tmp/long_87_raw.audio.mp3 -vf scale=1920:1080:force_original_aspect_ratio=increase,crop=1920:1080,drawtext=fontfile='/opt/airflow/assets/fonts/NotoSansJP-Bold.ttf':text='I’m running a bit late.':fontcolor=FFFFFF:fontsize=56:x=(w-text_w)/2:y=(h*0.35):box=1:boxcolor=black@0.45:boxborderw=20,drawtext=fontfile='/opt/airflow/assets/fonts/NotoSansJP-Bold.ttf':text='Traffic is heavy today, so I’m running a bit late for our meeting.':fontcolor=FFD54A:fontsize=33:x=(w-text_w)/2:y=(h*0.55):box=1:boxcolor=black@0.45:boxborderw=16 -c:v libx264 -tune stillimage -pix_fmt yuv420p -c:a aac -b:a 192k -shortest -r 30 /opt/airflow/output/videos/_tmp/long_87_raw.mp4
[2026-07-23T12:38:21.195+0000] {logging_mixin.py:188} INFO - 2026-07-23 12:38:21,195 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_92.mp3
[2026-07-23T12:38:21.738+0000] {logging_mixin.py:188} INFO - 2026-07-23 12:38:21,738 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_92.mp3
[2026-07-23T12:38:22.255+0000] {logging_mixin.py:188} INFO - 2026-07-23 12:38:22,255 | INFO     | media.image_downloader | Downloaded background image for scene='office' -> /opt/airflow/output/images/long_92.jpg
[2026-07-23T12:38:22.258+0000] {logging_mixin.py:188} INFO - 2026-07-23 12:38:22,258 | INFO     | video.video_builder | Running ffmpeg: ffmpeg -y -i /opt/airflow/output/audio/phrase_92.mp3 -i /opt/airflow/output/audio/example_92.mp3 -filter_complex [0:a]apad=pad_dur=0.4[a0];[a0][1:a]concat=n=2:v=0:a=1[aout] -map [aout] /opt/airflow/output/videos/_tmp/long_92_raw.audio.mp3
[2026-07-23T12:38:22.361+0000] {logging_mixin.py:188} INFO - 2026-07-23 12:38:22,361 | INFO     | video.video_builder | Running ffmpeg: ffmpeg -y -loop 1 -i /opt/airflow/output/images/long_92.jpg -i /opt/airflow/output/videos/_tmp/long_92_raw.audio.mp3 -vf scale=1920:1080:force_original_aspect_ratio=increase,crop=1920:1080,drawtext=fontfile='/opt/airflow/assets/fonts/NotoSansJP-Bold.ttf':text='Let’s call it a day.':fontcolor=FFFFFF:fontsize=56:x=(w-text_w)/2:y=(h*0.35):box=1:boxcolor=black@0.45:boxborderw=20,drawtext=fontfile='/opt/airflow/assets/fonts/NotoSansJP-Bold.ttf':text='We’ve finished all the urgent tasks, so let’s call it a day.':fontcolor=FFD54A:fontsize=33:x=(w-text_w)/2:y=(h*0.55):box=1:boxcolor=black@0.45:boxborderw=16 -c:v libx264 -tune stillimage -pix_fmt yuv420p -c:a aac -b:a 192k -shortest -r 30 /opt/airflow/output/videos/_tmp/long_92_raw.mp4
[2026-07-23T12:38:25.968+0000] {logging_mixin.py:188} INFO - 2026-07-23 12:38:25,967 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_96.mp3
[2026-07-23T12:38:26.637+0000] {logging_mixin.py:188} INFO - 2026-07-23 12:38:26,636 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_96.mp3
[2026-07-23T12:38:27.171+0000] {logging_mixin.py:188} INFO - 2026-07-23 12:38:27,171 | INFO     | media.image_downloader | Downloaded background image for scene='office' -> /opt/airflow/output/images/long_96.jpg
[2026-07-23T12:38:27.173+0000] {logging_mixin.py:188} INFO - 2026-07-23 12:38:27,173 | INFO     | video.video_builder | Running ffmpeg: ffmpeg -y -i /opt/airflow/output/audio/phrase_96.mp3 -i /opt/airflow/output/audio/example_96.mp3 -filter_complex [0:a]apad=pad_dur=0.4[a0];[a0][1:a]concat=n=2:v=0:a=1[aout] -map [aout] /opt/airflow/output/videos/_tmp/long_96_raw.audio.mp3
[2026-07-23T12:38:27.605+0000] {logging_mixin.py:188} INFO - 2026-07-23 12:38:27,604 | INFO     | video.video_builder | Running ffmpeg: ffmpeg -y -loop 1 -i /opt/airflow/output/images/long_96.jpg -i /opt/airflow/output/videos/_tmp/long_96_raw.audio.mp3 -vf scale=1920:1080:force_original_aspect_ratio=increase,crop=1920:1080,drawtext=fontfile='/opt/airflow/assets/fonts/NotoSansJP-Bold.ttf':text='I’ll get back to you on that.':fontcolor=FFFFFF:fontsize=56:x=(w-text_w)/2:y=(h*0.35):box=1:boxcolor=black@0.45:boxborderw=20,drawtext=fontfile='/opt/airflow/assets/fonts/NotoSansJP-Bold.ttf':text='I don’t have the sales figures right now, but I’ll get back to you on that this afternoon.':fontcolor=FFD54A:fontsize=33:x=(w-text_w)/2:y=(h*0.55):box=1:boxcolor=black@0.45:boxborderw=16 -c:v libx264 -tune stillimage -pix_fmt yuv420p -c:a aac -b:a 192k -shortest -r 30 /opt/airflow/output/videos/_tmp/long_96_raw.mp4
[2026-07-23T12:38:31.510+0000] {logging_mixin.py:188} INFO - 2026-07-23 12:38:31,510 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_103.mp3
[2026-07-23T12:38:32.175+0000] {logging_mixin.py:188} INFO - 2026-07-23 12:38:32,175 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_103.mp3
[2026-07-23T12:38:32.662+0000] {logging_mixin.py:188} INFO - 2026-07-23 12:38:32,662 | INFO     | media.image_downloader | Downloaded background image for scene='office' -> /opt/airflow/output/images/long_103.jpg
[2026-07-23T12:38:32.664+0000] {logging_mixin.py:188} INFO - 2026-07-23 12:38:32,664 | INFO     | video.video_builder | Running ffmpeg: ffmpeg -y -i /opt/airflow/output/audio/phrase_103.mp3 -i /opt/airflow/output/audio/example_103.mp3 -filter_complex [0:a]apad=pad_dur=0.4[a0];[a0][1:a]concat=n=2:v=0:a=1[aout] -map [aout] /opt/airflow/output/videos/_tmp/long_103_raw.audio.mp3
[2026-07-23T12:38:32.750+0000] {logging_mixin.py:188} INFO - 2026-07-23 12:38:32,750 | INFO     | video.video_builder | Running ffmpeg: ffmpeg -y -loop 1 -i /opt/airflow/output/images/long_103.jpg -i /opt/airflow/output/videos/_tmp/long_103_raw.audio.mp3 -vf scale=1920:1080:force_original_aspect_ratio=increase,crop=1920:1080,drawtext=fontfile='/opt/airflow/assets/fonts/NotoSansJP-Bold.ttf':text='I’m looking forward to working with you.':fontcolor=FFFFFF:fontsize=56:x=(w-text_w)/2:y=(h*0.35):box=1:boxcolor=black@0.45:boxborderw=20,drawtext=fontfile='/opt/airflow/assets/fonts/NotoSansJP-Bold.ttf':text='Thank you for accepting the proposal; I’m looking forward to working with you.':fontcolor=FFD54A:fontsize=33:x=(w-text_w)/2:y=(h*0.55):box=1:boxcolor=black@0.45:boxborderw=16 -c:v libx264 -tune stillimage -pix_fmt yuv420p -c:a aac -b:a 192k -shortest -r 30 /opt/airflow/output/videos/_tmp/long_103_raw.mp4
[2026-07-23T12:38:36.169+0000] {logging_mixin.py:188} INFO - 2026-07-23 12:38:36,169 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_108.mp3
[2026-07-23T12:38:36.559+0000] {logging_mixin.py:188} INFO - 2026-07-23 12:38:36,559 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_108.mp3
[2026-07-23T12:38:36.879+0000] {logging_mixin.py:188} INFO - 2026-07-23 12:38:36,879 | INFO     | media.image_downloader | Downloaded background image for scene='office' -> /opt/airflow/output/images/long_108.jpg
[2026-07-23T12:38:36.881+0000] {logging_mixin.py:188} INFO - 2026-07-23 12:38:36,880 | INFO     | video.video_builder | Running ffmpeg: ffmpeg -y -i /opt/airflow/output/audio/phrase_108.mp3 -i /opt/airflow/output/audio/example_108.mp3 -filter_complex [0:a]apad=pad_dur=0.4[a0];[a0][1:a]concat=n=2:v=0:a=1[aout] -map [aout] /opt/airflow/output/videos/_tmp/long_108_raw.audio.mp3
[2026-07-23T12:38:36.972+0000] {logging_mixin.py:188} INFO - 2026-07-23 12:38:36,972 | INFO     | video.video_builder | Running ffmpeg: ffmpeg -y -loop 1 -i /opt/airflow/output/images/long_108.jpg -i /opt/airflow/output/videos/_tmp/long_108_raw.audio.mp3 -vf scale=1920:1080:force_original_aspect_ratio=increase,crop=1920:1080,drawtext=fontfile='/opt/airflow/assets/fonts/NotoSansJP-Bold.ttf':text='Let’s touch base next week.':fontcolor=FFFFFF:fontsize=56:x=(w-text_w)/2:y=(h*0.35):box=1:boxcolor=black@0.45:boxborderw=20,drawtext=fontfile='/opt/airflow/assets/fonts/NotoSansJP-Bold.ttf':text='We have a good starting plan, so let’s touch base next week to review progress.':fontcolor=FFD54A:fontsize=33:x=(w-text_w)/2:y=(h*0.55):box=1:boxcolor=black@0.45:boxborderw=16 -c:v libx264 -tune stillimage -pix_fmt yuv420p -c:a aac -b:a 192k -shortest -r 30 /opt/airflow/output/videos/_tmp/long_108_raw.mp4
[2026-07-23T12:38:40.335+0000] {logging_mixin.py:188} INFO - 2026-07-23 12:38:40,335 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_112.mp3
[2026-07-23T12:38:40.864+0000] {logging_mixin.py:188} INFO - 2026-07-23 12:38:40,864 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_112.mp3
[2026-07-23T12:38:41.311+0000] {logging_mixin.py:188} INFO - 2026-07-23 12:38:41,311 | INFO     | media.image_downloader | Downloaded background image for scene='street' -> /opt/airflow/output/images/long_112.jpg
[2026-07-23T12:38:41.313+0000] {logging_mixin.py:188} INFO - 2026-07-23 12:38:41,313 | INFO     | video.video_builder | Running ffmpeg: ffmpeg -y -i /opt/airflow/output/audio/phrase_112.mp3 -i /opt/airflow/output/audio/example_112.mp3 -filter_complex [0:a]apad=pad_dur=0.4[a0];[a0][1:a]concat=n=2:v=0:a=1[aout] -map [aout] /opt/airflow/output/videos/_tmp/long_112_raw.audio.mp3
