[2026-07-23T13:42:56.724+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-07-23T13:42:56.748+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video manual__2026-07-23T13:42:52.577834+00:00 [queued]>
[2026-07-23T13:42:56.754+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video manual__2026-07-23T13:42:52.577834+00:00 [queued]>
[2026-07-23T13:42:56.754+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 3
[2026-07-23T13:42:56.762+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): build_long_video> on 2026-07-23 13:42:52.577834+00:00
[2026-07-23T13:42:56.766+0000] {standard_task_runner.py:64} INFO - Started process 430 to run task
[2026-07-23T13:42:56.768+0000] {standard_task_runner.py:90} INFO - Running: ['airflow', 'tasks', 'run', 'youtube_english_video_pipeline', 'build_long_video', 'manual__2026-07-23T13:42:52.577834+00:00', '--job-id', '74', '--raw', '--subdir', 'DAGS_FOLDER/youtube_pipeline.py', '--cfg-path', '/tmp/tmpbbl42ehu']
[2026-07-23T13:42:56.770+0000] {standard_task_runner.py:91} INFO - Job 74: Subtask build_long_video
[2026-07-23T13:42:56.818+0000] {task_command.py:426} INFO - Running <TaskInstance: youtube_english_video_pipeline.build_long_video manual__2026-07-23T13:42:52.577834+00:00 [running]> on host 5b8f65250260
[2026-07-23T13:42:57.134+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='taky' AIRFLOW_CTX_DAG_ID='youtube_english_video_pipeline' AIRFLOW_CTX_TASK_ID='build_long_video' AIRFLOW_CTX_EXECUTION_DATE='2026-07-23T13:42:52.577834+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2026-07-23T13:42:52.577834+00:00'
[2026-07-23T13:42:57.137+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-07-23T13:42:57.610+0000] {logging_mixin.py:188} INFO - 2026-07-23 13:42:57,610 | INFO     | planner.video_planner | Planned LONG video: topic='Travel English', phrases=19
[2026-07-23T13:42:57.882+0000] {logging_mixin.py:188} INFO - 2026-07-23 13:42:57,882 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_82.mp3
[2026-07-23T13:42:58.320+0000] {logging_mixin.py:188} INFO - 2026-07-23 13:42:58,320 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_82.mp3
[2026-07-23T13:42:59.479+0000] {logging_mixin.py:188} INFO - 2026-07-23 13:42:59,479 | INFO     | media.image_downloader | Downloaded background image for scene='bus' -> /opt/airflow/output/images/long_82.jpg
[2026-07-23T13:42:59.480+0000] {logging_mixin.py:188} INFO - 2026-07-23 13:42:59,480 | INFO     | video.video_builder | Running ffmpeg: ffmpeg -y -i /opt/airflow/output/audio/phrase_82.mp3 -i /opt/airflow/output/audio/example_82.mp3 -filter_complex [0:a]apad=pad_dur=0.4[a0];[a0][1:a]concat=n=2:v=0:a=1[aout] -map [aout] /opt/airflow/output/videos/_tmp/long_82_raw.audio.mp3
[2026-07-23T13:42:59.651+0000] {logging_mixin.py:188} INFO - 2026-07-23 13:42:59,651 | INFO     | video.video_builder | Running ffmpeg: ffmpeg -y -loop 1 -i /opt/airflow/output/images/long_82.jpg -i /opt/airflow/output/videos/_tmp/long_82_raw.audio.mp3 -vf scale=1920:1080:force_original_aspect_ratio=increase,crop=1920:1080,drawtext=fontfile='/opt/airflow/assets/fonts/NotoSansJP-Bold.ttf':text='Does this bus go to downtown?':fontcolor=FFFFFF:fontsize=56:x=(w-text_w)/2:y=(h*0.35):box=1:boxcolor=black@0.45:boxborderw=20,drawtext=fontfile='/opt/airflow/assets/fonts/NotoSansJP-Bold.ttf':text='Excuse me, I need to get to the city center. Does this bus go to downtown?':fontcolor=FFD54A:fontsize=33:x=(w-text_w)/2:y=(h*0.55):box=1:boxcolor=black@0.45:boxborderw=16 -c:v libx264 -tune stillimage -pix_fmt yuv420p -c:a aac -b:a 192k -shortest -r 30 /opt/airflow/output/videos/_tmp/long_82_raw.mp4
[2026-07-23T13:43:07.121+0000] {logging_mixin.py:188} INFO - 2026-07-23 13:43:07,119 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_89.mp3
[2026-07-23T13:43:07.547+0000] {logging_mixin.py:188} INFO - 2026-07-23 13:43:07,547 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_89.mp3
[2026-07-23T13:43:07.785+0000] {logging_mixin.py:188} INFO - 2026-07-23 13:43:07,785 | INFO     | media.image_downloader | Downloaded background image for scene='street' -> /opt/airflow/output/images/long_89.jpg
[2026-07-23T13:43:07.788+0000] {logging_mixin.py:188} INFO - 2026-07-23 13:43:07,788 | INFO     | video.video_builder | Running ffmpeg: ffmpeg -y -i /opt/airflow/output/audio/phrase_89.mp3 -i /opt/airflow/output/audio/example_89.mp3 -filter_complex [0:a]apad=pad_dur=0.4[a0];[a0][1:a]concat=n=2:v=0:a=1[aout] -map [aout] /opt/airflow/output/videos/_tmp/long_89_raw.audio.mp3
[2026-07-23T13:43:07.911+0000] {logging_mixin.py:188} INFO - 2026-07-23 13:43:07,910 | INFO     | video.video_builder | Running ffmpeg: ffmpeg -y -loop 1 -i /opt/airflow/output/images/long_89.jpg -i /opt/airflow/output/videos/_tmp/long_89_raw.audio.mp3 -vf scale=1920:1080:force_original_aspect_ratio=increase,crop=1920:1080,drawtext=fontfile='/opt/airflow/assets/fonts/NotoSansJP-Bold.ttf':text='Could you point me in the right direction?':fontcolor=FFFFFF:fontsize=56:x=(w-text_w)/2:y=(h*0.35):box=1:boxcolor=black@0.45:boxborderw=20,drawtext=fontfile='/opt/airflow/assets/fonts/NotoSansJP-Bold.ttf':text='Excuse me, could you point me in the right direction for the train station?':fontcolor=FFD54A:fontsize=33:x=(w-text_w)/2:y=(h*0.55):box=1:boxcolor=black@0.45:boxborderw=16 -c:v libx264 -tune stillimage -pix_fmt yuv420p -c:a aac -b:a 192k -shortest -r 30 /opt/airflow/output/videos/_tmp/long_89_raw.mp4
