[2026-07-24T00:16:42.804+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-07-24T00:16:42.926+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video manual__2026-07-24T00:16:16.192686+00:00 [queued]>
[2026-07-24T00:16:42.947+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video manual__2026-07-24T00:16:16.192686+00:00 [queued]>
[2026-07-24T00:16:42.953+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 3
[2026-07-24T00:16:42.977+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): build_long_video> on 2026-07-24 00:16:16.192686+00:00
[2026-07-24T00:16:42.991+0000] {standard_task_runner.py:64} INFO - Started process 224 to run task
[2026-07-24T00:16:42.996+0000] {standard_task_runner.py:90} INFO - Running: ['airflow', 'tasks', 'run', 'youtube_english_video_pipeline', 'build_long_video', 'manual__2026-07-24T00:16:16.192686+00:00', '--job-id', '81', '--raw', '--subdir', 'DAGS_FOLDER/youtube_pipeline.py', '--cfg-path', '/tmp/tmpz04vozky']
[2026-07-24T00:16:43.001+0000] {standard_task_runner.py:91} INFO - Job 81: Subtask build_long_video
[2026-07-24T00:16:43.181+0000] {task_command.py:426} INFO - Running <TaskInstance: youtube_english_video_pipeline.build_long_video manual__2026-07-24T00:16:16.192686+00:00 [running]> on host c5a4498ba4b2
[2026-07-24T00:16:43.519+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='taky' AIRFLOW_CTX_DAG_ID='youtube_english_video_pipeline' AIRFLOW_CTX_TASK_ID='build_long_video' AIRFLOW_CTX_EXECUTION_DATE='2026-07-24T00:16:16.192686+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2026-07-24T00:16:16.192686+00:00'
[2026-07-24T00:16:43.617+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-07-24T00:17:00.627+0000] {logging_mixin.py:188} INFO - 2026-07-24 00:17:00,627 | INFO     | planner.video_planner | Planned LONG video: topic='Daily Conversation', phrases=18
[2026-07-24T00:17:01.753+0000] {logging_mixin.py:188} INFO - 2026-07-24 00:17:01,753 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_125.mp3
[2026-07-24T00:17:03.034+0000] {logging_mixin.py:188} INFO - 2026-07-24 00:17:03,034 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_125.mp3
[2026-07-24T00:17:06.482+0000] {logging_mixin.py:188} INFO - 2026-07-24 00:17:06,481 | INFO     | media.image_downloader | Downloaded background image for scene='phone' -> /opt/airflow/output/images/long_125.jpg
[2026-07-24T00:17:06.573+0000] {logging_mixin.py:188} INFO - 2026-07-24 00:17:06,573 | INFO     | video.video_builder | Running ffmpeg: ffmpeg -y -i /opt/airflow/output/audio/phrase_125.mp3 -i /opt/airflow/output/audio/example_125.mp3 -filter_complex [0:a]apad=pad_dur=0.4[a0];[a0][1:a]concat=n=2:v=0:a=1[aout] -map [aout] /opt/airflow/output/videos/_tmp/long_125_raw.audio.mp3
[2026-07-24T00:17:07.750+0000] {logging_mixin.py:188} INFO - 2026-07-24 00:17:07,750 | INFO     | video.video_builder | Running ffmpeg: ffmpeg -y -loop 1 -i /opt/airflow/output/images/long_125.jpg -i /opt/airflow/output/videos/_tmp/long_125_raw.audio.mp3 -vf scale=1920:1080:force_original_aspect_ratio=increase,crop=1920:1080,drawtext=fontfile='/opt/airflow/assets/fonts/NotoSansJP-Bold.ttf':text='Could you repeat that, please?':fontcolor=FFFFFF:fontsize=76:x=(w-text_w)/2:y=(h*0.16):line_spacing=12:box=1:boxcolor=black@0.45:boxborderw=20,drawtext=fontfile='/opt/airflow/assets/fonts/NotoSansJP-Bold.ttf':text='The connection was bad for a second; could\nyou repeat that, please?':fontcolor=FFD54A:fontsize=68:x=(w-text_w)/2:y=(h-text_h)/2+((h*0.15)):line_spacing=16:box=1:boxcolor=black@0.55:boxborderw=24 -c:v libx264 -preset slow -crf 18 -tune stillimage -pix_fmt yuv420p -c:a aac -b:a 192k -shortest -r 30 /opt/airflow/output/videos/_tmp/long_125_raw.mp4
[2026-07-24T00:20:02.638+0000] {logging_mixin.py:188} INFO - 2026-07-24 00:20:02,634 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_111.mp3
[2026-07-24T00:20:03.673+0000] {logging_mixin.py:188} INFO - 2026-07-24 00:20:03,673 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_111.mp3
[2026-07-24T00:20:06.367+0000] {logging_mixin.py:188} INFO - 2026-07-24 00:20:06,366 | INFO     | media.image_downloader | Downloaded background image for scene='office' -> /opt/airflow/output/images/long_111.jpg
[2026-07-24T00:20:06.454+0000] {logging_mixin.py:188} INFO - 2026-07-24 00:20:06,453 | INFO     | video.video_builder | Running ffmpeg: ffmpeg -y -i /opt/airflow/output/audio/phrase_111.mp3 -i /opt/airflow/output/audio/example_111.mp3 -filter_complex [0:a]apad=pad_dur=0.4[a0];[a0][1:a]concat=n=2:v=0:a=1[aout] -map [aout] /opt/airflow/output/videos/_tmp/long_111_raw.audio.mp3
[2026-07-24T00:20:08.048+0000] {logging_mixin.py:188} INFO - 2026-07-24 00:20:08,048 | INFO     | video.video_builder | Running ffmpeg: ffmpeg -y -loop 1 -i /opt/airflow/output/images/long_111.jpg -i /opt/airflow/output/videos/_tmp/long_111_raw.audio.mp3 -vf scale=1920:1080:force_original_aspect_ratio=increase,crop=1920:1080,drawtext=fontfile='/opt/airflow/assets/fonts/NotoSansJP-Bold.ttf':text='Could you give me a hand?':fontcolor=FFFFFF:fontsize=76:x=(w-text_w)/2:y=(h*0.16):line_spacing=12:box=1:boxcolor=black@0.45:boxborderw=20,drawtext=fontfile='/opt/airflow/assets/fonts/NotoSansJP-Bold.ttf':text='These boxes are really heavy, could you give\nme a hand?':fontcolor=FFD54A:fontsize=68:x=(w-text_w)/2:y=(h-text_h)/2+((h*0.15)):line_spacing=16:box=1:boxcolor=black@0.55:boxborderw=24 -c:v libx264 -preset slow -crf 18 -tune stillimage -pix_fmt yuv420p -c:a aac -b:a 192k -shortest -r 30 /opt/airflow/output/videos/_tmp/long_111_raw.mp4
