[2026-07-25T01:47:17.891+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-07-25T01:47:17.939+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video manual__2026-07-25T01:46:42.080394+00:00 [queued]>
[2026-07-25T01:47:17.953+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video manual__2026-07-25T01:46:42.080394+00:00 [queued]>
[2026-07-25T01:47:17.958+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 3
[2026-07-25T01:47:17.978+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): build_long_video> on 2026-07-25 01:46:42.080394+00:00
[2026-07-25T01:47:17.992+0000] {standard_task_runner.py:64} INFO - Started process 1650 to run task
[2026-07-25T01:47:17.995+0000] {standard_task_runner.py:90} INFO - Running: ['airflow', 'tasks', 'run', 'youtube_english_video_pipeline', 'build_long_video', 'manual__2026-07-25T01:46:42.080394+00:00', '--job-id', '117', '--raw', '--subdir', 'DAGS_FOLDER/youtube_pipeline.py', '--cfg-path', '/tmp/tmp_hkbcsav']
[2026-07-25T01:47:18.000+0000] {standard_task_runner.py:91} INFO - Job 117: Subtask build_long_video
[2026-07-25T01:47:18.090+0000] {task_command.py:426} INFO - Running <TaskInstance: youtube_english_video_pipeline.build_long_video manual__2026-07-25T01:46:42.080394+00:00 [running]> on host 654b8331d764
[2026-07-25T01:47:18.330+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='taky' AIRFLOW_CTX_DAG_ID='youtube_english_video_pipeline' AIRFLOW_CTX_TASK_ID='build_long_video' AIRFLOW_CTX_EXECUTION_DATE='2026-07-25T01:46:42.080394+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2026-07-25T01:46:42.080394+00:00'
[2026-07-25T01:47:18.341+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-07-25T01:47:37.155+0000] {logging_mixin.py:188} INFO - 2026-07-25 01:47:37,155 | INFO     | planner.video_planner | Planned LONG video: topic='Restaurant English', phrases=17
[2026-07-25T01:47:41.097+0000] {logging_mixin.py:188} INFO - 2026-07-25 01:47:41,097 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_79.mp3
[2026-07-25T01:47:41.646+0000] {logging_mixin.py:188} INFO - 2026-07-25 01:47:41,645 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_79.mp3
[2026-07-25T01:47:42.058+0000] {logging_mixin.py:188} INFO - 2026-07-25 01:47:42,058 | INFO     | media.image_downloader | Downloaded background image for scene='salad' -> /opt/airflow/output/images/long_79.jpg
[2026-07-25T01:47:42.075+0000] {logging_mixin.py:188} INFO - 2026-07-25 01:47:42,075 | INFO     | video.video_builder | Running ffmpeg: ffmpeg -y -i /opt/airflow/output/audio/phrase_79.mp3 -i /opt/airflow/output/audio/example_79.mp3 -filter_complex [0:a]apad=pad_dur=0.4[a0];[a0][1:a]concat=n=2:v=0:a=1[aout] -map [aout] /opt/airflow/output/videos/_tmp/long_79_raw.audio.mp3
[2026-07-25T01:47:42.742+0000] {logging_mixin.py:188} INFO - 2026-07-25 01:47:42,742 | INFO     | video.video_builder | Running ffmpeg: ffmpeg -y -loop 1 -i /opt/airflow/output/images/long_79.jpg -i /opt/airflow/output/videos/_tmp/long_79_raw.audio.mp3 -vf scale=1920:1080:force_original_aspect_ratio=increase,crop=1920:1080,drawtext=fontfile='/opt/airflow/assets/fonts/NotoSansJP-Bold.ttf':text='Can I have the dressing on the side?':fontcolor=FFFFFF:fontsize=76:x=(w-text_w)/2:y=(h*0.16):line_spacing=12:box=1:boxcolor=black@0.45:boxborderw=20,drawtext=fontfile='/opt/airflow/assets/fonts/NotoSansJP-Bold.ttf':text='I would like to order the Caesar salad, but\ncan I have the dressing on the side?':fontcolor=FFD54A:fontsize=68:x=(w-text_w)/2:y=(h-text_h)/2+((h*0.15)):line_spacing=16:box=1:boxcolor=black@0.55:boxborderw=24 -c:v libx264 -preset medium -crf 23 -tune stillimage -pix_fmt yuv420p -c:a aac -b:a 192k -shortest -r 30 /opt/airflow/output/videos/_tmp/long_79_raw.mp4
[2026-07-25T01:49:00.014+0000] {logging_mixin.py:188} INFO - 2026-07-25 01:49:00,010 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_126.mp3
[2026-07-25T01:49:01.312+0000] {logging_mixin.py:188} INFO - 2026-07-25 01:49:01,312 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_126.mp3
[2026-07-25T01:49:03.133+0000] {logging_mixin.py:188} INFO - 2026-07-25 01:49:03,132 | INFO     | media.image_downloader | Downloaded background image for scene='cafe' -> /opt/airflow/output/images/long_126.jpg
[2026-07-25T01:49:03.177+0000] {logging_mixin.py:188} INFO - 2026-07-25 01:49:03,177 | INFO     | video.video_builder | Running ffmpeg: ffmpeg -y -i /opt/airflow/output/audio/phrase_126.mp3 -i /opt/airflow/output/audio/example_126.mp3 -filter_complex [0:a]apad=pad_dur=0.4[a0];[a0][1:a]concat=n=2:v=0:a=1[aout] -map [aout] /opt/airflow/output/videos/_tmp/long_126_raw.audio.mp3
[2026-07-25T01:49:03.901+0000] {logging_mixin.py:188} INFO - 2026-07-25 01:49:03,901 | INFO     | video.video_builder | Running ffmpeg: ffmpeg -y -loop 1 -i /opt/airflow/output/images/long_126.jpg -i /opt/airflow/output/videos/_tmp/long_126_raw.audio.mp3 -vf scale=1920:1080:force_original_aspect_ratio=increase,crop=1920:1080,drawtext=fontfile='/opt/airflow/assets/fonts/NotoSansJP-Bold.ttf':text='What do you recommend?':fontcolor=FFFFFF:fontsize=76:x=(w-text_w)/2:y=(h*0.16):line_spacing=12:box=1:boxcolor=black@0.45:boxborderw=20,drawtext=fontfile='/opt/airflow/assets/fonts/NotoSansJP-Bold.ttf':text='It’s my first time here, what do you\nrecommend from the lunch menu?':fontcolor=FFD54A:fontsize=68:x=(w-text_w)/2:y=(h-text_h)/2+((h*0.15)):line_spacing=16:box=1:boxcolor=black@0.55:boxborderw=24 -c:v libx264 -preset medium -crf 23 -tune stillimage -pix_fmt yuv420p -c:a aac -b:a 192k -shortest -r 30 /opt/airflow/output/videos/_tmp/long_126_raw.mp4
