[2026-07-25T05:07:17.925+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-07-25T05:07:17.970+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video manual__2026-07-25T05:07:14.003569+00:00 [queued]>
[2026-07-25T05:07:17.980+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video manual__2026-07-25T05:07:14.003569+00:00 [queued]>
[2026-07-25T05:07:17.982+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 3
[2026-07-25T05:07:17.996+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): build_long_video> on 2026-07-25 05:07:14.003569+00:00
[2026-07-25T05:07:18.002+0000] {standard_task_runner.py:64} INFO - Started process 215 to run task
[2026-07-25T05:07:18.005+0000] {standard_task_runner.py:90} INFO - Running: ['airflow', 'tasks', 'run', 'youtube_english_video_pipeline', 'build_long_video', 'manual__2026-07-25T05:07:14.003569+00:00', '--job-id', '225', '--raw', '--subdir', 'DAGS_FOLDER/youtube_pipeline.py', '--cfg-path', '/tmp/tmp7r071_4n']
[2026-07-25T05:07:18.008+0000] {standard_task_runner.py:91} INFO - Job 225: Subtask build_long_video
[2026-07-25T05:07:18.081+0000] {task_command.py:426} INFO - Running <TaskInstance: youtube_english_video_pipeline.build_long_video manual__2026-07-25T05:07:14.003569+00:00 [running]> on host ce8e21912c19
[2026-07-25T05:07:18.318+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='taky' AIRFLOW_CTX_DAG_ID='youtube_english_video_pipeline' AIRFLOW_CTX_TASK_ID='build_long_video' AIRFLOW_CTX_EXECUTION_DATE='2026-07-25T05:07:14.003569+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2026-07-25T05:07:14.003569+00:00'
[2026-07-25T05:07:18.319+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-07-25T05:07:18.900+0000] {logging_mixin.py:188} INFO - 2026-07-25 05:07:18,899 | INFO     | planner.video_planner | Planned LONG video: topic='Business English', phrases=17
[2026-07-25T05:07:19.255+0000] {logging_mixin.py:188} INFO - 2026-07-25 05:07:19,255 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_184.mp3
[2026-07-25T05:07:19.504+0000] {logging_mixin.py:188} INFO - 2026-07-25 05:07:19,504 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_184.mp3
[2026-07-25T05:07:19.798+0000] {logging_mixin.py:188} INFO - 2026-07-25 05:07:19,798 | INFO     | media.image_downloader | Downloaded background image for scene='phone' -> /opt/airflow/output/images/long_184.jpg
[2026-07-25T05:07:26.638+0000] {logging_mixin.py:188} INFO - 2026-07-25 05:07:26,636 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_228.mp3
[2026-07-25T05:07:27.022+0000] {logging_mixin.py:188} INFO - 2026-07-25 05:07:27,022 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_228.mp3
[2026-07-25T05:07:27.410+0000] {logging_mixin.py:188} INFO - 2026-07-25 05:07:27,410 | INFO     | media.image_downloader | Downloaded background image for scene='phone' -> /opt/airflow/output/images/long_228.jpg
[2026-07-25T05:07:31.450+0000] {logging_mixin.py:188} INFO - 2026-07-25 05:07:31,450 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_231.mp3
[2026-07-25T05:07:32.088+0000] {logging_mixin.py:188} INFO - 2026-07-25 05:07:32,088 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_231.mp3
[2026-07-25T05:07:32.638+0000] {logging_mixin.py:188} INFO - 2026-07-25 05:07:32,638 | INFO     | media.image_downloader | Downloaded background image for scene='meeting' -> /opt/airflow/output/images/long_231.jpg
[2026-07-25T05:07:37.086+0000] {logging_mixin.py:188} INFO - 2026-07-25 05:07:37,086 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_190.mp3
[2026-07-25T05:07:37.529+0000] {logging_mixin.py:188} INFO - 2026-07-25 05:07:37,529 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_190.mp3
[2026-07-25T05:07:37.840+0000] {logging_mixin.py:188} INFO - 2026-07-25 05:07:37,839 | INFO     | media.image_downloader | Downloaded background image for scene='office' -> /opt/airflow/output/images/long_190.jpg
[2026-07-25T05:07:42.736+0000] {logging_mixin.py:188} INFO - 2026-07-25 05:07:42,736 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_198.mp3
[2026-07-25T05:07:43.238+0000] {logging_mixin.py:188} INFO - 2026-07-25 05:07:43,238 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_198.mp3
