[2026-07-25T08:28:20.925+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-07-25T08:28:20.950+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_3 manual__2026-07-25T08:23:54.309173+00:00 [queued]>
[2026-07-25T08:28:20.956+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_3 manual__2026-07-25T08:23:54.309173+00:00 [queued]>
[2026-07-25T08:28:20.957+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 3
[2026-07-25T08:28:20.966+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): build_long_video_3> on 2026-07-25 08:23:54.309173+00:00
[2026-07-25T08:28:20.969+0000] {standard_task_runner.py:64} INFO - Started process 14650 to run task
[2026-07-25T08:28:20.972+0000] {standard_task_runner.py:90} INFO - Running: ['airflow', 'tasks', 'run', 'youtube_english_video_pipeline', 'build_long_video_3', 'manual__2026-07-25T08:23:54.309173+00:00', '--job-id', '248', '--raw', '--subdir', 'DAGS_FOLDER/youtube_pipeline.py', '--cfg-path', '/tmp/tmpcioct50z']
[2026-07-25T08:28:20.973+0000] {standard_task_runner.py:91} INFO - Job 248: Subtask build_long_video_3
[2026-07-25T08:28:21.042+0000] {task_command.py:426} INFO - Running <TaskInstance: youtube_english_video_pipeline.build_long_video_3 manual__2026-07-25T08:23:54.309173+00:00 [running]> on host ce8e21912c19
[2026-07-25T08:28:21.205+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='taky' AIRFLOW_CTX_DAG_ID='youtube_english_video_pipeline' AIRFLOW_CTX_TASK_ID='build_long_video_3' AIRFLOW_CTX_EXECUTION_DATE='2026-07-25T08:23:54.309173+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2026-07-25T08:23:54.309173+00:00'
[2026-07-25T08:28:21.206+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-07-25T08:28:21.633+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:28:21,633 | INFO     | planner.video_planner | Only 14 phrases for topic='Restaurant English', topping up without topic filter
[2026-07-25T08:28:21.638+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:28:21,638 | INFO     | planner.video_planner | Planned LONG video: topic='Mixed English Expressions', phrases=20
[2026-07-25T08:28:21.915+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:28:21,915 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_132.mp3
[2026-07-25T08:28:22.265+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:28:22,265 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_132.mp3
[2026-07-25T08:28:22.894+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:28:22,894 | INFO     | media.image_downloader | Downloaded background image for scene='friends' -> /opt/airflow/output/images/long_132.jpg
[2026-07-25T08:28:26.066+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:28:26,066 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_167.mp3
[2026-07-25T08:28:26.519+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:28:26,519 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_167.mp3
[2026-07-25T08:28:26.688+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:28:26,688 | INFO     | media.image_downloader | Downloaded background image for scene='hotel' -> /opt/airflow/output/images/long_167.jpg
[2026-07-25T08:28:30.521+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:28:30,520 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_172.mp3
[2026-07-25T08:28:30.791+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:28:30,791 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_172.mp3
[2026-07-25T08:28:30.941+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:28:30,941 | INFO     | media.image_downloader | Downloaded background image for scene='airport' -> /opt/airflow/output/images/long_172.jpg
[2026-07-25T08:28:34.404+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:28:34,404 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_135.mp3
