[2026-07-25T08:31:49.485+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-07-25T08:31:49.510+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_4 manual__2026-07-25T08:23:54.309173+00:00 [queued]>
[2026-07-25T08:31:49.515+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_4 manual__2026-07-25T08:23:54.309173+00:00 [queued]>
[2026-07-25T08:31:49.516+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 3
[2026-07-25T08:31:49.524+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): build_long_video_4> on 2026-07-25 08:23:54.309173+00:00
[2026-07-25T08:31:49.528+0000] {standard_task_runner.py:64} INFO - Started process 18092 to run task
[2026-07-25T08:31:49.530+0000] {standard_task_runner.py:90} INFO - Running: ['airflow', 'tasks', 'run', 'youtube_english_video_pipeline', 'build_long_video_4', 'manual__2026-07-25T08:23:54.309173+00:00', '--job-id', '253', '--raw', '--subdir', 'DAGS_FOLDER/youtube_pipeline.py', '--cfg-path', '/tmp/tmpuydton33']
[2026-07-25T08:31:49.531+0000] {standard_task_runner.py:91} INFO - Job 253: Subtask build_long_video_4
[2026-07-25T08:31:49.587+0000] {task_command.py:426} INFO - Running <TaskInstance: youtube_english_video_pipeline.build_long_video_4 manual__2026-07-25T08:23:54.309173+00:00 [running]> on host ce8e21912c19
[2026-07-25T08:31:49.753+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='taky' AIRFLOW_CTX_DAG_ID='youtube_english_video_pipeline' AIRFLOW_CTX_TASK_ID='build_long_video_4' AIRFLOW_CTX_EXECUTION_DATE='2026-07-25T08:23:54.309173+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2026-07-25T08:23:54.309173+00:00'
[2026-07-25T08:31:49.754+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-07-25T08:31:50.089+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:31:50,089 | INFO     | planner.video_planner | Planned LONG video: topic='Restaurant English', phrases=19
[2026-07-25T08:31:50.382+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:31:50,382 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_244.mp3
[2026-07-25T08:31:50.749+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:31:50,749 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_244.mp3
[2026-07-25T08:31:50.900+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:31:50,900 | INFO     | media.image_downloader | Downloaded background image for scene='restaurant' -> /opt/airflow/output/images/long_244.jpg
[2026-07-25T08:31:54.233+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:31:54,233 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_248.mp3
[2026-07-25T08:31:54.540+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:31:54,540 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_248.mp3
[2026-07-25T08:31:54.735+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:31:54,735 | INFO     | media.image_downloader | Downloaded background image for scene='cafe' -> /opt/airflow/output/images/long_248.jpg
[2026-07-25T08:31:57.918+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:31:57,918 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_259.mp3
[2026-07-25T08:31:58.276+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:31:58,276 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_259.mp3
[2026-07-25T08:31:58.413+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:31:58,413 | INFO     | media.image_downloader | Downloaded background image for scene='restaurant' -> /opt/airflow/output/images/long_259.jpg
[2026-07-25T08:32:01.688+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:32:01,688 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_263.mp3
[2026-07-25T08:32:02.011+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:32:02,011 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_263.mp3
