[2026-07-25T08:36:29.873+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-07-25T08:36:29.896+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_6 manual__2026-07-25T08:23:54.309173+00:00 [queued]>
[2026-07-25T08:36:29.901+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_6 manual__2026-07-25T08:23:54.309173+00:00 [queued]>
[2026-07-25T08:36:29.902+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 3
[2026-07-25T08:36:29.911+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): build_long_video_6> on 2026-07-25 08:23:54.309173+00:00
[2026-07-25T08:36:29.914+0000] {standard_task_runner.py:64} INFO - Started process 24146 to run task
[2026-07-25T08:36:29.916+0000] {standard_task_runner.py:90} INFO - Running: ['airflow', 'tasks', 'run', 'youtube_english_video_pipeline', 'build_long_video_6', 'manual__2026-07-25T08:23:54.309173+00:00', '--job-id', '263', '--raw', '--subdir', 'DAGS_FOLDER/youtube_pipeline.py', '--cfg-path', '/tmp/tmpd8crjqc5']
[2026-07-25T08:36:29.917+0000] {standard_task_runner.py:91} INFO - Job 263: Subtask build_long_video_6
[2026-07-25T08:36:29.969+0000] {task_command.py:426} INFO - Running <TaskInstance: youtube_english_video_pipeline.build_long_video_6 manual__2026-07-25T08:23:54.309173+00:00 [running]> on host ce8e21912c19
[2026-07-25T08:36:30.123+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='taky' AIRFLOW_CTX_DAG_ID='youtube_english_video_pipeline' AIRFLOW_CTX_TASK_ID='build_long_video_6' AIRFLOW_CTX_EXECUTION_DATE='2026-07-25T08:23:54.309173+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2026-07-25T08:23:54.309173+00:00'
[2026-07-25T08:36:30.124+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-07-25T08:36:30.421+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:36:30,421 | INFO     | planner.video_planner | Only 14 phrases for topic='Hotel English', topping up without topic filter
[2026-07-25T08:36:30.426+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:36:30,426 | INFO     | planner.video_planner | Planned LONG video: topic='Mixed English Expressions', phrases=20
[2026-07-25T08:36:30.631+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:36:30,631 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_271.mp3
[2026-07-25T08:36:31.070+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:36:31,070 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_271.mp3
[2026-07-25T08:36:31.360+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:36:31,360 | INFO     | media.image_downloader | Downloaded background image for scene='hotel' -> /opt/airflow/output/images/long_271.jpg
[2026-07-25T08:36:35.106+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:36:35,106 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_255.mp3
[2026-07-25T08:36:35.518+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:36:35,518 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_255.mp3
[2026-07-25T08:36:35.710+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:36:35,710 | INFO     | media.image_downloader | Downloaded background image for scene='hotel' -> /opt/airflow/output/images/long_255.jpg
[2026-07-25T08:36:38.625+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:36:38,625 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_272.mp3
[2026-07-25T08:36:39.028+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:36:39,028 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_272.mp3
[2026-07-25T08:36:39.720+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:36:39,720 | INFO     | media.image_downloader | Downloaded background image for scene='reception' -> /opt/airflow/output/images/long_272.jpg
[2026-07-25T08:37:17.918+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:37:17,918 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_252.mp3
