[2026-07-25T08:39:30.208+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-07-25T08:39:30.235+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_7 manual__2026-07-25T08:23:54.309173+00:00 [queued]>
[2026-07-25T08:39:30.255+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_7 manual__2026-07-25T08:23:54.309173+00:00 [queued]>
[2026-07-25T08:39:30.264+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 3
[2026-07-25T08:39:30.277+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): build_long_video_7> on 2026-07-25 08:23:54.309173+00:00
[2026-07-25T08:39:30.287+0000] {standard_task_runner.py:64} INFO - Started process 27574 to run task
[2026-07-25T08:39:30.289+0000] {standard_task_runner.py:90} INFO - Running: ['airflow', 'tasks', 'run', 'youtube_english_video_pipeline', 'build_long_video_7', 'manual__2026-07-25T08:23:54.309173+00:00', '--job-id', '268', '--raw', '--subdir', 'DAGS_FOLDER/youtube_pipeline.py', '--cfg-path', '/tmp/tmpp1lhc5kv']
[2026-07-25T08:39:30.299+0000] {standard_task_runner.py:91} INFO - Job 268: Subtask build_long_video_7
[2026-07-25T08:39:30.399+0000] {task_command.py:426} INFO - Running <TaskInstance: youtube_english_video_pipeline.build_long_video_7 manual__2026-07-25T08:23:54.309173+00:00 [running]> on host ce8e21912c19
[2026-07-25T08:39:30.572+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='taky' AIRFLOW_CTX_DAG_ID='youtube_english_video_pipeline' AIRFLOW_CTX_TASK_ID='build_long_video_7' AIRFLOW_CTX_EXECUTION_DATE='2026-07-25T08:23:54.309173+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2026-07-25T08:23:54.309173+00:00'
[2026-07-25T08:39:30.572+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-07-25T08:39:30.869+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:39:30,869 | INFO     | planner.video_planner | Only 13 phrases for topic='Business English', topping up without topic filter
[2026-07-25T08:39:30.875+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:39:30,875 | INFO     | planner.video_planner | Planned LONG video: topic='Mixed English Expressions', phrases=20
[2026-07-25T08:39:31.137+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:39:31,137 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_294.mp3
[2026-07-25T08:39:31.473+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:39:31,473 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_294.mp3
[2026-07-25T08:39:31.647+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:39:31,647 | INFO     | media.image_downloader | Downloaded background image for scene='office' -> /opt/airflow/output/images/long_294.jpg
[2026-07-25T08:39:35.095+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:39:35,095 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_295.mp3
[2026-07-25T08:39:35.478+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:39:35,478 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_295.mp3
[2026-07-25T08:39:35.689+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:39:35,688 | INFO     | media.image_downloader | Downloaded background image for scene='office' -> /opt/airflow/output/images/long_295.jpg
[2026-07-25T08:39:38.690+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:39:38,690 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_296.mp3
[2026-07-25T08:39:39.155+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:39:39,155 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_296.mp3
[2026-07-25T08:39:39.823+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:39:39,823 | INFO     | media.image_downloader | Downloaded background image for scene='kitchen' -> /opt/airflow/output/images/long_296.jpg
[2026-07-25T08:39:43.458+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:39:43,458 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_299.mp3
[2026-07-25T08:39:43.878+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:39:43,878 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_299.mp3
[2026-07-25T08:39:44.229+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:39:44,229 | INFO     | media.image_downloader | Downloaded background image for scene='classroom' -> /opt/airflow/output/images/long_299.jpg
[2026-07-25T08:39:47.604+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:39:47,604 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_300.mp3
[2026-07-25T08:39:48.027+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:39:48,027 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_300.mp3
[2026-07-25T08:39:48.263+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:39:48,262 | INFO     | media.image_downloader | Downloaded background image for scene='party' -> /opt/airflow/output/images/long_300.jpg
[2026-07-25T08:39:51.613+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:39:51,613 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_303.mp3
[2026-07-25T08:39:52.024+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:39:52,024 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_303.mp3
[2026-07-25T08:39:52.209+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:39:52,208 | INFO     | media.image_downloader | Downloaded background image for scene='office' -> /opt/airflow/output/images/long_303.jpg
[2026-07-25T08:39:55.805+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:39:55,805 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_304.mp3
[2026-07-25T08:39:56.135+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:39:56,135 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_304.mp3
[2026-07-25T08:39:56.434+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:39:56,434 | INFO     | media.image_downloader | Downloaded background image for scene='airport' -> /opt/airflow/output/images/long_304.jpg
[2026-07-25T08:40:00.119+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:40:00,119 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_305.mp3
[2026-07-25T08:40:00.539+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:40:00,539 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_305.mp3
[2026-07-25T08:40:01.296+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:40:01,295 | INFO     | media.image_downloader | Downloaded background image for scene='concert' -> /opt/airflow/output/images/long_305.jpg
[2026-07-25T08:40:05.279+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:40:05,279 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_307.mp3
[2026-07-25T08:40:05.699+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:40:05,698 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_307.mp3
[2026-07-25T08:40:05.901+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:40:05,901 | INFO     | media.image_downloader | Downloaded background image for scene='bus' -> /opt/airflow/output/images/long_307.jpg
[2026-07-25T08:40:09.637+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:40:09,637 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_308.mp3
[2026-07-25T08:40:10.071+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:40:10,071 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_308.mp3
[2026-07-25T08:40:10.391+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:40:10,391 | INFO     | media.image_downloader | Downloaded background image for scene='taxi' -> /opt/airflow/output/images/long_308.jpg
