[2026-07-25T08:42:11.955+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-07-25T08:42:11.982+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_8 manual__2026-07-25T08:23:54.309173+00:00 [queued]>
[2026-07-25T08:42:11.989+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_8 manual__2026-07-25T08:23:54.309173+00:00 [queued]>
[2026-07-25T08:42:11.989+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 3
[2026-07-25T08:42:12.000+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): build_long_video_8> on 2026-07-25 08:23:54.309173+00:00
[2026-07-25T08:42:12.004+0000] {standard_task_runner.py:64} INFO - Started process 30981 to run task
[2026-07-25T08:42:12.006+0000] {standard_task_runner.py:90} INFO - Running: ['airflow', 'tasks', 'run', 'youtube_english_video_pipeline', 'build_long_video_8', 'manual__2026-07-25T08:23:54.309173+00:00', '--job-id', '273', '--raw', '--subdir', 'DAGS_FOLDER/youtube_pipeline.py', '--cfg-path', '/tmp/tmpxri59q_r']
[2026-07-25T08:42:12.009+0000] {standard_task_runner.py:91} INFO - Job 273: Subtask build_long_video_8
[2026-07-25T08:42:12.075+0000] {task_command.py:426} INFO - Running <TaskInstance: youtube_english_video_pipeline.build_long_video_8 manual__2026-07-25T08:23:54.309173+00:00 [running]> on host ce8e21912c19
[2026-07-25T08:42:12.270+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='taky' AIRFLOW_CTX_DAG_ID='youtube_english_video_pipeline' AIRFLOW_CTX_TASK_ID='build_long_video_8' AIRFLOW_CTX_EXECUTION_DATE='2026-07-25T08:23:54.309173+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2026-07-25T08:23:54.309173+00:00'
[2026-07-25T08:42:12.271+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-07-25T08:42:12.582+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:42:12,582 | INFO     | planner.video_planner | Only 9 phrases for topic='Travel English', topping up without topic filter
[2026-07-25T08:42:12.589+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:42:12,589 | INFO     | planner.video_planner | Planned LONG video: topic='Mixed English Expressions', phrases=20
[2026-07-25T08:42:12.852+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:42:12,852 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_324.mp3
[2026-07-25T08:42:13.172+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:42:13,172 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_324.mp3
[2026-07-25T08:42:13.329+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:42:13,329 | INFO     | media.image_downloader | Downloaded background image for scene='party' -> /opt/airflow/output/images/long_324.jpg
[2026-07-25T08:42:16.380+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:42:16,380 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_326.mp3
[2026-07-25T08:42:16.817+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:42:16,817 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_326.mp3
[2026-07-25T08:42:17.014+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:42:17,014 | INFO     | media.image_downloader | Downloaded background image for scene='cafe' -> /opt/airflow/output/images/long_326.jpg
[2026-07-25T08:42:21.000+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:42:21,000 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_328.mp3
[2026-07-25T08:42:21.404+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:42:21,404 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_328.mp3
[2026-07-25T08:42:21.600+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:42:21,600 | INFO     | media.image_downloader | Downloaded background image for scene='park' -> /opt/airflow/output/images/long_328.jpg
[2026-07-25T08:42:25.959+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:42:25,959 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_329.mp3
