[2026-07-25T08:45:33.230+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-07-25T08:45:33.254+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_9 manual__2026-07-25T08:23:54.309173+00:00 [queued]>
[2026-07-25T08:45:33.260+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_9 manual__2026-07-25T08:23:54.309173+00:00 [queued]>
[2026-07-25T08:45:33.261+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 3
[2026-07-25T08:45:33.269+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): build_long_video_9> on 2026-07-25 08:23:54.309173+00:00
[2026-07-25T08:45:33.273+0000] {standard_task_runner.py:64} INFO - Started process 34430 to run task
[2026-07-25T08:45:33.275+0000] {standard_task_runner.py:90} INFO - Running: ['airflow', 'tasks', 'run', 'youtube_english_video_pipeline', 'build_long_video_9', 'manual__2026-07-25T08:23:54.309173+00:00', '--job-id', '278', '--raw', '--subdir', 'DAGS_FOLDER/youtube_pipeline.py', '--cfg-path', '/tmp/tmp3pqft_84']
[2026-07-25T08:45:33.277+0000] {standard_task_runner.py:91} INFO - Job 278: Subtask build_long_video_9
[2026-07-25T08:45:33.329+0000] {task_command.py:426} INFO - Running <TaskInstance: youtube_english_video_pipeline.build_long_video_9 manual__2026-07-25T08:23:54.309173+00:00 [running]> on host ce8e21912c19
[2026-07-25T08:45:33.487+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='taky' AIRFLOW_CTX_DAG_ID='youtube_english_video_pipeline' AIRFLOW_CTX_TASK_ID='build_long_video_9' AIRFLOW_CTX_EXECUTION_DATE='2026-07-25T08:23:54.309173+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2026-07-25T08:23:54.309173+00:00'
[2026-07-25T08:45:33.488+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-07-25T08:45:33.773+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:45:33,773 | INFO     | planner.video_planner | Only 13 phrases for topic='Travel English', topping up without topic filter
[2026-07-25T08:45:33.779+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:45:33,779 | INFO     | planner.video_planner | Planned LONG video: topic='Mixed English Expressions', phrases=20
[2026-07-25T08:45:34.068+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:45:34,068 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_367.mp3
[2026-07-25T08:45:34.312+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:45:34,312 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_367.mp3
[2026-07-25T08:45:34.504+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:45:34,504 | INFO     | media.image_downloader | Downloaded background image for scene='bus' -> /opt/airflow/output/images/long_367.jpg
[2026-07-25T08:45:37.539+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:45:37,539 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_378.mp3
[2026-07-25T08:45:37.995+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:45:37,995 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_378.mp3
[2026-07-25T08:45:38.251+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:45:38,250 | INFO     | media.image_downloader | Downloaded background image for scene='meeting' -> /opt/airflow/output/images/long_378.jpg
[2026-07-25T08:45:41.714+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:45:41,713 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_359.mp3
[2026-07-25T08:45:42.136+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:45:42,136 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_359.mp3
[2026-07-25T08:45:43.113+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:45:43,112 | INFO     | media.image_downloader | Downloaded background image for scene='conversation' -> /opt/airflow/output/images/long_359.jpg
[2026-07-25T08:45:46.101+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:45:46,101 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_366.mp3
