[2026-07-25T09:17:31.662+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-07-25T09:17:31.685+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_1 manual__2026-07-25T09:17:10.519347+00:00 [queued]>
[2026-07-25T09:17:31.690+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_1 manual__2026-07-25T09:17:10.519347+00:00 [queued]>
[2026-07-25T09:17:31.690+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 3
[2026-07-25T09:17:31.699+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): build_long_video_1> on 2026-07-25 09:17:10.519347+00:00
[2026-07-25T09:17:31.703+0000] {standard_task_runner.py:64} INFO - Started process 41517 to run task
[2026-07-25T09:17:31.705+0000] {standard_task_runner.py:90} INFO - Running: ['airflow', 'tasks', 'run', 'youtube_english_video_pipeline', 'build_long_video_1', 'manual__2026-07-25T09:17:10.519347+00:00', '--job-id', '288', '--raw', '--subdir', 'DAGS_FOLDER/youtube_pipeline.py', '--cfg-path', '/tmp/tmpe53qflc8']
[2026-07-25T09:17:31.707+0000] {standard_task_runner.py:91} INFO - Job 288: Subtask build_long_video_1
[2026-07-25T09:17:31.769+0000] {task_command.py:426} INFO - Running <TaskInstance: youtube_english_video_pipeline.build_long_video_1 manual__2026-07-25T09:17:10.519347+00:00 [running]> on host ce8e21912c19
[2026-07-25T09:17:31.927+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='taky' AIRFLOW_CTX_DAG_ID='youtube_english_video_pipeline' AIRFLOW_CTX_TASK_ID='build_long_video_1' AIRFLOW_CTX_EXECUTION_DATE='2026-07-25T09:17:10.519347+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2026-07-25T09:17:10.519347+00:00'
[2026-07-25T09:17:31.928+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-07-25T09:17:32.237+0000] {logging_mixin.py:188} INFO - 2026-07-25 09:17:32,237 | INFO     | planner.video_planner | Only 9 phrases for topic='Shopping English', topping up without topic filter
[2026-07-25T09:17:32.243+0000] {logging_mixin.py:188} INFO - 2026-07-25 09:17:32,243 | INFO     | planner.video_planner | Planned LONG video: topic='Mixed English Expressions', phrases=20
[2026-07-25T09:17:32.553+0000] {logging_mixin.py:188} INFO - 2026-07-25 09:17:32,553 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_389.mp3
[2026-07-25T09:17:32.967+0000] {logging_mixin.py:188} INFO - 2026-07-25 09:17:32,966 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_389.mp3
[2026-07-25T09:17:33.148+0000] {logging_mixin.py:188} INFO - 2026-07-25 09:17:33,148 | INFO     | media.image_downloader | Downloaded background image for scene='restaurant' -> /opt/airflow/output/images/long_389.jpg
[2026-07-25T09:17:36.403+0000] {logging_mixin.py:188} INFO - 2026-07-25 09:17:36,402 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_406.mp3
[2026-07-25T09:17:36.782+0000] {logging_mixin.py:188} INFO - 2026-07-25 09:17:36,782 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_406.mp3
[2026-07-25T09:17:36.957+0000] {logging_mixin.py:188} INFO - 2026-07-25 09:17:36,957 | INFO     | media.image_downloader | Downloaded background image for scene='restaurant' -> /opt/airflow/output/images/long_406.jpg
[2026-07-25T09:17:39.889+0000] {logging_mixin.py:188} INFO - 2026-07-25 09:17:39,889 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_407.mp3
[2026-07-25T09:17:40.175+0000] {logging_mixin.py:188} INFO - 2026-07-25 09:17:40,175 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_407.mp3
[2026-07-25T09:17:40.393+0000] {logging_mixin.py:188} INFO - 2026-07-25 09:17:40,393 | INFO     | media.image_downloader | Downloaded background image for scene='shopping' -> /opt/airflow/output/images/long_407.jpg
[2026-07-25T09:17:43.492+0000] {logging_mixin.py:188} INFO - 2026-07-25 09:17:43,491 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_408.mp3
