[2026-07-25T09:19:58.768+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-07-25T09:19:58.799+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_2 manual__2026-07-25T09:17:10.519347+00:00 [queued]>
[2026-07-25T09:19:58.804+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_2 manual__2026-07-25T09:17:10.519347+00:00 [queued]>
[2026-07-25T09:19:58.805+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 3
[2026-07-25T09:19:58.814+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): build_long_video_2> on 2026-07-25 09:17:10.519347+00:00
[2026-07-25T09:19:58.818+0000] {standard_task_runner.py:64} INFO - Started process 44928 to run task
[2026-07-25T09:19:58.821+0000] {standard_task_runner.py:90} INFO - Running: ['airflow', 'tasks', 'run', 'youtube_english_video_pipeline', 'build_long_video_2', 'manual__2026-07-25T09:17:10.519347+00:00', '--job-id', '293', '--raw', '--subdir', 'DAGS_FOLDER/youtube_pipeline.py', '--cfg-path', '/tmp/tmp1rfe7dwv']
[2026-07-25T09:19:58.822+0000] {standard_task_runner.py:91} INFO - Job 293: Subtask build_long_video_2
[2026-07-25T09:19:58.890+0000] {task_command.py:426} INFO - Running <TaskInstance: youtube_english_video_pipeline.build_long_video_2 manual__2026-07-25T09:17:10.519347+00:00 [running]> on host ce8e21912c19
[2026-07-25T09:19:59.067+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='taky' AIRFLOW_CTX_DAG_ID='youtube_english_video_pipeline' AIRFLOW_CTX_TASK_ID='build_long_video_2' AIRFLOW_CTX_EXECUTION_DATE='2026-07-25T09:17:10.519347+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2026-07-25T09:17:10.519347+00:00'
[2026-07-25T09:19:59.068+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-07-25T09:19:59.380+0000] {logging_mixin.py:188} INFO - 2026-07-25 09:19:59,380 | INFO     | planner.video_planner | Only 5 phrases for topic='Travel English', topping up without topic filter
[2026-07-25T09:19:59.385+0000] {logging_mixin.py:188} INFO - 2026-07-25 09:19:59,385 | INFO     | planner.video_planner | Planned LONG video: topic='Mixed English Expressions', phrases=20
[2026-07-25T09:19:59.673+0000] {logging_mixin.py:188} INFO - 2026-07-25 09:19:59,673 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_425.mp3
[2026-07-25T09:20:00.090+0000] {logging_mixin.py:188} INFO - 2026-07-25 09:20:00,090 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_425.mp3
[2026-07-25T09:20:00.298+0000] {logging_mixin.py:188} INFO - 2026-07-25 09:20:00,298 | INFO     | media.image_downloader | Downloaded background image for scene='office' -> /opt/airflow/output/images/long_425.jpg
[2026-07-25T09:20:03.657+0000] {logging_mixin.py:188} INFO - 2026-07-25 09:20:03,657 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_426.mp3
[2026-07-25T09:20:04.034+0000] {logging_mixin.py:188} INFO - 2026-07-25 09:20:04,034 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_426.mp3
[2026-07-25T09:20:04.266+0000] {logging_mixin.py:188} INFO - 2026-07-25 09:20:04,265 | INFO     | media.image_downloader | Downloaded background image for scene='street' -> /opt/airflow/output/images/long_426.jpg
[2026-07-25T09:20:08.009+0000] {logging_mixin.py:188} INFO - 2026-07-25 09:20:08,009 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_427.mp3
[2026-07-25T09:20:08.337+0000] {logging_mixin.py:188} INFO - 2026-07-25 09:20:08,337 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_427.mp3
[2026-07-25T09:20:08.513+0000] {logging_mixin.py:188} INFO - 2026-07-25 09:20:08,513 | INFO     | media.image_downloader | Downloaded background image for scene='party' -> /opt/airflow/output/images/long_427.jpg
[2026-07-25T09:20:11.552+0000] {logging_mixin.py:188} INFO - 2026-07-25 09:20:11,552 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_428.mp3
[2026-07-25T09:20:11.901+0000] {logging_mixin.py:188} INFO - 2026-07-25 09:20:11,901 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_428.mp3
[2026-07-25T09:20:12.117+0000] {logging_mixin.py:188} INFO - 2026-07-25 09:20:12,117 | INFO     | media.image_downloader | Downloaded background image for scene='park' -> /opt/airflow/output/images/long_428.jpg
[2026-07-25T09:20:16.357+0000] {logging_mixin.py:188} INFO - 2026-07-25 09:20:16,356 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_429.mp3
[2026-07-25T09:20:16.744+0000] {logging_mixin.py:188} INFO - 2026-07-25 09:20:16,744 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_429.mp3
[2026-07-25T09:20:17.739+0000] {logging_mixin.py:188} INFO - 2026-07-25 09:20:17,739 | INFO     | media.image_downloader | Downloaded background image for scene='electronics' -> /opt/airflow/output/images/long_429.jpg
