[2026-07-26T06:18:08.665+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-07-26T06:18:08.721+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_1 manual__2026-07-26T06:16:19.799239+00:00 [queued]>
[2026-07-26T06:18:08.732+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_1 manual__2026-07-26T06:16:19.799239+00:00 [queued]>
[2026-07-26T06:18:08.733+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 3
[2026-07-26T06:18:08.749+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): build_long_video_1> on 2026-07-26 06:16:19.799239+00:00
[2026-07-26T06:18:08.756+0000] {standard_task_runner.py:64} INFO - Started process 16874 to run task
[2026-07-26T06:18:08.759+0000] {standard_task_runner.py:90} INFO - Running: ['airflow', 'tasks', 'run', 'youtube_english_video_pipeline', 'build_long_video_1', 'manual__2026-07-26T06:16:19.799239+00:00', '--job-id', '345', '--raw', '--subdir', 'DAGS_FOLDER/youtube_pipeline.py', '--cfg-path', '/tmp/tmpnzdaz7jk']
[2026-07-26T06:18:08.762+0000] {standard_task_runner.py:91} INFO - Job 345: Subtask build_long_video_1
[2026-07-26T06:18:08.855+0000] {task_command.py:426} INFO - Running <TaskInstance: youtube_english_video_pipeline.build_long_video_1 manual__2026-07-26T06:16:19.799239+00:00 [running]> on host cc859d74cf38
[2026-07-26T06:18:09.230+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='taky' AIRFLOW_CTX_DAG_ID='youtube_english_video_pipeline' AIRFLOW_CTX_TASK_ID='build_long_video_1' AIRFLOW_CTX_EXECUTION_DATE='2026-07-26T06:16:19.799239+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2026-07-26T06:16:19.799239+00:00'
[2026-07-26T06:18:09.232+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-07-26T06:18:10.928+0000] {logging_mixin.py:188} INFO - 2026-07-26 06:18:10,927 | INFO     | planner.video_planner | Planned LONG video: topic='Daily Conversation', phrases=18
[2026-07-26T06:18:11.905+0000] {logging_mixin.py:188} INFO - 2026-07-26 06:18:11,905 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_538.mp3
[2026-07-26T06:18:13.151+0000] {logging_mixin.py:188} INFO - 2026-07-26 06:18:13,150 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_538.mp3
[2026-07-26T06:18:14.343+0000] {logging_mixin.py:188} INFO - 2026-07-26 06:18:14,343 | INFO     | media.image_downloader | Downloaded background image for scene='restaurant' -> /opt/airflow/output/images/long_538.jpg
[2026-07-26T06:18:19.700+0000] {logging_mixin.py:188} INFO - 2026-07-26 06:18:19,699 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_541.mp3
[2026-07-26T06:18:20.141+0000] {logging_mixin.py:188} INFO - 2026-07-26 06:18:20,141 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_541.mp3
[2026-07-26T06:18:20.473+0000] {logging_mixin.py:188} INFO - 2026-07-26 06:18:20,473 | INFO     | media.image_downloader | Downloaded background image for scene='street' -> /opt/airflow/output/images/long_541.jpg
[2026-07-26T06:18:26.073+0000] {logging_mixin.py:188} INFO - 2026-07-26 06:18:26,073 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_545.mp3
[2026-07-26T06:18:26.395+0000] {logging_mixin.py:188} INFO - 2026-07-26 06:18:26,394 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_545.mp3
[2026-07-26T06:18:27.254+0000] {logging_mixin.py:188} INFO - 2026-07-26 06:18:27,254 | INFO     | media.image_downloader | Downloaded background image for scene='elevator' -> /opt/airflow/output/images/long_545.jpg
[2026-07-26T06:18:31.867+0000] {logging_mixin.py:188} INFO - 2026-07-26 06:18:31,867 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_556.mp3
[2026-07-26T06:18:32.205+0000] {logging_mixin.py:188} INFO - 2026-07-26 06:18:32,205 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_556.mp3
