[2026-07-26T06:21:22.701+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-07-26T06:21:22.733+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_2 manual__2026-07-26T06:16:19.799239+00:00 [queued]>
[2026-07-26T06:21:22.741+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_2 manual__2026-07-26T06:16:19.799239+00:00 [queued]>
[2026-07-26T06:21:22.742+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 3
[2026-07-26T06:21:22.754+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): build_long_video_2> on 2026-07-26 06:16:19.799239+00:00
[2026-07-26T06:21:22.759+0000] {standard_task_runner.py:64} INFO - Started process 19993 to run task
[2026-07-26T06:21:22.763+0000] {standard_task_runner.py:90} INFO - Running: ['airflow', 'tasks', 'run', 'youtube_english_video_pipeline', 'build_long_video_2', 'manual__2026-07-26T06:16:19.799239+00:00', '--job-id', '350', '--raw', '--subdir', 'DAGS_FOLDER/youtube_pipeline.py', '--cfg-path', '/tmp/tmpf5ilgxi5']
[2026-07-26T06:21:22.765+0000] {standard_task_runner.py:91} INFO - Job 350: Subtask build_long_video_2
[2026-07-26T06:21:22.836+0000] {task_command.py:426} INFO - Running <TaskInstance: youtube_english_video_pipeline.build_long_video_2 manual__2026-07-26T06:16:19.799239+00:00 [running]> on host cc859d74cf38
[2026-07-26T06:21:23.093+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='taky' AIRFLOW_CTX_DAG_ID='youtube_english_video_pipeline' AIRFLOW_CTX_TASK_ID='build_long_video_2' AIRFLOW_CTX_EXECUTION_DATE='2026-07-26T06:16:19.799239+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2026-07-26T06:16:19.799239+00:00'
[2026-07-26T06:21:23.094+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-07-26T06:21:23.827+0000] {logging_mixin.py:188} INFO - 2026-07-26 06:21:23,827 | INFO     | planner.video_planner | Only 11 phrases for topic='Business English', topping up without topic filter
[2026-07-26T06:21:23.839+0000] {logging_mixin.py:188} INFO - 2026-07-26 06:21:23,839 | INFO     | planner.video_planner | Planned LONG video: topic='Mixed English Expressions', phrases=20
[2026-07-26T06:21:24.046+0000] {logging_mixin.py:188} INFO - 2026-07-26 06:21:24,046 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_540.mp3
[2026-07-26T06:21:24.284+0000] {logging_mixin.py:188} INFO - 2026-07-26 06:21:24,284 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_540.mp3
[2026-07-26T06:21:24.542+0000] {logging_mixin.py:188} INFO - 2026-07-26 06:21:24,542 | INFO     | media.image_downloader | Downloaded background image for scene='bus' -> /opt/airflow/output/images/long_540.jpg
[2026-07-26T06:21:28.805+0000] {logging_mixin.py:188} INFO - 2026-07-26 06:21:28,805 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_542.mp3
[2026-07-26T06:21:29.131+0000] {logging_mixin.py:188} INFO - 2026-07-26 06:21:29,131 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_542.mp3
[2026-07-26T06:21:29.531+0000] {logging_mixin.py:188} INFO - 2026-07-26 06:21:29,531 | INFO     | media.image_downloader | Downloaded background image for scene='hotel' -> /opt/airflow/output/images/long_542.jpg
[2026-07-26T06:21:33.646+0000] {logging_mixin.py:188} INFO - 2026-07-26 06:21:33,646 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_543.mp3
[2026-07-26T06:21:33.994+0000] {logging_mixin.py:188} INFO - 2026-07-26 06:21:33,994 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_543.mp3
[2026-07-26T06:21:34.240+0000] {logging_mixin.py:188} INFO - 2026-07-26 06:21:34,240 | INFO     | media.image_downloader | Downloaded background image for scene='airport' -> /opt/airflow/output/images/long_543.jpg
[2026-07-26T06:21:38.812+0000] {logging_mixin.py:188} INFO - 2026-07-26 06:21:38,812 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_544.mp3
[2026-07-26T06:21:39.264+0000] {logging_mixin.py:188} INFO - 2026-07-26 06:21:39,264 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_544.mp3
