[2026-07-26T06:24:24.341+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-07-26T06:24:24.375+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_3 manual__2026-07-26T06:16:19.799239+00:00 [queued]>
[2026-07-26T06:24:24.384+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_3 manual__2026-07-26T06:16:19.799239+00:00 [queued]>
[2026-07-26T06:24:24.385+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 3
[2026-07-26T06:24:24.398+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): build_long_video_3> on 2026-07-26 06:16:19.799239+00:00
[2026-07-26T06:24:24.404+0000] {standard_task_runner.py:64} INFO - Started process 23425 to run task
[2026-07-26T06:24:24.408+0000] {standard_task_runner.py:90} INFO - Running: ['airflow', 'tasks', 'run', 'youtube_english_video_pipeline', 'build_long_video_3', 'manual__2026-07-26T06:16:19.799239+00:00', '--job-id', '355', '--raw', '--subdir', 'DAGS_FOLDER/youtube_pipeline.py', '--cfg-path', '/tmp/tmpj4cfwd29']
[2026-07-26T06:24:24.411+0000] {standard_task_runner.py:91} INFO - Job 355: Subtask build_long_video_3
[2026-07-26T06:24:24.486+0000] {task_command.py:426} INFO - Running <TaskInstance: youtube_english_video_pipeline.build_long_video_3 manual__2026-07-26T06:16:19.799239+00:00 [running]> on host cc859d74cf38
[2026-07-26T06:24:24.716+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='taky' AIRFLOW_CTX_DAG_ID='youtube_english_video_pipeline' AIRFLOW_CTX_TASK_ID='build_long_video_3' AIRFLOW_CTX_EXECUTION_DATE='2026-07-26T06:16:19.799239+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2026-07-26T06:16:19.799239+00:00'
[2026-07-26T06:24:24.717+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-07-26T06:24:25.252+0000] {logging_mixin.py:188} INFO - 2026-07-26 06:24:25,252 | INFO     | planner.video_planner | Only 8 phrases for topic='Business English', topping up without topic filter
[2026-07-26T06:24:25.260+0000] {logging_mixin.py:188} INFO - 2026-07-26 06:24:25,260 | INFO     | planner.video_planner | Planned LONG video: topic='Mixed English Expressions', phrases=20
[2026-07-26T06:24:25.744+0000] {logging_mixin.py:188} INFO - 2026-07-26 06:24:25,744 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_568.mp3
[2026-07-26T06:24:26.637+0000] {logging_mixin.py:188} INFO - 2026-07-26 06:24:26,637 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_568.mp3
[2026-07-26T06:24:26.919+0000] {logging_mixin.py:188} INFO - 2026-07-26 06:24:26,919 | INFO     | media.image_downloader | Downloaded background image for scene='hotel' -> /opt/airflow/output/images/long_568.jpg
[2026-07-26T06:24:31.664+0000] {logging_mixin.py:188} INFO - 2026-07-26 06:24:31,664 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_569.mp3
[2026-07-26T06:24:32.081+0000] {logging_mixin.py:188} INFO - 2026-07-26 06:24:32,081 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_569.mp3
[2026-07-26T06:24:32.329+0000] {logging_mixin.py:188} INFO - 2026-07-26 06:24:32,328 | INFO     | media.image_downloader | Downloaded background image for scene='hotel' -> /opt/airflow/output/images/long_569.jpg
[2026-07-26T06:24:37.017+0000] {logging_mixin.py:188} INFO - 2026-07-26 06:24:37,017 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_570.mp3
[2026-07-26T06:24:37.376+0000] {logging_mixin.py:188} INFO - 2026-07-26 06:24:37,376 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_570.mp3
[2026-07-26T06:24:37.581+0000] {logging_mixin.py:188} INFO - 2026-07-26 06:24:37,581 | INFO     | media.image_downloader | Downloaded background image for scene='airport' -> /opt/airflow/output/images/long_570.jpg
[2026-07-26T06:24:42.173+0000] {logging_mixin.py:188} INFO - 2026-07-26 06:24:42,173 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_571.mp3
