[2026-07-27T10:59:02.088+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-07-27T10:59:02.124+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_1 manual__2026-07-27T10:57:47.140907+00:00 [queued]>
[2026-07-27T10:59:02.131+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_1 manual__2026-07-27T10:57:47.140907+00:00 [queued]>
[2026-07-27T10:59:02.133+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 3
[2026-07-27T10:59:02.145+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): build_long_video_1> on 2026-07-27 10:57:47.140907+00:00
[2026-07-27T10:59:02.151+0000] {standard_task_runner.py:64} INFO - Started process 61190 to run task
[2026-07-27T10:59:02.154+0000] {standard_task_runner.py:90} INFO - Running: ['airflow', 'tasks', 'run', 'youtube_english_video_pipeline', 'build_long_video_1', 'manual__2026-07-27T10:57:47.140907+00:00', '--job-id', '417', '--raw', '--subdir', 'DAGS_FOLDER/youtube_pipeline.py', '--cfg-path', '/tmp/tmpziac5wfd']
[2026-07-27T10:59:02.157+0000] {standard_task_runner.py:91} INFO - Job 417: Subtask build_long_video_1
[2026-07-27T10:59:02.248+0000] {task_command.py:426} INFO - Running <TaskInstance: youtube_english_video_pipeline.build_long_video_1 manual__2026-07-27T10:57:47.140907+00:00 [running]> on host cc859d74cf38
[2026-07-27T10:59:02.501+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='taky' AIRFLOW_CTX_DAG_ID='youtube_english_video_pipeline' AIRFLOW_CTX_TASK_ID='build_long_video_1' AIRFLOW_CTX_EXECUTION_DATE='2026-07-27T10:57:47.140907+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2026-07-27T10:57:47.140907+00:00'
[2026-07-27T10:59:02.502+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-07-27T10:59:03.635+0000] {logging_mixin.py:188} INFO - 2026-07-27 10:59:03,635 | INFO     | planner.video_planner | Planned LONG video: topic='Shopping English', phrases=19
[2026-07-27T10:59:03.953+0000] {logging_mixin.py:188} INFO - 2026-07-27 10:59:03,953 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_905.mp3
[2026-07-27T10:59:04.313+0000] {logging_mixin.py:188} INFO - 2026-07-27 10:59:04,312 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_905.mp3
[2026-07-27T10:59:04.516+0000] {logging_mixin.py:188} INFO - 2026-07-27 10:59:04,515 | INFO     | media.image_downloader | Downloaded background image for scene='store' -> /opt/airflow/output/images/long_905.jpg
[2026-07-27T10:59:09.141+0000] {logging_mixin.py:188} INFO - 2026-07-27 10:59:09,141 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_909.mp3
[2026-07-27T10:59:09.628+0000] {logging_mixin.py:188} INFO - 2026-07-27 10:59:09,627 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_909.mp3
[2026-07-27T10:59:10.434+0000] {logging_mixin.py:188} INFO - 2026-07-27 10:59:10,434 | INFO     | media.image_downloader | Downloaded background image for scene='checkout' -> /opt/airflow/output/images/long_909.jpg
[2026-07-27T10:59:13.960+0000] {logging_mixin.py:188} INFO - 2026-07-27 10:59:13,960 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_813.mp3
[2026-07-27T10:59:14.341+0000] {logging_mixin.py:188} INFO - 2026-07-27 10:59:14,341 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_813.mp3
[2026-07-27T10:59:14.625+0000] {logging_mixin.py:188} INFO - 2026-07-27 10:59:14,625 | INFO     | media.image_downloader | Downloaded background image for scene='shopping' -> /opt/airflow/output/images/long_813.jpg
[2026-07-27T10:59:19.366+0000] {logging_mixin.py:188} INFO - 2026-07-27 10:59:19,366 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_822.mp3
[2026-07-27T10:59:19.842+0000] {logging_mixin.py:188} INFO - 2026-07-27 10:59:19,842 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_822.mp3
[2026-07-27T10:59:20.137+0000] {logging_mixin.py:188} INFO - 2026-07-27 10:59:20,137 | INFO     | media.image_downloader | Downloaded background image for scene='shopping' -> /opt/airflow/output/images/long_822.jpg
[2026-07-27T10:59:24.573+0000] {logging_mixin.py:188} INFO - 2026-07-27 10:59:24,573 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_827.mp3
[2026-07-27T10:59:25.035+0000] {logging_mixin.py:188} INFO - 2026-07-27 10:59:25,035 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_827.mp3
[2026-07-27T10:59:25.231+0000] {logging_mixin.py:188} INFO - 2026-07-27 10:59:25,231 | INFO     | media.image_downloader | Downloaded background image for scene='store' -> /opt/airflow/output/images/long_827.jpg
[2026-07-27T10:59:28.853+0000] {logging_mixin.py:188} INFO - 2026-07-27 10:59:28,852 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_828.mp3
[2026-07-27T10:59:29.225+0000] {logging_mixin.py:188} INFO - 2026-07-27 10:59:29,225 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_828.mp3
[2026-07-27T10:59:29.447+0000] {logging_mixin.py:188} INFO - 2026-07-27 10:59:29,447 | INFO     | media.image_downloader | Downloaded background image for scene='shopping' -> /opt/airflow/output/images/long_828.jpg
[2026-07-27T10:59:33.722+0000] {logging_mixin.py:188} INFO - 2026-07-27 10:59:33,722 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_838.mp3
[2026-07-27T10:59:34.324+0000] {logging_mixin.py:188} INFO - 2026-07-27 10:59:34,324 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_838.mp3
[2026-07-27T10:59:34.601+0000] {logging_mixin.py:188} INFO - 2026-07-27 10:59:34,601 | INFO     | media.image_downloader | Downloaded background image for scene='shopping' -> /opt/airflow/output/images/long_838.jpg
[2026-07-27T10:59:38.557+0000] {logging_mixin.py:188} INFO - 2026-07-27 10:59:38,557 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_845.mp3
[2026-07-27T10:59:38.931+0000] {logging_mixin.py:188} INFO - 2026-07-27 10:59:38,931 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_845.mp3
[2026-07-27T10:59:39.132+0000] {logging_mixin.py:188} INFO - 2026-07-27 10:59:39,132 | INFO     | media.image_downloader | Downloaded background image for scene='store' -> /opt/airflow/output/images/long_845.jpg
[2026-07-27T10:59:42.873+0000] {logging_mixin.py:188} INFO - 2026-07-27 10:59:42,873 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_850.mp3
[2026-07-27T10:59:43.257+0000] {logging_mixin.py:188} INFO - 2026-07-27 10:59:43,256 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_850.mp3
[2026-07-27T10:59:43.567+0000] {logging_mixin.py:188} INFO - 2026-07-27 10:59:43,567 | INFO     | media.image_downloader | Downloaded background image for scene='store' -> /opt/airflow/output/images/long_850.jpg
[2026-07-27T10:59:47.644+0000] {logging_mixin.py:188} INFO - 2026-07-27 10:59:47,644 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_853.mp3
[2026-07-27T10:59:48.135+0000] {logging_mixin.py:188} INFO - 2026-07-27 10:59:48,135 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_853.mp3
[2026-07-27T10:59:48.694+0000] {logging_mixin.py:188} INFO - 2026-07-27 10:59:48,694 | INFO     | media.image_downloader | Downloaded background image for scene='bakery' -> /opt/airflow/output/images/long_853.jpg
[2026-07-27T10:59:52.752+0000] {logging_mixin.py:188} INFO - 2026-07-27 10:59:52,752 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_858.mp3
[2026-07-27T10:59:53.125+0000] {logging_mixin.py:188} INFO - 2026-07-27 10:59:53,125 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_858.mp3
[2026-07-27T10:59:53.297+0000] {logging_mixin.py:188} INFO - 2026-07-27 10:59:53,297 | INFO     | media.image_downloader | Downloaded background image for scene='checkout' -> /opt/airflow/output/images/long_858.jpg
[2026-07-27T10:59:56.879+0000] {logging_mixin.py:188} INFO - 2026-07-27 10:59:56,879 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_867.mp3
[2026-07-27T10:59:57.255+0000] {logging_mixin.py:188} INFO - 2026-07-27 10:59:57,255 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_867.mp3
[2026-07-27T10:59:57.551+0000] {logging_mixin.py:188} INFO - 2026-07-27 10:59:57,551 | INFO     | media.image_downloader | Downloaded background image for scene='electronics' -> /opt/airflow/output/images/long_867.jpg
