[2026-07-27T11:23:08.060+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-07-27T11:23:08.088+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_10 manual__2026-07-27T10:57:47.140907+00:00 [queued]>
[2026-07-27T11:23:08.096+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_10 manual__2026-07-27T10:57:47.140907+00:00 [queued]>
[2026-07-27T11:23:08.097+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 3
[2026-07-27T11:23:08.106+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): build_long_video_10> on 2026-07-27 10:57:47.140907+00:00
[2026-07-27T11:23:08.110+0000] {standard_task_runner.py:64} INFO - Started process 88918 to run task
[2026-07-27T11:23:08.112+0000] {standard_task_runner.py:90} INFO - Running: ['airflow', 'tasks', 'run', 'youtube_english_video_pipeline', 'build_long_video_10', 'manual__2026-07-27T10:57:47.140907+00:00', '--job-id', '462', '--raw', '--subdir', 'DAGS_FOLDER/youtube_pipeline.py', '--cfg-path', '/tmp/tmpz396l_r7']
[2026-07-27T11:23:08.115+0000] {standard_task_runner.py:91} INFO - Job 462: Subtask build_long_video_10
[2026-07-27T11:23:08.190+0000] {task_command.py:426} INFO - Running <TaskInstance: youtube_english_video_pipeline.build_long_video_10 manual__2026-07-27T10:57:47.140907+00:00 [running]> on host cc859d74cf38
[2026-07-27T11:23:08.403+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='taky' AIRFLOW_CTX_DAG_ID='youtube_english_video_pipeline' AIRFLOW_CTX_TASK_ID='build_long_video_10' AIRFLOW_CTX_EXECUTION_DATE='2026-07-27T10:57:47.140907+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2026-07-27T10:57:47.140907+00:00'
[2026-07-27T11:23:08.405+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-07-27T11:23:09.063+0000] {logging_mixin.py:188} INFO - 2026-07-27 11:23:09,063 | INFO     | planner.video_planner | Only 9 phrases for topic='Travel English', topping up without topic filter
[2026-07-27T11:23:09.069+0000] {logging_mixin.py:188} INFO - 2026-07-27 11:23:09,069 | INFO     | planner.video_planner | Planned LONG video: topic='Mixed English Expressions', phrases=20
[2026-07-27T11:23:09.376+0000] {logging_mixin.py:188} INFO - 2026-07-27 11:23:09,376 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_929.mp3
[2026-07-27T11:23:09.806+0000] {logging_mixin.py:188} INFO - 2026-07-27 11:23:09,806 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_929.mp3
[2026-07-27T11:23:10.046+0000] {logging_mixin.py:188} INFO - 2026-07-27 11:23:10,046 | INFO     | media.image_downloader | Downloaded background image for scene='park' -> /opt/airflow/output/images/long_929.jpg
[2026-07-27T11:23:14.692+0000] {logging_mixin.py:188} INFO - 2026-07-27 11:23:14,692 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_930.mp3
[2026-07-27T11:23:15.089+0000] {logging_mixin.py:188} INFO - 2026-07-27 11:23:15,089 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_930.mp3
[2026-07-27T11:23:15.559+0000] {logging_mixin.py:188} INFO - 2026-07-27 11:23:15,559 | INFO     | media.image_downloader | Downloaded background image for scene='traffic' -> /opt/airflow/output/images/long_930.jpg
[2026-07-27T11:23:19.610+0000] {logging_mixin.py:188} INFO - 2026-07-27 11:23:19,610 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_931.mp3
[2026-07-27T11:23:20.033+0000] {logging_mixin.py:188} INFO - 2026-07-27 11:23:20,033 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_931.mp3
[2026-07-27T11:23:20.266+0000] {logging_mixin.py:188} INFO - 2026-07-27 11:23:20,265 | INFO     | media.image_downloader | Downloaded background image for scene='restaurant' -> /opt/airflow/output/images/long_931.jpg
[2026-07-27T11:23:23.873+0000] {logging_mixin.py:188} INFO - 2026-07-27 11:23:23,873 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_932.mp3
