[2026-07-27T11:01:44.812+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-07-27T11:01:44.838+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_2 manual__2026-07-27T10:57:47.140907+00:00 [queued]>
[2026-07-27T11:01:44.844+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_2 manual__2026-07-27T10:57:47.140907+00:00 [queued]>
[2026-07-27T11:01:44.845+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 3
[2026-07-27T11:01:44.855+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): build_long_video_2> on 2026-07-27 10:57:47.140907+00:00
[2026-07-27T11:01:44.859+0000] {standard_task_runner.py:64} INFO - Started process 64483 to run task
[2026-07-27T11:01:44.861+0000] {standard_task_runner.py:90} INFO - Running: ['airflow', 'tasks', 'run', 'youtube_english_video_pipeline', 'build_long_video_2', 'manual__2026-07-27T10:57:47.140907+00:00', '--job-id', '422', '--raw', '--subdir', 'DAGS_FOLDER/youtube_pipeline.py', '--cfg-path', '/tmp/tmpdmvxcx7u']
[2026-07-27T11:01:44.863+0000] {standard_task_runner.py:91} INFO - Job 422: Subtask build_long_video_2
[2026-07-27T11:01:44.931+0000] {task_command.py:426} INFO - Running <TaskInstance: youtube_english_video_pipeline.build_long_video_2 manual__2026-07-27T10:57:47.140907+00:00 [running]> on host cc859d74cf38
[2026-07-27T11:01:45.143+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='taky' AIRFLOW_CTX_DAG_ID='youtube_english_video_pipeline' AIRFLOW_CTX_TASK_ID='build_long_video_2' AIRFLOW_CTX_EXECUTION_DATE='2026-07-27T10:57:47.140907+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2026-07-27T10:57:47.140907+00:00'
[2026-07-27T11:01:45.143+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-07-27T11:01:45.761+0000] {logging_mixin.py:188} INFO - 2026-07-27 11:01:45,761 | INFO     | planner.video_planner | Planned LONG video: topic='Travel English', phrases=17
[2026-07-27T11:01:46.239+0000] {logging_mixin.py:188} INFO - 2026-07-27 11:01:46,239 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_798.mp3
[2026-07-27T11:01:46.910+0000] {logging_mixin.py:188} INFO - 2026-07-27 11:01:46,910 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_798.mp3
[2026-07-27T11:01:47.247+0000] {logging_mixin.py:188} INFO - 2026-07-27 11:01:47,247 | INFO     | media.image_downloader | Downloaded background image for scene='taxi' -> /opt/airflow/output/images/long_798.jpg
[2026-07-27T11:01:50.692+0000] {logging_mixin.py:188} INFO - 2026-07-27 11:01:50,692 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_796.mp3
[2026-07-27T11:01:52.104+0000] {logging_mixin.py:188} INFO - 2026-07-27 11:01:52,103 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_796.mp3
[2026-07-27T11:01:52.291+0000] {logging_mixin.py:188} INFO - 2026-07-27 11:01:52,291 | INFO     | media.image_downloader | Downloaded background image for scene='airport' -> /opt/airflow/output/images/long_796.jpg
[2026-07-27T11:01:56.664+0000] {logging_mixin.py:188} INFO - 2026-07-27 11:01:56,664 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_797.mp3
[2026-07-27T11:01:56.975+0000] {logging_mixin.py:188} INFO - 2026-07-27 11:01:56,975 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_797.mp3
[2026-07-27T11:01:57.179+0000] {logging_mixin.py:188} INFO - 2026-07-27 11:01:57,179 | INFO     | media.image_downloader | Downloaded background image for scene='bus' -> /opt/airflow/output/images/long_797.jpg
[2026-07-27T11:02:00.696+0000] {logging_mixin.py:188} INFO - 2026-07-27 11:02:00,696 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_812.mp3
[2026-07-27T11:02:01.047+0000] {logging_mixin.py:188} INFO - 2026-07-27 11:02:01,047 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_812.mp3
[2026-07-27T11:02:01.287+0000] {logging_mixin.py:188} INFO - 2026-07-27 11:02:01,287 | INFO     | media.image_downloader | Downloaded background image for scene='street' -> /opt/airflow/output/images/long_812.jpg
[2026-07-27T11:02:05.691+0000] {logging_mixin.py:188} INFO - 2026-07-27 11:02:05,690 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_826.mp3
[2026-07-27T11:02:06.084+0000] {logging_mixin.py:188} INFO - 2026-07-27 11:02:06,083 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_826.mp3
[2026-07-27T11:02:06.301+0000] {logging_mixin.py:188} INFO - 2026-07-27 11:02:06,300 | INFO     | media.image_downloader | Downloaded background image for scene='taxi' -> /opt/airflow/output/images/long_826.jpg
[2026-07-27T11:02:09.961+0000] {logging_mixin.py:188} INFO - 2026-07-27 11:02:09,960 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_831.mp3
[2026-07-27T11:02:10.390+0000] {logging_mixin.py:188} INFO - 2026-07-27 11:02:10,390 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_831.mp3
[2026-07-27T11:02:10.691+0000] {logging_mixin.py:188} INFO - 2026-07-27 11:02:10,691 | INFO     | media.image_downloader | Downloaded background image for scene='city' -> /opt/airflow/output/images/long_831.jpg
[2026-07-27T11:02:15.011+0000] {logging_mixin.py:188} INFO - 2026-07-27 11:02:15,011 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_843.mp3
[2026-07-27T11:02:15.374+0000] {logging_mixin.py:188} INFO - 2026-07-27 11:02:15,374 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_843.mp3
[2026-07-27T11:02:15.563+0000] {logging_mixin.py:188} INFO - 2026-07-27 11:02:15,563 | INFO     | media.image_downloader | Downloaded background image for scene='subway' -> /opt/airflow/output/images/long_843.jpg
[2026-07-27T11:02:18.910+0000] {logging_mixin.py:188} INFO - 2026-07-27 11:02:18,910 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_848.mp3
[2026-07-27T11:02:19.298+0000] {logging_mixin.py:188} INFO - 2026-07-27 11:02:19,298 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_848.mp3
[2026-07-27T11:02:19.488+0000] {logging_mixin.py:188} INFO - 2026-07-27 11:02:19,487 | INFO     | media.image_downloader | Downloaded background image for scene='airport' -> /opt/airflow/output/images/long_848.jpg
[2026-07-27T11:02:23.472+0000] {logging_mixin.py:188} INFO - 2026-07-27 11:02:23,472 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_855.mp3
[2026-07-27T11:02:24.023+0000] {logging_mixin.py:188} INFO - 2026-07-27 11:02:24,023 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_855.mp3
[2026-07-27T11:02:24.308+0000] {logging_mixin.py:188} INFO - 2026-07-27 11:02:24,308 | INFO     | media.image_downloader | Downloaded background image for scene='airport' -> /opt/airflow/output/images/long_855.jpg
[2026-07-27T11:02:28.341+0000] {logging_mixin.py:188} INFO - 2026-07-27 11:02:28,341 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_859.mp3
[2026-07-27T11:02:28.719+0000] {logging_mixin.py:188} INFO - 2026-07-27 11:02:28,719 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_859.mp3
[2026-07-27T11:02:28.910+0000] {logging_mixin.py:188} INFO - 2026-07-27 11:02:28,910 | INFO     | media.image_downloader | Downloaded background image for scene='airport' -> /opt/airflow/output/images/long_859.jpg
[2026-07-27T11:02:32.925+0000] {logging_mixin.py:188} INFO - 2026-07-27 11:02:32,925 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_865.mp3
[2026-07-27T11:02:33.216+0000] {logging_mixin.py:188} INFO - 2026-07-27 11:02:33,216 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_865.mp3
[2026-07-27T11:02:33.552+0000] {logging_mixin.py:188} INFO - 2026-07-27 11:02:33,552 | INFO     | media.image_downloader | Downloaded background image for scene='train' -> /opt/airflow/output/images/long_865.jpg
