[2026-07-27T11:08:54.330+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-07-27T11:08:54.373+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_5 manual__2026-07-27T10:57:47.140907+00:00 [queued]>
[2026-07-27T11:08:54.386+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_5 manual__2026-07-27T10:57:47.140907+00:00 [queued]>
[2026-07-27T11:08:54.388+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 3
[2026-07-27T11:08:54.405+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): build_long_video_5> on 2026-07-27 10:57:47.140907+00:00
[2026-07-27T11:08:54.410+0000] {standard_task_runner.py:64} INFO - Started process 73038 to run task
[2026-07-27T11:08:54.415+0000] {standard_task_runner.py:90} INFO - Running: ['airflow', 'tasks', 'run', 'youtube_english_video_pipeline', 'build_long_video_5', 'manual__2026-07-27T10:57:47.140907+00:00', '--job-id', '437', '--raw', '--subdir', 'DAGS_FOLDER/youtube_pipeline.py', '--cfg-path', '/tmp/tmp785oh370']
[2026-07-27T11:08:54.420+0000] {standard_task_runner.py:91} INFO - Job 437: Subtask build_long_video_5
[2026-07-27T11:08:54.504+0000] {task_command.py:426} INFO - Running <TaskInstance: youtube_english_video_pipeline.build_long_video_5 manual__2026-07-27T10:57:47.140907+00:00 [running]> on host cc859d74cf38
[2026-07-27T11:08:54.729+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='taky' AIRFLOW_CTX_DAG_ID='youtube_english_video_pipeline' AIRFLOW_CTX_TASK_ID='build_long_video_5' AIRFLOW_CTX_EXECUTION_DATE='2026-07-27T10:57:47.140907+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2026-07-27T10:57:47.140907+00:00'
[2026-07-27T11:08:54.730+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-07-27T11:08:55.795+0000] {logging_mixin.py:188} INFO - 2026-07-27 11:08:55,794 | INFO     | planner.video_planner | Only 14 phrases for topic='Daily Conversation', topping up without topic filter
[2026-07-27T11:08:55.808+0000] {logging_mixin.py:188} INFO - 2026-07-27 11:08:55,808 | INFO     | planner.video_planner | Planned LONG video: topic='Mixed English Expressions', phrases=20
[2026-07-27T11:08:56.080+0000] {logging_mixin.py:188} INFO - 2026-07-27 11:08:56,080 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_805.mp3
[2026-07-27T11:08:56.438+0000] {logging_mixin.py:188} INFO - 2026-07-27 11:08:56,438 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_805.mp3
[2026-07-27T11:08:56.710+0000] {logging_mixin.py:188} INFO - 2026-07-27 11:08:56,710 | INFO     | media.image_downloader | Downloaded background image for scene='party' -> /opt/airflow/output/images/long_805.jpg
[2026-07-27T11:09:00.402+0000] {logging_mixin.py:188} INFO - 2026-07-27 11:09:00,402 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_806.mp3
[2026-07-27T11:09:00.966+0000] {logging_mixin.py:188} INFO - 2026-07-27 11:09:00,966 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_806.mp3
[2026-07-27T11:09:01.411+0000] {logging_mixin.py:188} INFO - 2026-07-27 11:09:01,410 | INFO     | media.image_downloader | Downloaded background image for scene='street' -> /opt/airflow/output/images/long_806.jpg
[2026-07-27T11:09:05.415+0000] {logging_mixin.py:188} INFO - 2026-07-27 11:09:05,415 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_808.mp3
[2026-07-27T11:09:05.861+0000] {logging_mixin.py:188} INFO - 2026-07-27 11:09:05,861 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_808.mp3
[2026-07-27T11:09:06.145+0000] {logging_mixin.py:188} INFO - 2026-07-27 11:09:06,145 | INFO     | media.image_downloader | Downloaded background image for scene='street' -> /opt/airflow/output/images/long_808.jpg
[2026-07-27T11:09:10.106+0000] {logging_mixin.py:188} INFO - 2026-07-27 11:09:10,106 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_804.mp3
[2026-07-27T11:09:10.570+0000] {logging_mixin.py:188} INFO - 2026-07-27 11:09:10,570 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_804.mp3
[2026-07-27T11:09:10.828+0000] {logging_mixin.py:188} INFO - 2026-07-27 11:09:10,827 | INFO     | media.image_downloader | Downloaded background image for scene='cafeteria' -> /opt/airflow/output/images/long_804.jpg
[2026-07-27T11:09:14.528+0000] {logging_mixin.py:188} INFO - 2026-07-27 11:09:14,528 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_807.mp3
[2026-07-27T11:09:14.859+0000] {logging_mixin.py:188} INFO - 2026-07-27 11:09:14,859 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_807.mp3
[2026-07-27T11:09:15.089+0000] {logging_mixin.py:188} INFO - 2026-07-27 11:09:15,089 | INFO     | media.image_downloader | Downloaded background image for scene='mall' -> /opt/airflow/output/images/long_807.jpg
[2026-07-27T11:09:18.909+0000] {logging_mixin.py:188} INFO - 2026-07-27 11:09:18,909 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_809.mp3
[2026-07-27T11:09:19.307+0000] {logging_mixin.py:188} INFO - 2026-07-27 11:09:19,307 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_809.mp3
