[2026-07-27T11:15:42.634+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-07-27T11:15:42.672+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_7 manual__2026-07-27T10:57:47.140907+00:00 [queued]>
[2026-07-27T11:15:42.690+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_7 manual__2026-07-27T10:57:47.140907+00:00 [queued]>
[2026-07-27T11:15:42.705+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 3
[2026-07-27T11:15:42.725+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): build_long_video_7> on 2026-07-27 10:57:47.140907+00:00
[2026-07-27T11:15:42.741+0000] {standard_task_runner.py:64} INFO - Started process 79895 to run task
[2026-07-27T11:15:42.747+0000] {standard_task_runner.py:90} INFO - Running: ['airflow', 'tasks', 'run', 'youtube_english_video_pipeline', 'build_long_video_7', 'manual__2026-07-27T10:57:47.140907+00:00', '--job-id', '447', '--raw', '--subdir', 'DAGS_FOLDER/youtube_pipeline.py', '--cfg-path', '/tmp/tmpz4g1a50v']
[2026-07-27T11:15:42.751+0000] {standard_task_runner.py:91} INFO - Job 447: Subtask build_long_video_7
[2026-07-27T11:15:42.849+0000] {task_command.py:426} INFO - Running <TaskInstance: youtube_english_video_pipeline.build_long_video_7 manual__2026-07-27T10:57:47.140907+00:00 [running]> on host cc859d74cf38
[2026-07-27T11:15:43.099+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='taky' AIRFLOW_CTX_DAG_ID='youtube_english_video_pipeline' AIRFLOW_CTX_TASK_ID='build_long_video_7' AIRFLOW_CTX_EXECUTION_DATE='2026-07-27T10:57:47.140907+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2026-07-27T10:57:47.140907+00:00'
[2026-07-27T11:15:43.100+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-07-27T11:15:44.459+0000] {logging_mixin.py:188} INFO - 2026-07-27 11:15:44,459 | INFO     | planner.video_planner | Planned LONG video: topic='Restaurant English', phrases=17
[2026-07-27T11:15:44.856+0000] {logging_mixin.py:188} INFO - 2026-07-27 11:15:44,855 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_911.mp3
[2026-07-27T11:15:45.354+0000] {logging_mixin.py:188} INFO - 2026-07-27 11:15:45,354 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_911.mp3
[2026-07-27T11:15:45.777+0000] {logging_mixin.py:188} INFO - 2026-07-27 11:15:45,777 | INFO     | media.image_downloader | Downloaded background image for scene='restaurant' -> /opt/airflow/output/images/long_911.jpg
[2026-07-27T11:15:49.935+0000] {logging_mixin.py:188} INFO - 2026-07-27 11:15:49,935 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_912.mp3
[2026-07-27T11:15:50.443+0000] {logging_mixin.py:188} INFO - 2026-07-27 11:15:50,442 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_912.mp3
[2026-07-27T11:15:51.080+0000] {logging_mixin.py:188} INFO - 2026-07-27 11:15:51,080 | INFO     | media.image_downloader | Downloaded background image for scene='cafe' -> /opt/airflow/output/images/long_912.jpg
[2026-07-27T11:15:55.817+0000] {logging_mixin.py:188} INFO - 2026-07-27 11:15:55,817 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_913.mp3
[2026-07-27T11:15:56.396+0000] {logging_mixin.py:188} INFO - 2026-07-27 11:15:56,396 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_913.mp3
[2026-07-27T11:15:57.281+0000] {logging_mixin.py:188} INFO - 2026-07-27 11:15:57,281 | INFO     | media.image_downloader | Downloaded background image for scene='coffee' -> /opt/airflow/output/images/long_913.jpg
[2026-07-27T11:16:00.633+0000] {logging_mixin.py:188} INFO - 2026-07-27 11:16:00,633 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_914.mp3
[2026-07-27T11:16:01.449+0000] {logging_mixin.py:188} INFO - 2026-07-27 11:16:01,449 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_914.mp3
[2026-07-27T11:16:01.730+0000] {logging_mixin.py:188} INFO - 2026-07-27 11:16:01,730 | INFO     | media.image_downloader | Downloaded background image for scene='restaurant' -> /opt/airflow/output/images/long_914.jpg
[2026-07-27T11:16:05.491+0000] {logging_mixin.py:188} INFO - 2026-07-27 11:16:05,491 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_939.mp3
[2026-07-27T11:16:05.854+0000] {logging_mixin.py:188} INFO - 2026-07-27 11:16:05,854 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_939.mp3
[2026-07-27T11:16:06.129+0000] {logging_mixin.py:188} INFO - 2026-07-27 11:16:06,129 | INFO     | media.image_downloader | Downloaded background image for scene='restaurant' -> /opt/airflow/output/images/long_939.jpg
