[2026-07-27T11:20:17.026+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-07-27T11:20:17.057+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_9 manual__2026-07-27T10:57:47.140907+00:00 [queued]>
[2026-07-27T11:20:17.065+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_9 manual__2026-07-27T10:57:47.140907+00:00 [queued]>
[2026-07-27T11:20:17.066+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 3
[2026-07-27T11:20:17.077+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): build_long_video_9> on 2026-07-27 10:57:47.140907+00:00
[2026-07-27T11:20:17.083+0000] {standard_task_runner.py:64} INFO - Started process 85502 to run task
[2026-07-27T11:20:17.087+0000] {standard_task_runner.py:90} INFO - Running: ['airflow', 'tasks', 'run', 'youtube_english_video_pipeline', 'build_long_video_9', 'manual__2026-07-27T10:57:47.140907+00:00', '--job-id', '457', '--raw', '--subdir', 'DAGS_FOLDER/youtube_pipeline.py', '--cfg-path', '/tmp/tmppws784j8']
[2026-07-27T11:20:17.090+0000] {standard_task_runner.py:91} INFO - Job 457: Subtask build_long_video_9
[2026-07-27T11:20:17.159+0000] {task_command.py:426} INFO - Running <TaskInstance: youtube_english_video_pipeline.build_long_video_9 manual__2026-07-27T10:57:47.140907+00:00 [running]> on host cc859d74cf38
[2026-07-27T11:20:17.372+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='taky' AIRFLOW_CTX_DAG_ID='youtube_english_video_pipeline' AIRFLOW_CTX_TASK_ID='build_long_video_9' AIRFLOW_CTX_EXECUTION_DATE='2026-07-27T10:57:47.140907+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2026-07-27T10:57:47.140907+00:00'
[2026-07-27T11:20:17.374+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-07-27T11:20:18.181+0000] {logging_mixin.py:188} INFO - 2026-07-27 11:20:18,181 | INFO     | planner.video_planner | Only 14 phrases for topic='Travel English', topping up without topic filter
[2026-07-27T11:20:18.193+0000] {logging_mixin.py:188} INFO - 2026-07-27 11:20:18,193 | INFO     | planner.video_planner | Planned LONG video: topic='Mixed English Expressions', phrases=20
[2026-07-27T11:20:18.725+0000] {logging_mixin.py:188} INFO - 2026-07-27 11:20:18,725 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_883.mp3
[2026-07-27T11:20:19.420+0000] {logging_mixin.py:188} INFO - 2026-07-27 11:20:19,420 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_883.mp3
[2026-07-27T11:20:19.907+0000] {logging_mixin.py:188} INFO - 2026-07-27 11:20:19,907 | INFO     | media.image_downloader | Downloaded background image for scene='office' -> /opt/airflow/output/images/long_883.jpg
[2026-07-27T11:20:24.129+0000] {logging_mixin.py:188} INFO - 2026-07-27 11:20:24,128 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_880.mp3
[2026-07-27T11:20:24.665+0000] {logging_mixin.py:188} INFO - 2026-07-27 11:20:24,665 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_880.mp3
[2026-07-27T11:20:24.930+0000] {logging_mixin.py:188} INFO - 2026-07-27 11:20:24,930 | INFO     | media.image_downloader | Downloaded background image for scene='street' -> /opt/airflow/output/images/long_880.jpg
[2026-07-27T11:20:29.053+0000] {logging_mixin.py:188} INFO - 2026-07-27 11:20:29,053 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_884.mp3
[2026-07-27T11:20:29.540+0000] {logging_mixin.py:188} INFO - 2026-07-27 11:20:29,540 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_884.mp3
[2026-07-27T11:20:29.775+0000] {logging_mixin.py:188} INFO - 2026-07-27 11:20:29,775 | INFO     | media.image_downloader | Downloaded background image for scene='airport' -> /opt/airflow/output/images/long_884.jpg
[2026-07-27T11:20:33.568+0000] {logging_mixin.py:188} INFO - 2026-07-27 11:20:33,567 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_875.mp3
