[2026-08-11T02:26:24.011+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-08-11T02:26:24.061+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_1 manual__2026-08-11T02:25:49.703167+00:00 [queued]>
[2026-08-11T02:26:24.072+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_1 manual__2026-08-11T02:25:49.703167+00:00 [queued]>
[2026-08-11T02:26:24.072+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 3
[2026-08-11T02:26:24.090+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): build_long_video_1> on 2026-08-11 02:25:49.703167+00:00
[2026-08-11T02:26:24.095+0000] {standard_task_runner.py:64} INFO - Started process 82652 to run task
[2026-08-11T02:26:24.099+0000] {standard_task_runner.py:90} INFO - Running: ['airflow', 'tasks', 'run', 'youtube_english_video_pipeline', 'build_long_video_1', 'manual__2026-08-11T02:25:49.703167+00:00', '--job-id', '637', '--raw', '--subdir', 'DAGS_FOLDER/youtube_pipeline.py', '--cfg-path', '/tmp/tmpwx8yy04s']
[2026-08-11T02:26:24.101+0000] {standard_task_runner.py:91} INFO - Job 637: Subtask build_long_video_1
[2026-08-11T02:26:24.172+0000] {task_command.py:426} INFO - Running <TaskInstance: youtube_english_video_pipeline.build_long_video_1 manual__2026-08-11T02:25:49.703167+00:00 [running]> on host cc859d74cf38
[2026-08-11T02:26:24.437+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='taky' AIRFLOW_CTX_DAG_ID='youtube_english_video_pipeline' AIRFLOW_CTX_TASK_ID='build_long_video_1' AIRFLOW_CTX_EXECUTION_DATE='2026-08-11T02:25:49.703167+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2026-08-11T02:25:49.703167+00:00'
[2026-08-11T02:26:24.441+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-08-11T02:26:26.473+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:26:26,473 | INFO     | planner.video_planner | Only 10 phrases for topic='Travel English', topping up without topic filter
[2026-08-11T02:26:26.481+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:26:26,481 | INFO     | planner.video_planner | Planned LONG video: topic='Mixed English Expressions', phrases=20
[2026-08-11T02:26:26.984+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:26:26,983 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1418.mp3
[2026-08-11T02:26:27.593+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:26:27,593 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1418.mp3
[2026-08-11T02:26:28.452+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:26:28,452 | INFO     | media.image_downloader | Downloaded background image for scene='taxi' -> /opt/airflow/output/images/long_1418.jpg
[2026-08-11T02:26:33.455+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:26:33,455 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1421.mp3
[2026-08-11T02:26:33.828+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:26:33,828 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1421.mp3
[2026-08-11T02:26:34.720+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:26:34,720 | INFO     | media.image_downloader | Downloaded background image for scene='park' -> /opt/airflow/output/images/long_1421.jpg
[2026-08-11T02:26:39.988+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:26:39,987 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1422.mp3
[2026-08-11T02:26:40.441+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:26:40,441 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1422.mp3
[2026-08-11T02:26:41.222+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:26:41,221 | INFO     | media.image_downloader | Downloaded background image for scene='party' -> /opt/airflow/output/images/long_1422.jpg
[2026-08-11T02:26:45.456+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:26:45,455 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1423.mp3
[2026-08-11T02:26:45.963+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:26:45,963 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1423.mp3
[2026-08-11T02:26:46.572+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:26:46,572 | INFO     | media.image_downloader | Downloaded background image for scene='airport' -> /opt/airflow/output/images/long_1423.jpg
[2026-08-11T02:26:50.988+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:26:50,988 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1425.mp3
[2026-08-11T02:26:51.438+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:26:51,438 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1425.mp3
[2026-08-11T02:26:52.387+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:26:52,387 | INFO     | media.image_downloader | Downloaded background image for scene='train' -> /opt/airflow/output/images/long_1425.jpg
[2026-08-11T02:26:59.182+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:26:59,182 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1427.mp3
[2026-08-11T02:26:59.799+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:26:59,799 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1427.mp3
[2026-08-11T02:27:00.125+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:27:00,125 | INFO     | media.image_downloader | Downloaded background image for scene='classroom' -> /opt/airflow/output/images/long_1427.jpg
[2026-08-11T02:27:12.646+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:27:12,646 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1428.mp3
[2026-08-11T02:27:13.447+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:27:13,447 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1428.mp3
