[2026-08-11T02:30:08.414+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-08-11T02:30:08.480+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_2 manual__2026-08-11T02:25:49.703167+00:00 [queued]>
[2026-08-11T02:30:08.497+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_2 manual__2026-08-11T02:25:49.703167+00:00 [queued]>
[2026-08-11T02:30:08.502+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 3
[2026-08-11T02:30:08.528+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): build_long_video_2> on 2026-08-11 02:25:49.703167+00:00
[2026-08-11T02:30:08.538+0000] {standard_task_runner.py:64} INFO - Started process 86069 to run task
[2026-08-11T02:30:08.543+0000] {standard_task_runner.py:90} INFO - Running: ['airflow', 'tasks', 'run', 'youtube_english_video_pipeline', 'build_long_video_2', 'manual__2026-08-11T02:25:49.703167+00:00', '--job-id', '642', '--raw', '--subdir', 'DAGS_FOLDER/youtube_pipeline.py', '--cfg-path', '/tmp/tmpn_rwcf08']
[2026-08-11T02:30:08.551+0000] {standard_task_runner.py:91} INFO - Job 642: Subtask build_long_video_2
[2026-08-11T02:30:08.664+0000] {task_command.py:426} INFO - Running <TaskInstance: youtube_english_video_pipeline.build_long_video_2 manual__2026-08-11T02:25:49.703167+00:00 [running]> on host cc859d74cf38
[2026-08-11T02:30:08.935+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='taky' AIRFLOW_CTX_DAG_ID='youtube_english_video_pipeline' AIRFLOW_CTX_TASK_ID='build_long_video_2' AIRFLOW_CTX_EXECUTION_DATE='2026-08-11T02:25:49.703167+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2026-08-11T02:25:49.703167+00:00'
[2026-08-11T02:30:08.937+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-08-11T02:30:10.390+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:30:10,390 | INFO     | planner.video_planner | Only 9 phrases for topic='Daily English', topping up without topic filter
[2026-08-11T02:30:10.404+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:30:10,404 | INFO     | planner.video_planner | Planned LONG video: topic='Mixed English Expressions', phrases=20
[2026-08-11T02:30:10.739+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:30:10,739 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1453.mp3
[2026-08-11T02:30:11.147+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:30:11,147 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1453.mp3
[2026-08-11T02:30:11.354+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:30:11,354 | INFO     | media.image_downloader | Downloaded background image for scene='train' -> /opt/airflow/output/images/long_1453.jpg
[2026-08-11T02:30:16.323+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:30:16,323 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1454.mp3
[2026-08-11T02:30:16.816+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:30:16,816 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1454.mp3
[2026-08-11T02:30:17.026+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:30:17,026 | INFO     | media.image_downloader | Downloaded background image for scene='hotel' -> /opt/airflow/output/images/long_1454.jpg
[2026-08-11T02:30:21.208+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:30:21,208 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1455.mp3
[2026-08-11T02:30:21.609+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:30:21,609 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1455.mp3
[2026-08-11T02:30:21.882+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:30:21,882 | INFO     | media.image_downloader | Downloaded background image for scene='park' -> /opt/airflow/output/images/long_1455.jpg
[2026-08-11T02:30:26.920+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:30:26,920 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1456.mp3
