[2026-08-11T02:34:15.412+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-08-11T02:34:15.462+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_3 manual__2026-08-11T02:25:49.703167+00:00 [queued]>
[2026-08-11T02:34:15.478+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_3 manual__2026-08-11T02:25:49.703167+00:00 [queued]>
[2026-08-11T02:34:15.480+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 3
[2026-08-11T02:34:15.501+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): build_long_video_3> on 2026-08-11 02:25:49.703167+00:00
[2026-08-11T02:34:15.510+0000] {standard_task_runner.py:64} INFO - Started process 89516 to run task
[2026-08-11T02:34:15.514+0000] {standard_task_runner.py:90} INFO - Running: ['airflow', 'tasks', 'run', 'youtube_english_video_pipeline', 'build_long_video_3', 'manual__2026-08-11T02:25:49.703167+00:00', '--job-id', '647', '--raw', '--subdir', 'DAGS_FOLDER/youtube_pipeline.py', '--cfg-path', '/tmp/tmptzf_hz6m']
[2026-08-11T02:34:15.519+0000] {standard_task_runner.py:91} INFO - Job 647: Subtask build_long_video_3
[2026-08-11T02:34:15.602+0000] {task_command.py:426} INFO - Running <TaskInstance: youtube_english_video_pipeline.build_long_video_3 manual__2026-08-11T02:25:49.703167+00:00 [running]> on host cc859d74cf38
[2026-08-11T02:34:15.835+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='taky' AIRFLOW_CTX_DAG_ID='youtube_english_video_pipeline' AIRFLOW_CTX_TASK_ID='build_long_video_3' AIRFLOW_CTX_EXECUTION_DATE='2026-08-11T02:25:49.703167+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2026-08-11T02:25:49.703167+00:00'
[2026-08-11T02:34:15.840+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-08-11T02:34:16.898+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:34:16,898 | INFO     | planner.video_planner | Planned LONG video: topic='Daily Conversation', phrases=17
[2026-08-11T02:34:17.249+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:34:17,249 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1511.mp3
[2026-08-11T02:34:17.688+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:34:17,688 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1511.mp3
[2026-08-11T02:34:17.950+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:34:17,950 | INFO     | media.image_downloader | Downloaded background image for scene='office' -> /opt/airflow/output/images/long_1511.jpg
[2026-08-11T02:34:22.019+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:34:22,019 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1512.mp3
[2026-08-11T02:34:22.474+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:34:22,474 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1512.mp3
[2026-08-11T02:34:22.702+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:34:22,702 | INFO     | media.image_downloader | Downloaded background image for scene='street' -> /opt/airflow/output/images/long_1512.jpg
[2026-08-11T02:34:28.219+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:34:28,219 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1525.mp3
[2026-08-11T02:34:28.663+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:34:28,663 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1525.mp3
[2026-08-11T02:34:29.983+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:34:29,982 | INFO     | media.image_downloader | Downloaded background image for scene='livingroom' -> /opt/airflow/output/images/long_1525.jpg
[2026-08-11T02:34:36.846+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:34:36,846 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1526.mp3
[2026-08-11T02:34:37.429+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:34:37,429 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1526.mp3
[2026-08-11T02:34:38.261+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:34:38,261 | INFO     | media.image_downloader | Downloaded background image for scene='car' -> /opt/airflow/output/images/long_1526.jpg
[2026-08-11T02:34:44.952+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:34:44,952 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1528.mp3
[2026-08-11T02:34:45.468+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:34:45,468 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1528.mp3
[2026-08-11T02:34:45.825+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:34:45,825 | INFO     | media.image_downloader | Downloaded background image for scene='street' -> /opt/airflow/output/images/long_1528.jpg
[2026-08-11T02:34:51.231+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:34:51,231 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1535.mp3
[2026-08-11T02:34:51.619+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:34:51,619 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1535.mp3
[2026-08-11T02:34:52.371+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:34:52,371 | INFO     | media.image_downloader | Downloaded background image for scene='station' -> /opt/airflow/output/images/long_1535.jpg
[2026-08-11T02:34:56.401+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:34:56,401 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1570.mp3
[2026-08-11T02:34:56.782+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:34:56,781 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1570.mp3
[2026-08-11T02:34:57.600+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:34:57,600 | INFO     | media.image_downloader | Downloaded background image for scene='traffic' -> /opt/airflow/output/images/long_1570.jpg
[2026-08-11T02:35:02.213+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:35:02,213 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1571.mp3
[2026-08-11T02:35:02.627+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:35:02,627 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1571.mp3
[2026-08-11T02:35:03.295+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:35:03,295 | INFO     | media.image_downloader | Downloaded background image for scene='friends' -> /opt/airflow/output/images/long_1571.jpg
[2026-08-11T02:35:06.971+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:35:06,971 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1572.mp3
[2026-08-11T02:35:07.423+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:35:07,423 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1572.mp3
[2026-08-11T02:35:07.645+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:35:07,645 | INFO     | media.image_downloader | Downloaded background image for scene='park' -> /opt/airflow/output/images/long_1572.jpg
[2026-08-11T02:35:13.357+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:35:13,356 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1573.mp3
[2026-08-11T02:35:13.847+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:35:13,847 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1573.mp3
[2026-08-11T02:35:14.065+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:35:14,065 | INFO     | media.image_downloader | Downloaded background image for scene='classroom' -> /opt/airflow/output/images/long_1573.jpg
[2026-08-11T02:35:18.010+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:35:18,010 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1582.mp3
[2026-08-11T02:35:18.481+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:35:18,481 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1582.mp3
[2026-08-11T02:35:18.788+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:35:18,788 | INFO     | media.image_downloader | Downloaded background image for scene='phone' -> /opt/airflow/output/images/long_1582.jpg
[2026-08-11T02:35:22.427+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:35:22,426 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1586.mp3
[2026-08-11T02:35:22.886+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:35:22,886 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1586.mp3
[2026-08-11T02:35:23.103+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:35:23,103 | INFO     | media.image_downloader | Downloaded background image for scene='office' -> /opt/airflow/output/images/long_1586.jpg
[2026-08-11T02:35:27.278+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:35:27,278 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1588.mp3
[2026-08-11T02:35:27.709+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:35:27,708 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1588.mp3
[2026-08-11T02:35:27.930+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:35:27,930 | INFO     | media.image_downloader | Downloaded background image for scene='cafe' -> /opt/airflow/output/images/long_1588.jpg
[2026-08-11T02:35:33.799+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:35:33,798 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1594.mp3
