[2026-08-11T02:37:08.808+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-08-11T02:37:08.847+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_4 manual__2026-08-11T02:25:49.703167+00:00 [queued]>
[2026-08-11T02:37:08.856+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_4 manual__2026-08-11T02:25:49.703167+00:00 [queued]>
[2026-08-11T02:37:08.860+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 3
[2026-08-11T02:37:08.875+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): build_long_video_4> on 2026-08-11 02:25:49.703167+00:00
[2026-08-11T02:37:08.880+0000] {standard_task_runner.py:64} INFO - Started process 92475 to run task
[2026-08-11T02:37:08.883+0000] {standard_task_runner.py:90} INFO - Running: ['airflow', 'tasks', 'run', 'youtube_english_video_pipeline', 'build_long_video_4', 'manual__2026-08-11T02:25:49.703167+00:00', '--job-id', '652', '--raw', '--subdir', 'DAGS_FOLDER/youtube_pipeline.py', '--cfg-path', '/tmp/tmpbw7gnehs']
[2026-08-11T02:37:08.886+0000] {standard_task_runner.py:91} INFO - Job 652: Subtask build_long_video_4
[2026-08-11T02:37:08.952+0000] {task_command.py:426} INFO - Running <TaskInstance: youtube_english_video_pipeline.build_long_video_4 manual__2026-08-11T02:25:49.703167+00:00 [running]> on host cc859d74cf38
[2026-08-11T02:37:09.194+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='taky' AIRFLOW_CTX_DAG_ID='youtube_english_video_pipeline' AIRFLOW_CTX_TASK_ID='build_long_video_4' AIRFLOW_CTX_EXECUTION_DATE='2026-08-11T02:25:49.703167+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2026-08-11T02:25:49.703167+00:00'
[2026-08-11T02:37:09.196+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-08-11T02:37:10.577+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:37:10,576 | INFO     | planner.video_planner | Planned LONG video: topic='Restaurant English', phrases=17
[2026-08-11T02:37:10.918+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:37:10,918 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1513.mp3
[2026-08-11T02:37:11.403+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:37:11,403 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1513.mp3
[2026-08-11T02:37:11.639+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:37:11,639 | INFO     | media.image_downloader | Downloaded background image for scene='restaurant' -> /opt/airflow/output/images/long_1513.jpg
[2026-08-11T02:37:15.657+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:37:15,657 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1514.mp3
[2026-08-11T02:37:16.190+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:37:16,190 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1514.mp3
[2026-08-11T02:37:16.498+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:37:16,498 | INFO     | media.image_downloader | Downloaded background image for scene='restaurant' -> /opt/airflow/output/images/long_1514.jpg
[2026-08-11T02:37:20.444+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:37:20,444 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1534.mp3
[2026-08-11T02:37:20.927+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:37:20,927 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1534.mp3
[2026-08-11T02:37:21.120+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:37:21,120 | INFO     | media.image_downloader | Downloaded background image for scene='restaurant' -> /opt/airflow/output/images/long_1534.jpg
[2026-08-11T02:37:24.789+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:37:24,789 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1536.mp3
[2026-08-11T02:37:25.187+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:37:25,186 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1536.mp3
[2026-08-11T02:37:25.390+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:37:25,390 | INFO     | media.image_downloader | Downloaded background image for scene='restaurant' -> /opt/airflow/output/images/long_1536.jpg
[2026-08-11T02:37:29.192+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:37:29,191 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1542.mp3
[2026-08-11T02:37:29.615+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:37:29,615 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1542.mp3
[2026-08-11T02:37:30.325+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:37:30,325 | INFO     | media.image_downloader | Downloaded background image for scene='menu' -> /opt/airflow/output/images/long_1542.jpg
[2026-08-11T02:37:33.996+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:37:33,996 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1554.mp3
[2026-08-11T02:37:34.425+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:37:34,425 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1554.mp3
[2026-08-11T02:37:34.935+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:37:34,935 | INFO     | media.image_downloader | Downloaded background image for scene='reception' -> /opt/airflow/output/images/long_1554.jpg
[2026-08-11T02:37:39.042+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:37:39,042 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1560.mp3
[2026-08-11T02:37:39.423+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:37:39,423 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1560.mp3
[2026-08-11T02:37:40.312+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:37:40,312 | INFO     | media.image_downloader | Downloaded background image for scene='bar' -> /opt/airflow/output/images/long_1560.jpg
[2026-08-11T02:37:43.940+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:37:43,940 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1561.mp3
[2026-08-11T02:37:44.285+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:37:44,285 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1561.mp3
[2026-08-11T02:37:44.948+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:37:44,948 | INFO     | media.image_downloader | Downloaded background image for scene='dining' -> /opt/airflow/output/images/long_1561.jpg
[2026-08-11T02:37:48.938+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:37:48,938 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1567.mp3
[2026-08-11T02:37:49.449+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:37:49,449 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1567.mp3
[2026-08-11T02:37:49.634+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:37:49,633 | INFO     | media.image_downloader | Downloaded background image for scene='restaurant' -> /opt/airflow/output/images/long_1567.jpg
[2026-08-11T02:37:53.394+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:37:53,394 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1568.mp3
