[2026-08-11T02:39:43.464+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-08-11T02:39:43.507+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_5 manual__2026-08-11T02:25:49.703167+00:00 [queued]>
[2026-08-11T02:39:43.521+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_5 manual__2026-08-11T02:25:49.703167+00:00 [queued]>
[2026-08-11T02:39:43.525+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 3
[2026-08-11T02:39:43.537+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): build_long_video_5> on 2026-08-11 02:25:49.703167+00:00
[2026-08-11T02:39:43.543+0000] {standard_task_runner.py:64} INFO - Started process 95429 to run task
[2026-08-11T02:39:43.549+0000] {standard_task_runner.py:90} INFO - Running: ['airflow', 'tasks', 'run', 'youtube_english_video_pipeline', 'build_long_video_5', 'manual__2026-08-11T02:25:49.703167+00:00', '--job-id', '657', '--raw', '--subdir', 'DAGS_FOLDER/youtube_pipeline.py', '--cfg-path', '/tmp/tmpc9zgn6i3']
[2026-08-11T02:39:43.554+0000] {standard_task_runner.py:91} INFO - Job 657: Subtask build_long_video_5
[2026-08-11T02:39:43.639+0000] {task_command.py:426} INFO - Running <TaskInstance: youtube_english_video_pipeline.build_long_video_5 manual__2026-08-11T02:25:49.703167+00:00 [running]> on host cc859d74cf38
[2026-08-11T02:39:43.878+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='taky' AIRFLOW_CTX_DAG_ID='youtube_english_video_pipeline' AIRFLOW_CTX_TASK_ID='build_long_video_5' AIRFLOW_CTX_EXECUTION_DATE='2026-08-11T02:25:49.703167+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2026-08-11T02:25:49.703167+00:00'
[2026-08-11T02:39:43.879+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-08-11T02:39:45.216+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:39:45,216 | INFO     | planner.video_planner | Only 14 phrases for topic='Shopping English', topping up without topic filter
[2026-08-11T02:39:45.235+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:39:45,234 | INFO     | planner.video_planner | Planned LONG video: topic='Mixed English Expressions', phrases=20
[2026-08-11T02:39:45.744+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:39:45,744 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1500.mp3
[2026-08-11T02:39:46.605+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:39:46,605 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1500.mp3
[2026-08-11T02:39:46.872+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:39:46,872 | INFO     | media.image_downloader | Downloaded background image for scene='hotel' -> /opt/airflow/output/images/long_1500.jpg
[2026-08-11T02:39:51.659+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:39:51,659 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1501.mp3
[2026-08-11T02:39:52.078+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:39:52,077 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1501.mp3
[2026-08-11T02:39:52.342+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:39:52,342 | INFO     | media.image_downloader | Downloaded background image for scene='airport' -> /opt/airflow/output/images/long_1501.jpg
[2026-08-11T02:39:56.860+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:39:56,860 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1506.mp3
[2026-08-11T02:39:57.262+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:39:57,262 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1506.mp3
[2026-08-11T02:39:58.085+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:39:58,085 | INFO     | media.image_downloader | Downloaded background image for scene='library' -> /opt/airflow/output/images/long_1506.jpg
[2026-08-11T02:40:02.473+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:40:02,472 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1509.mp3
[2026-08-11T02:40:02.867+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:40:02,867 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1509.mp3
[2026-08-11T02:40:03.085+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:40:03,085 | INFO     | media.image_downloader | Downloaded background image for scene='office' -> /opt/airflow/output/images/long_1509.jpg
[2026-08-11T02:40:06.783+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:40:06,783 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1504.mp3
[2026-08-11T02:40:07.244+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:40:07,243 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1504.mp3
[2026-08-11T02:40:07.443+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:40:07,442 | INFO     | media.image_downloader | Downloaded background image for scene='street' -> /opt/airflow/output/images/long_1504.jpg
[2026-08-11T02:40:11.987+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:40:11,986 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1507.mp3
[2026-08-11T02:40:12.365+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:40:12,365 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1507.mp3
[2026-08-11T02:40:12.594+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:40:12,594 | INFO     | media.image_downloader | Downloaded background image for scene='hotel' -> /opt/airflow/output/images/long_1507.jpg
[2026-08-11T02:40:16.651+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:40:16,651 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1522.mp3
[2026-08-11T02:40:17.029+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:40:17,029 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1522.mp3
[2026-08-11T02:40:17.767+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:40:17,766 | INFO     | media.image_downloader | Downloaded background image for scene='cafeteria' -> /opt/airflow/output/images/long_1522.jpg
