[2026-08-11T02:42:45.810+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-08-11T02:42:45.852+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_6 manual__2026-08-11T02:25:49.703167+00:00 [queued]>
[2026-08-11T02:42:45.863+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_6 manual__2026-08-11T02:25:49.703167+00:00 [queued]>
[2026-08-11T02:42:45.866+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 3
[2026-08-11T02:42:45.883+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): build_long_video_6> on 2026-08-11 02:25:49.703167+00:00
[2026-08-11T02:42:45.888+0000] {standard_task_runner.py:64} INFO - Started process 98841 to run task
[2026-08-11T02:42:45.893+0000] {standard_task_runner.py:90} INFO - Running: ['airflow', 'tasks', 'run', 'youtube_english_video_pipeline', 'build_long_video_6', 'manual__2026-08-11T02:25:49.703167+00:00', '--job-id', '662', '--raw', '--subdir', 'DAGS_FOLDER/youtube_pipeline.py', '--cfg-path', '/tmp/tmpwc5epwjz']
[2026-08-11T02:42:45.897+0000] {standard_task_runner.py:91} INFO - Job 662: Subtask build_long_video_6
[2026-08-11T02:42:45.985+0000] {task_command.py:426} INFO - Running <TaskInstance: youtube_english_video_pipeline.build_long_video_6 manual__2026-08-11T02:25:49.703167+00:00 [running]> on host cc859d74cf38
[2026-08-11T02:42:46.260+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='taky' AIRFLOW_CTX_DAG_ID='youtube_english_video_pipeline' AIRFLOW_CTX_TASK_ID='build_long_video_6' AIRFLOW_CTX_EXECUTION_DATE='2026-08-11T02:25:49.703167+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2026-08-11T02:25:49.703167+00:00'
[2026-08-11T02:42:46.262+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-08-11T02:42:47.505+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:42:47,505 | INFO     | planner.video_planner | Only 10 phrases for topic='Shopping English', topping up without topic filter
[2026-08-11T02:42:47.514+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:42:47,514 | INFO     | planner.video_planner | Planned LONG video: topic='Mixed English Expressions', phrases=20
[2026-08-11T02:42:47.874+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:42:47,874 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1537.mp3
[2026-08-11T02:42:48.326+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:42:48,325 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1537.mp3
[2026-08-11T02:42:49.018+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:42:49,018 | INFO     | media.image_downloader | Downloaded background image for scene='boutique' -> /opt/airflow/output/images/long_1537.jpg
[2026-08-11T02:42:53.886+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:42:53,885 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1538.mp3
[2026-08-11T02:42:54.226+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:42:54,226 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1538.mp3
[2026-08-11T02:42:54.620+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:42:54,620 | INFO     | media.image_downloader | Downloaded background image for scene='cafe' -> /opt/airflow/output/images/long_1538.jpg
[2026-08-11T02:43:03.010+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:43:03,009 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1539.mp3
[2026-08-11T02:43:03.463+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:43:03,463 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1539.mp3
[2026-08-11T02:43:03.676+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:43:03,675 | INFO     | media.image_downloader | Downloaded background image for scene='hotel' -> /opt/airflow/output/images/long_1539.jpg
[2026-08-11T02:43:07.497+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:43:07,497 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1540.mp3
[2026-08-11T02:43:07.897+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:43:07,897 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1540.mp3
[2026-08-11T02:43:08.098+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:43:08,098 | INFO     | media.image_downloader | Downloaded background image for scene='office' -> /opt/airflow/output/images/long_1540.jpg
[2026-08-11T02:43:11.941+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:43:11,941 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1541.mp3
[2026-08-11T02:43:12.420+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:43:12,420 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1541.mp3
[2026-08-11T02:43:12.636+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:43:12,635 | INFO     | media.image_downloader | Downloaded background image for scene='meeting' -> /opt/airflow/output/images/long_1541.jpg
[2026-08-11T02:43:16.853+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:43:16,853 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1543.mp3
[2026-08-11T02:43:17.305+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:43:17,305 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1543.mp3
[2026-08-11T02:43:17.829+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:43:17,828 | INFO     | media.image_downloader | Downloaded background image for scene='checkout' -> /opt/airflow/output/images/long_1543.jpg
[2026-08-11T02:43:21.933+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:43:21,933 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1544.mp3
[2026-08-11T02:43:22.368+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:43:22,367 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1544.mp3
[2026-08-11T02:43:22.611+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:43:22,611 | INFO     | media.image_downloader | Downloaded background image for scene='airport' -> /opt/airflow/output/images/long_1544.jpg
[2026-08-11T02:43:26.751+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:43:26,751 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1545.mp3
[2026-08-11T02:43:27.043+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:43:27,043 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1545.mp3
[2026-08-11T02:43:27.931+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:43:27,931 | INFO     | media.image_downloader | Downloaded background image for scene='conversation' -> /opt/airflow/output/images/long_1545.jpg
[2026-08-11T02:43:32.092+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:43:32,092 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1546.mp3
[2026-08-11T02:43:32.555+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:43:32,555 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1546.mp3
[2026-08-11T02:43:32.830+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:43:32,830 | INFO     | media.image_downloader | Downloaded background image for scene='taxi' -> /opt/airflow/output/images/long_1546.jpg
[2026-08-11T02:43:37.320+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:43:37,320 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1547.mp3
[2026-08-11T02:43:37.776+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:43:37,775 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1547.mp3
[2026-08-11T02:43:37.994+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:43:37,994 | INFO     | media.image_downloader | Downloaded background image for scene='coffee' -> /opt/airflow/output/images/long_1547.jpg
[2026-08-11T02:43:42.070+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:43:42,070 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1548.mp3
[2026-08-11T02:43:42.490+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:43:42,490 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1548.mp3
[2026-08-11T02:43:43.255+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:43:43,255 | INFO     | media.image_downloader | Downloaded background image for scene='discussion' -> /opt/airflow/output/images/long_1548.jpg
[2026-08-11T02:43:47.199+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:43:47,199 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1549.mp3
[2026-08-11T02:43:47.592+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:43:47,592 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1549.mp3
[2026-08-11T02:43:48.137+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:43:48,137 | INFO     | media.image_downloader | Downloaded background image for scene='commute' -> /opt/airflow/output/images/long_1549.jpg
[2026-08-11T02:43:52.989+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:43:52,989 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1550.mp3
[2026-08-11T02:43:53.453+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:43:53,453 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1550.mp3
[2026-08-11T02:43:54.194+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:43:54,194 | INFO     | media.image_downloader | Downloaded background image for scene='sightseeing' -> /opt/airflow/output/images/long_1550.jpg
[2026-08-11T02:43:58.118+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:43:58,117 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1551.mp3
