[2026-08-11T02:45:46.494+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-08-11T02:45:46.552+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_7 manual__2026-08-11T02:25:49.703167+00:00 [queued]>
[2026-08-11T02:45:46.566+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_7 manual__2026-08-11T02:25:49.703167+00:00 [queued]>
[2026-08-11T02:45:46.573+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 3
[2026-08-11T02:45:46.596+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): build_long_video_7> on 2026-08-11 02:25:49.703167+00:00
[2026-08-11T02:45:46.604+0000] {standard_task_runner.py:64} INFO - Started process 2553 to run task
[2026-08-11T02:45:46.609+0000] {standard_task_runner.py:90} INFO - Running: ['airflow', 'tasks', 'run', 'youtube_english_video_pipeline', 'build_long_video_7', 'manual__2026-08-11T02:25:49.703167+00:00', '--job-id', '667', '--raw', '--subdir', 'DAGS_FOLDER/youtube_pipeline.py', '--cfg-path', '/tmp/tmp96q1hlri']
[2026-08-11T02:45:46.615+0000] {standard_task_runner.py:91} INFO - Job 667: Subtask build_long_video_7
[2026-08-11T02:45:46.723+0000] {task_command.py:426} INFO - Running <TaskInstance: youtube_english_video_pipeline.build_long_video_7 manual__2026-08-11T02:25:49.703167+00:00 [running]> on host cc859d74cf38
[2026-08-11T02:45:46.955+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='taky' AIRFLOW_CTX_DAG_ID='youtube_english_video_pipeline' AIRFLOW_CTX_TASK_ID='build_long_video_7' AIRFLOW_CTX_EXECUTION_DATE='2026-08-11T02:25:49.703167+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2026-08-11T02:25:49.703167+00:00'
[2026-08-11T02:45:46.958+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-08-11T02:45:48.327+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:45:48,327 | INFO     | planner.video_planner | Only 7 phrases for topic='Shopping English', topping up without topic filter
[2026-08-11T02:45:48.336+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:45:48,336 | INFO     | planner.video_planner | Planned LONG video: topic='Mixed English Expressions', phrases=20
[2026-08-11T02:45:48.733+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:45:48,733 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1559.mp3
[2026-08-11T02:45:49.188+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:45:49,188 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1559.mp3
[2026-08-11T02:45:49.374+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:45:49,374 | INFO     | media.image_downloader | Downloaded background image for scene='dining' -> /opt/airflow/output/images/long_1559.jpg
[2026-08-11T02:45:52.585+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:45:52,584 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1562.mp3
[2026-08-11T02:45:53.017+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:45:53,016 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1562.mp3
[2026-08-11T02:45:53.241+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:45:53,241 | INFO     | media.image_downloader | Downloaded background image for scene='hotel' -> /opt/airflow/output/images/long_1562.jpg
[2026-08-11T02:45:58.295+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:45:58,295 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1563.mp3
[2026-08-11T02:45:58.673+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:45:58,673 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1563.mp3
[2026-08-11T02:45:58.895+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:45:58,895 | INFO     | media.image_downloader | Downloaded background image for scene='shopping' -> /opt/airflow/output/images/long_1563.jpg
[2026-08-11T02:46:03.143+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:46:03,143 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1564.mp3
