[2026-08-11T02:49:30.602+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-08-11T02:49:30.633+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_8 manual__2026-08-11T02:25:49.703167+00:00 [queued]>
[2026-08-11T02:49:30.641+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_8 manual__2026-08-11T02:25:49.703167+00:00 [queued]>
[2026-08-11T02:49:30.643+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 3
[2026-08-11T02:49:30.653+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): build_long_video_8> on 2026-08-11 02:25:49.703167+00:00
[2026-08-11T02:49:30.663+0000] {standard_task_runner.py:64} INFO - Started process 6004 to run task
[2026-08-11T02:49:30.667+0000] {standard_task_runner.py:90} INFO - Running: ['airflow', 'tasks', 'run', 'youtube_english_video_pipeline', 'build_long_video_8', 'manual__2026-08-11T02:25:49.703167+00:00', '--job-id', '672', '--raw', '--subdir', 'DAGS_FOLDER/youtube_pipeline.py', '--cfg-path', '/tmp/tmp6_sczgxa']
[2026-08-11T02:49:30.670+0000] {standard_task_runner.py:91} INFO - Job 672: Subtask build_long_video_8
[2026-08-11T02:49:30.735+0000] {task_command.py:426} INFO - Running <TaskInstance: youtube_english_video_pipeline.build_long_video_8 manual__2026-08-11T02:25:49.703167+00:00 [running]> on host cc859d74cf38
[2026-08-11T02:49:30.912+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='taky' AIRFLOW_CTX_DAG_ID='youtube_english_video_pipeline' AIRFLOW_CTX_TASK_ID='build_long_video_8' AIRFLOW_CTX_EXECUTION_DATE='2026-08-11T02:25:49.703167+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2026-08-11T02:25:49.703167+00:00'
[2026-08-11T02:49:30.913+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-08-11T02:49:32.210+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:49:32,210 | INFO     | planner.video_planner | Planned LONG video: topic='Travel English', phrases=19
[2026-08-11T02:49:32.615+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:49:32,615 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1598.mp3
[2026-08-11T02:49:33.022+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:49:33,021 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1598.mp3
[2026-08-11T02:49:33.262+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:49:33,262 | INFO     | media.image_downloader | Downloaded background image for scene='airport' -> /opt/airflow/output/images/long_1598.jpg
[2026-08-11T02:49:37.493+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:49:37,493 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1599.mp3
[2026-08-11T02:49:37.924+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:49:37,924 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1599.mp3
[2026-08-11T02:49:38.147+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:49:38,146 | INFO     | media.image_downloader | Downloaded background image for scene='taxi' -> /opt/airflow/output/images/long_1599.jpg
[2026-08-11T02:49:42.387+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:49:42,387 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1617.mp3
[2026-08-11T02:49:42.826+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:49:42,826 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1617.mp3
[2026-08-11T02:49:43.122+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:49:43,122 | INFO     | media.image_downloader | Downloaded background image for scene='cafe' -> /opt/airflow/output/images/long_1617.jpg
[2026-08-11T02:49:48.899+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:49:48,899 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1621.mp3
[2026-08-11T02:49:49.307+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:49:49,307 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1621.mp3
