[2026-08-11T02:52:29.717+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-08-11T02:52:29.769+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_9 manual__2026-08-11T02:25:49.703167+00:00 [queued]>
[2026-08-11T02:52:29.781+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_9 manual__2026-08-11T02:25:49.703167+00:00 [queued]>
[2026-08-11T02:52:29.786+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 3
[2026-08-11T02:52:29.808+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): build_long_video_9> on 2026-08-11 02:25:49.703167+00:00
[2026-08-11T02:52:29.815+0000] {standard_task_runner.py:64} INFO - Started process 9269 to run task
[2026-08-11T02:52:29.820+0000] {standard_task_runner.py:90} INFO - Running: ['airflow', 'tasks', 'run', 'youtube_english_video_pipeline', 'build_long_video_9', 'manual__2026-08-11T02:25:49.703167+00:00', '--job-id', '677', '--raw', '--subdir', 'DAGS_FOLDER/youtube_pipeline.py', '--cfg-path', '/tmp/tmph3t31ard']
[2026-08-11T02:52:29.825+0000] {standard_task_runner.py:91} INFO - Job 677: Subtask build_long_video_9
[2026-08-11T02:52:29.911+0000] {task_command.py:426} INFO - Running <TaskInstance: youtube_english_video_pipeline.build_long_video_9 manual__2026-08-11T02:25:49.703167+00:00 [running]> on host cc859d74cf38
[2026-08-11T02:52:30.153+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='taky' AIRFLOW_CTX_DAG_ID='youtube_english_video_pipeline' AIRFLOW_CTX_TASK_ID='build_long_video_9' AIRFLOW_CTX_EXECUTION_DATE='2026-08-11T02:25:49.703167+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2026-08-11T02:25:49.703167+00:00'
[2026-08-11T02:52:30.154+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-08-11T02:52:31.312+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:52:31,312 | INFO     | planner.video_planner | Planned LONG video: topic='Shopping English', phrases=17
[2026-08-11T02:52:31.656+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:52:31,655 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1609.mp3
[2026-08-11T02:52:32.095+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:52:32,095 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1609.mp3
[2026-08-11T02:52:32.341+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:52:32,341 | INFO     | media.image_downloader | Downloaded background image for scene='shopping' -> /opt/airflow/output/images/long_1609.jpg
[2026-08-11T02:52:37.764+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:52:37,764 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1613.mp3
[2026-08-11T02:52:38.262+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:52:38,261 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1613.mp3
[2026-08-11T02:52:38.473+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:52:38,473 | INFO     | media.image_downloader | Downloaded background image for scene='shopping' -> /opt/airflow/output/images/long_1613.jpg
[2026-08-11T02:52:43.310+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:52:43,310 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1623.mp3
[2026-08-11T02:52:43.606+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:52:43,606 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1623.mp3
[2026-08-11T02:52:43.797+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:52:43,797 | INFO     | media.image_downloader | Downloaded background image for scene='shopping' -> /opt/airflow/output/images/long_1623.jpg
[2026-08-11T02:52:48.959+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:52:48,959 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1627.mp3
[2026-08-11T02:52:49.400+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:52:49,400 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1627.mp3
