[2026-08-22T06:47:01.518+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-08-22T06:47:01.558+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_5 manual__2026-08-20T23:20:20.409177+00:00 [queued]>
[2026-08-22T06:47:01.569+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_5 manual__2026-08-20T23:20:20.409177+00:00 [queued]>
[2026-08-22T06:47:01.571+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 3
[2026-08-22T06:47:01.585+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): build_long_video_5> on 2026-08-20 23:20:20.409177+00:00
[2026-08-22T06:47:01.590+0000] {standard_task_runner.py:64} INFO - Started process 64262 to run task
[2026-08-22T06:47:01.595+0000] {standard_task_runner.py:90} INFO - Running: ['airflow', 'tasks', 'run', 'youtube_english_video_pipeline', 'build_long_video_5', 'manual__2026-08-20T23:20:20.409177+00:00', '--job-id', '860', '--raw', '--subdir', 'DAGS_FOLDER/youtube_pipeline.py', '--cfg-path', '/tmp/tmpp3658pxj']
[2026-08-22T06:47:01.597+0000] {standard_task_runner.py:91} INFO - Job 860: Subtask build_long_video_5
[2026-08-22T06:47:01.678+0000] {task_command.py:426} INFO - Running <TaskInstance: youtube_english_video_pipeline.build_long_video_5 manual__2026-08-20T23:20:20.409177+00:00 [running]> on host cc859d74cf38
[2026-08-22T06:47:01.948+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='taky' AIRFLOW_CTX_DAG_ID='youtube_english_video_pipeline' AIRFLOW_CTX_TASK_ID='build_long_video_5' AIRFLOW_CTX_EXECUTION_DATE='2026-08-20T23:20:20.409177+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2026-08-20T23:20:20.409177+00:00'
[2026-08-22T06:47:01.949+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-08-22T06:47:03.648+0000] {logging_mixin.py:188} INFO - 2026-08-22 06:47:03,648 | INFO     | planner.video_planner | Only 12 phrases for topic='Travel English', topping up without topic filter
[2026-08-22T06:47:03.659+0000] {logging_mixin.py:188} INFO - 2026-08-22 06:47:03,658 | INFO     | planner.video_planner | Planned LONG video: topic='Mixed English Expressions', phrases=20
[2026-08-22T06:47:04.141+0000] {logging_mixin.py:188} INFO - 2026-08-22 06:47:04,141 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2165.mp3
[2026-08-22T06:47:04.736+0000] {logging_mixin.py:188} INFO - 2026-08-22 06:47:04,735 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2165.mp3
[2026-08-22T06:47:06.557+0000] {logging_mixin.py:188} INFO - 2026-08-22 06:47:06,556 | INFO     | media.image_downloader | Downloaded background image for scene='hotel' -> /opt/airflow/output/images/long_2165.jpg
[2026-08-22T06:47:10.786+0000] {logging_mixin.py:188} INFO - 2026-08-22 06:47:10,786 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2171.mp3
[2026-08-22T06:47:11.253+0000] {logging_mixin.py:188} INFO - 2026-08-22 06:47:11,252 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2171.mp3
[2026-08-22T06:47:12.008+0000] {logging_mixin.py:188} INFO - 2026-08-22 06:47:12,007 | INFO     | media.image_downloader | Downloaded background image for scene='airport' -> /opt/airflow/output/images/long_2171.jpg
[2026-08-22T06:47:16.749+0000] {logging_mixin.py:188} INFO - 2026-08-22 06:47:16,749 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2176.mp3
[2026-08-22T06:47:17.203+0000] {logging_mixin.py:188} INFO - 2026-08-22 06:47:17,203 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2176.mp3
[2026-08-22T06:47:17.575+0000] {logging_mixin.py:188} INFO - 2026-08-22 06:47:17,575 | INFO     | media.image_downloader | Downloaded background image for scene='hotel' -> /opt/airflow/output/images/long_2176.jpg
[2026-08-22T06:47:22.126+0000] {logging_mixin.py:188} INFO - 2026-08-22 06:47:22,126 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2177.mp3
