[2026-08-22T06:50:56.931+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-08-22T06:50:56.971+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_6 manual__2026-08-20T23:20:20.409177+00:00 [queued]>
[2026-08-22T06:50:56.980+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_6 manual__2026-08-20T23:20:20.409177+00:00 [queued]>
[2026-08-22T06:50:56.982+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 3
[2026-08-22T06:50:56.998+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): build_long_video_6> on 2026-08-20 23:20:20.409177+00:00
[2026-08-22T06:50:57.003+0000] {standard_task_runner.py:64} INFO - Started process 67725 to run task
[2026-08-22T06:50:57.007+0000] {standard_task_runner.py:90} INFO - Running: ['airflow', 'tasks', 'run', 'youtube_english_video_pipeline', 'build_long_video_6', 'manual__2026-08-20T23:20:20.409177+00:00', '--job-id', '865', '--raw', '--subdir', 'DAGS_FOLDER/youtube_pipeline.py', '--cfg-path', '/tmp/tmpav_01x3v']
[2026-08-22T06:50:57.009+0000] {standard_task_runner.py:91} INFO - Job 865: Subtask build_long_video_6
[2026-08-22T06:50:57.085+0000] {task_command.py:426} INFO - Running <TaskInstance: youtube_english_video_pipeline.build_long_video_6 manual__2026-08-20T23:20:20.409177+00:00 [running]> on host cc859d74cf38
[2026-08-22T06:50:57.335+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='taky' AIRFLOW_CTX_DAG_ID='youtube_english_video_pipeline' AIRFLOW_CTX_TASK_ID='build_long_video_6' AIRFLOW_CTX_EXECUTION_DATE='2026-08-20T23:20:20.409177+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2026-08-20T23:20:20.409177+00:00'
[2026-08-22T06:50:57.336+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-08-22T06:50:58.363+0000] {logging_mixin.py:188} INFO - 2026-08-22 06:50:58,362 | INFO     | planner.video_planner | Only 5 phrases for topic='Travel English', topping up without topic filter
[2026-08-22T06:50:58.374+0000] {logging_mixin.py:188} INFO - 2026-08-22 06:50:58,374 | INFO     | planner.video_planner | Planned LONG video: topic='Mixed English Expressions', phrases=19
[2026-08-22T06:50:58.782+0000] {logging_mixin.py:188} INFO - 2026-08-22 06:50:58,782 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2223.mp3
[2026-08-22T06:50:59.181+0000] {logging_mixin.py:188} INFO - 2026-08-22 06:50:59,181 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2223.mp3
[2026-08-22T06:50:59.343+0000] {logging_mixin.py:188} INFO - 2026-08-22 06:50:59,343 | INFO     | media.image_downloader | Downloaded background image for scene='meeting' -> /opt/airflow/output/images/long_2223.jpg
[2026-08-22T06:51:03.327+0000] {logging_mixin.py:188} INFO - 2026-08-22 06:51:03,327 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2226.mp3
[2026-08-22T06:51:03.841+0000] {logging_mixin.py:188} INFO - 2026-08-22 06:51:03,840 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2226.mp3
[2026-08-22T06:51:04.263+0000] {logging_mixin.py:188} INFO - 2026-08-22 06:51:04,262 | INFO     | media.image_downloader | Downloaded background image for scene='airport' -> /opt/airflow/output/images/long_2226.jpg
[2026-08-22T06:51:08.962+0000] {logging_mixin.py:188} INFO - 2026-08-22 06:51:08,962 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2228.mp3
[2026-08-22T06:51:09.440+0000] {logging_mixin.py:188} INFO - 2026-08-22 06:51:09,440 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2228.mp3
[2026-08-22T06:51:09.863+0000] {logging_mixin.py:188} INFO - 2026-08-22 06:51:09,863 | INFO     | media.image_downloader | Downloaded background image for scene='hotel' -> /opt/airflow/output/images/long_2228.jpg
[2026-08-22T06:51:15.007+0000] {logging_mixin.py:188} INFO - 2026-08-22 06:51:15,007 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2232.mp3
[2026-08-22T06:51:15.620+0000] {logging_mixin.py:188} INFO - 2026-08-22 06:51:15,619 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2232.mp3
[2026-08-22T06:51:16.730+0000] {logging_mixin.py:188} INFO - 2026-08-22 06:51:16,729 | INFO     | media.image_downloader | Downloaded background image for scene='breakroom' -> /opt/airflow/output/images/long_2232.jpg
[2026-08-22T06:51:21.566+0000] {logging_mixin.py:188} INFO - 2026-08-22 06:51:21,566 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2234.mp3
[2026-08-22T06:51:22.151+0000] {logging_mixin.py:188} INFO - 2026-08-22 06:51:22,151 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2234.mp3
[2026-08-22T06:51:22.529+0000] {logging_mixin.py:188} INFO - 2026-08-22 06:51:22,529 | INFO     | media.image_downloader | Downloaded background image for scene='street' -> /opt/airflow/output/images/long_2234.jpg
