[2026-09-05T06:30:50.072+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-09-05T06:30:50.137+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_1 manual__2026-09-05T06:29:37.349254+00:00 [queued]>
[2026-09-05T06:30:50.156+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_1 manual__2026-09-05T06:29:37.349254+00:00 [queued]>
[2026-09-05T06:30:50.157+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 3
[2026-09-05T06:30:50.179+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): build_long_video_1> on 2026-09-05 06:29:37.349254+00:00
[2026-09-05T06:30:50.186+0000] {standard_task_runner.py:64} INFO - Started process 23904 to run task
[2026-09-05T06:30:50.191+0000] {standard_task_runner.py:90} INFO - Running: ['airflow', 'tasks', 'run', 'youtube_english_video_pipeline', 'build_long_video_1', 'manual__2026-09-05T06:29:37.349254+00:00', '--job-id', '981', '--raw', '--subdir', 'DAGS_FOLDER/youtube_pipeline.py', '--cfg-path', '/tmp/tmpkqmxkxxs']
[2026-09-05T06:30:50.194+0000] {standard_task_runner.py:91} INFO - Job 981: Subtask build_long_video_1
[2026-09-05T06:30:50.283+0000] {task_command.py:426} INFO - Running <TaskInstance: youtube_english_video_pipeline.build_long_video_1 manual__2026-09-05T06:29:37.349254+00:00 [running]> on host cc859d74cf38
[2026-09-05T06:30:50.614+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='taky' AIRFLOW_CTX_DAG_ID='youtube_english_video_pipeline' AIRFLOW_CTX_TASK_ID='build_long_video_1' AIRFLOW_CTX_EXECUTION_DATE='2026-09-05T06:29:37.349254+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2026-09-05T06:29:37.349254+00:00'
[2026-09-05T06:30:50.616+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-09-05T06:30:51.457+0000] {logging_mixin.py:188} INFO - 2026-09-05 06:30:51,457 | INFO     | planner.video_planner | Only 5 phrases for topic='Daily Conversation', topping up without topic filter
[2026-09-05T06:30:51.466+0000] {logging_mixin.py:188} INFO - 2026-09-05 06:30:51,466 | INFO     | planner.video_planner | Planned LONG video: topic='Mixed English Expressions', phrases=20
[2026-09-05T06:30:51.795+0000] {logging_mixin.py:188} INFO - 2026-09-05 06:30:51,794 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2558.mp3
[2026-09-05T06:30:52.180+0000] {logging_mixin.py:188} INFO - 2026-09-05 06:30:52,179 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2558.mp3
[2026-09-05T06:30:53.096+0000] {logging_mixin.py:188} INFO - 2026-09-05 06:30:53,096 | INFO     | media.image_downloader | Downloaded background image for scene='pharmacy' -> /opt/airflow/output/images/long_2558.jpg
[2026-09-05T06:30:59.333+0000] {logging_mixin.py:188} INFO - 2026-09-05 06:30:59,332 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2559.mp3
[2026-09-05T06:30:59.694+0000] {logging_mixin.py:188} INFO - 2026-09-05 06:30:59,694 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2559.mp3
[2026-09-05T06:30:59.871+0000] {logging_mixin.py:188} INFO - 2026-09-05 06:30:59,870 | INFO     | media.image_downloader | Downloaded background image for scene='subway' -> /opt/airflow/output/images/long_2559.jpg
[2026-09-05T06:31:04.525+0000] {logging_mixin.py:188} INFO - 2026-09-05 06:31:04,524 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2560.mp3
[2026-09-05T06:31:04.842+0000] {logging_mixin.py:188} INFO - 2026-09-05 06:31:04,842 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2560.mp3
[2026-09-05T06:31:05.032+0000] {logging_mixin.py:188} INFO - 2026-09-05 06:31:05,031 | INFO     | media.image_downloader | Downloaded background image for scene='boardroom' -> /opt/airflow/output/images/long_2560.jpg
[2026-09-05T06:31:10.759+0000] {logging_mixin.py:188} INFO - 2026-09-05 06:31:10,759 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2561.mp3
