[2026-09-07T11:18:00.457+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-09-07T11:18:00.482+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_1 manual__2026-09-07T11:05:33.821274+00:00 [queued]>
[2026-09-07T11:18:00.488+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_1 manual__2026-09-07T11:05:33.821274+00:00 [queued]>
[2026-09-07T11:18:00.489+0000] {taskinstance.py:2306} INFO - Starting attempt 2 of 3
[2026-09-07T11:18:00.497+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): build_long_video_1> on 2026-09-07 11:05:33.821274+00:00
[2026-09-07T11:18:00.503+0000] {standard_task_runner.py:64} INFO - Started process 36221 to run task
[2026-09-07T11:18:00.505+0000] {standard_task_runner.py:90} INFO - Running: ['airflow', 'tasks', 'run', 'youtube_english_video_pipeline', 'build_long_video_1', 'manual__2026-09-07T11:05:33.821274+00:00', '--job-id', '1010', '--raw', '--subdir', 'DAGS_FOLDER/youtube_pipeline.py', '--cfg-path', '/tmp/tmpuaqwu27p']
[2026-09-07T11:18:00.507+0000] {standard_task_runner.py:91} INFO - Job 1010: Subtask build_long_video_1
[2026-09-07T11:18:00.554+0000] {task_command.py:426} INFO - Running <TaskInstance: youtube_english_video_pipeline.build_long_video_1 manual__2026-09-07T11:05:33.821274+00:00 [running]> on host cc859d74cf38
[2026-09-07T11:18:00.754+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='taky' AIRFLOW_CTX_DAG_ID='youtube_english_video_pipeline' AIRFLOW_CTX_TASK_ID='build_long_video_1' AIRFLOW_CTX_EXECUTION_DATE='2026-09-07T11:05:33.821274+00:00' AIRFLOW_CTX_TRY_NUMBER='2' AIRFLOW_CTX_DAG_RUN_ID='manual__2026-09-07T11:05:33.821274+00:00'
[2026-09-07T11:18:00.755+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-09-07T11:18:01.321+0000] {logging_mixin.py:188} INFO - 2026-09-07 11:18:01,321 | INFO     | planner.video_planner | Only 8 phrases for topic='Business English', topping up without topic filter
[2026-09-07T11:18:01.330+0000] {logging_mixin.py:188} INFO - 2026-09-07 11:18:01,330 | INFO     | planner.video_planner | Planned LONG video: topic='Mixed English Expressions', phrases=20
[2026-09-07T11:18:01.678+0000] {logging_mixin.py:188} INFO - 2026-09-07 11:18:01,678 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2604.mp3
[2026-09-07T11:18:02.133+0000] {logging_mixin.py:188} INFO - 2026-09-07 11:18:02,133 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2604.mp3
[2026-09-07T11:18:02.876+0000] {logging_mixin.py:188} INFO - 2026-09-07 11:18:02,875 | INFO     | media.image_downloader | Downloaded background image for scene='workplace' -> /opt/airflow/output/images/long_2604.jpg
[2026-09-07T11:18:06.248+0000] {logging_mixin.py:188} INFO - 2026-09-07 11:18:06,248 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2607.mp3
[2026-09-07T11:18:06.600+0000] {logging_mixin.py:188} INFO - 2026-09-07 11:18:06,600 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2607.mp3
[2026-09-07T11:18:06.977+0000] {logging_mixin.py:188} INFO - 2026-09-07 11:18:06,976 | INFO     | media.image_downloader | Downloaded background image for scene='dealership' -> /opt/airflow/output/images/long_2607.jpg
[2026-09-07T11:18:10.628+0000] {logging_mixin.py:188} INFO - 2026-09-07 11:18:10,628 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2608.mp3
[2026-09-07T11:18:10.838+0000] {logging_mixin.py:188} INFO - 2026-09-07 11:18:10,838 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2608.mp3
[2026-09-07T11:18:11.034+0000] {logging_mixin.py:188} INFO - 2026-09-07 11:18:11,034 | INFO     | media.image_downloader | Downloaded background image for scene='lobby' -> /opt/airflow/output/images/long_2608.jpg
[2026-09-07T11:18:14.261+0000] {logging_mixin.py:188} INFO - 2026-09-07 11:18:14,260 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2605.mp3
[2026-09-07T11:18:14.516+0000] {logging_mixin.py:188} INFO - 2026-09-07 11:18:14,516 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2605.mp3
[2026-09-07T11:18:14.863+0000] {logging_mixin.py:188} INFO - 2026-09-07 11:18:14,863 | INFO     | media.image_downloader | Downloaded background image for scene='park' -> /opt/airflow/output/images/long_2605.jpg
[2026-09-07T11:18:18.822+0000] {logging_mixin.py:188} INFO - 2026-09-07 11:18:18,822 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2603.mp3
[2026-09-07T11:18:19.149+0000] {logging_mixin.py:188} INFO - 2026-09-07 11:18:19,149 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2603.mp3
[2026-09-07T11:18:19.497+0000] {logging_mixin.py:188} INFO - 2026-09-07 11:18:19,497 | INFO     | media.image_downloader | Downloaded background image for scene='reception' -> /opt/airflow/output/images/long_2603.jpg
[2026-09-07T11:18:23.027+0000] {logging_mixin.py:188} INFO - 2026-09-07 11:18:23,027 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2606.mp3
[2026-09-07T11:18:23.425+0000] {logging_mixin.py:188} INFO - 2026-09-07 11:18:23,425 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2606.mp3
[2026-09-07T11:18:23.647+0000] {logging_mixin.py:188} INFO - 2026-09-07 11:18:23,647 | INFO     | media.image_downloader | Downloaded background image for scene='bistro' -> /opt/airflow/output/images/long_2606.jpg
[2026-09-07T11:18:27.836+0000] {logging_mixin.py:188} INFO - 2026-09-07 11:18:27,836 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2610.mp3
[2026-09-07T11:18:28.174+0000] {logging_mixin.py:188} INFO - 2026-09-07 11:18:28,174 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2610.mp3
[2026-09-07T11:18:28.460+0000] {logging_mixin.py:188} INFO - 2026-09-07 11:18:28,460 | INFO     | media.image_downloader | Downloaded background image for scene='arrival' -> /opt/airflow/output/images/long_2610.jpg
[2026-09-07T11:18:32.006+0000] {logging_mixin.py:188} INFO - 2026-09-07 11:18:32,005 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2609.mp3
[2026-09-07T11:18:32.494+0000] {logging_mixin.py:188} INFO - 2026-09-07 11:18:32,494 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2609.mp3
[2026-09-07T11:18:32.753+0000] {logging_mixin.py:188} INFO - 2026-09-07 11:18:32,753 | INFO     | media.image_downloader | Downloaded background image for scene='apartment' -> /opt/airflow/output/images/long_2609.jpg
[2026-09-07T11:18:36.809+0000] {logging_mixin.py:188} INFO - 2026-09-07 11:18:36,809 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2638.mp3
[2026-09-07T11:18:37.077+0000] {logging_mixin.py:188} INFO - 2026-09-07 11:18:37,077 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2638.mp3
[2026-09-07T11:18:37.435+0000] {logging_mixin.py:188} INFO - 2026-09-07 11:18:37,435 | INFO     | media.image_downloader | Downloaded background image for scene='hotel' -> /opt/airflow/output/images/long_2638.jpg
[2026-09-07T11:18:41.237+0000] {logging_mixin.py:188} INFO - 2026-09-07 11:18:41,237 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2643.mp3
[2026-09-07T11:18:41.609+0000] {logging_mixin.py:188} INFO - 2026-09-07 11:18:41,609 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2643.mp3
[2026-09-07T11:18:41.967+0000] {logging_mixin.py:188} INFO - 2026-09-07 11:18:41,967 | INFO     | media.image_downloader | Downloaded background image for scene='meeting' -> /opt/airflow/output/images/long_2643.jpg
[2026-09-07T11:18:45.731+0000] {logging_mixin.py:188} INFO - 2026-09-07 11:18:45,731 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2637.mp3
