[2026-09-07T11:20:50.546+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-09-07T11:20:50.570+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_2 manual__2026-09-07T11:05:33.821274+00:00 [queued]>
[2026-09-07T11:20:50.576+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_2 manual__2026-09-07T11:05:33.821274+00:00 [queued]>
[2026-09-07T11:20:50.577+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 3
[2026-09-07T11:20:50.585+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): build_long_video_2> on 2026-09-07 11:05:33.821274+00:00
[2026-09-07T11:20:50.589+0000] {standard_task_runner.py:64} INFO - Started process 39632 to run task
[2026-09-07T11:20:50.591+0000] {standard_task_runner.py:90} INFO - Running: ['airflow', 'tasks', 'run', 'youtube_english_video_pipeline', 'build_long_video_2', 'manual__2026-09-07T11:05:33.821274+00:00', '--job-id', '1015', '--raw', '--subdir', 'DAGS_FOLDER/youtube_pipeline.py', '--cfg-path', '/tmp/tmphs3teqz_']
[2026-09-07T11:20:50.593+0000] {standard_task_runner.py:91} INFO - Job 1015: Subtask build_long_video_2
[2026-09-07T11:20:50.656+0000] {task_command.py:426} INFO - Running <TaskInstance: youtube_english_video_pipeline.build_long_video_2 manual__2026-09-07T11:05:33.821274+00:00 [running]> on host cc859d74cf38
[2026-09-07T11:20:50.812+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='taky' AIRFLOW_CTX_DAG_ID='youtube_english_video_pipeline' AIRFLOW_CTX_TASK_ID='build_long_video_2' AIRFLOW_CTX_EXECUTION_DATE='2026-09-07T11:05:33.821274+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2026-09-07T11:05:33.821274+00:00'
[2026-09-07T11:20:50.813+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-09-07T11:20:51.299+0000] {logging_mixin.py:188} INFO - 2026-09-07 11:20:51,299 | INFO     | planner.video_planner | Only 5 phrases for topic='Shopping English', topping up without topic filter
[2026-09-07T11:20:51.305+0000] {logging_mixin.py:188} INFO - 2026-09-07 11:20:51,305 | INFO     | planner.video_planner | Planned LONG video: topic='Mixed English Expressions', phrases=20
[2026-09-07T11:20:51.643+0000] {logging_mixin.py:188} INFO - 2026-09-07 11:20:51,643 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2611.mp3
[2026-09-07T11:20:52.072+0000] {logging_mixin.py:188} INFO - 2026-09-07 11:20:52,072 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2611.mp3
[2026-09-07T11:20:52.506+0000] {logging_mixin.py:188} INFO - 2026-09-07 11:20:52,506 | INFO     | media.image_downloader | Downloaded background image for scene='office' -> /opt/airflow/output/images/long_2611.jpg
[2026-09-07T11:20:55.833+0000] {logging_mixin.py:188} INFO - 2026-09-07 11:20:55,833 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2612.mp3
[2026-09-07T11:20:56.268+0000] {logging_mixin.py:188} INFO - 2026-09-07 11:20:56,268 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2612.mp3
[2026-09-07T11:20:56.671+0000] {logging_mixin.py:188} INFO - 2026-09-07 11:20:56,670 | INFO     | media.image_downloader | Downloaded background image for scene='street' -> /opt/airflow/output/images/long_2612.jpg
[2026-09-07T11:21:00.857+0000] {logging_mixin.py:188} INFO - 2026-09-07 11:21:00,856 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2613.mp3
[2026-09-07T11:21:01.236+0000] {logging_mixin.py:188} INFO - 2026-09-07 11:21:01,235 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2613.mp3
[2026-09-07T11:21:01.480+0000] {logging_mixin.py:188} INFO - 2026-09-07 11:21:01,480 | INFO     | media.image_downloader | Downloaded background image for scene='restaurant' -> /opt/airflow/output/images/long_2613.jpg
[2026-09-07T11:21:05.536+0000] {logging_mixin.py:188} INFO - 2026-09-07 11:21:05,536 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2614.mp3
