[2026-09-09T00:22:44.922+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-09-09T00:22:44.952+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_1 manual__2026-09-09T00:16:13.135356+00:00 [queued]>
[2026-09-09T00:22:44.958+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_1 manual__2026-09-09T00:16:13.135356+00:00 [queued]>
[2026-09-09T00:22:44.959+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 3
[2026-09-09T00:22:44.972+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): build_long_video_1> on 2026-09-09 00:16:13.135356+00:00
[2026-09-09T00:22:44.976+0000] {standard_task_runner.py:64} INFO - Started process 787 to run task
[2026-09-09T00:22:44.979+0000] {standard_task_runner.py:90} INFO - Running: ['airflow', 'tasks', 'run', 'youtube_english_video_pipeline', 'build_long_video_1', 'manual__2026-09-09T00:16:13.135356+00:00', '--job-id', '1036', '--raw', '--subdir', 'DAGS_FOLDER/youtube_pipeline.py', '--cfg-path', '/tmp/tmp67uqv5ez']
[2026-09-09T00:22:44.981+0000] {standard_task_runner.py:91} INFO - Job 1036: Subtask build_long_video_1
[2026-09-09T00:22:45.035+0000] {task_command.py:426} INFO - Running <TaskInstance: youtube_english_video_pipeline.build_long_video_1 manual__2026-09-09T00:16:13.135356+00:00 [running]> on host cc859d74cf38
[2026-09-09T00:22:45.240+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='taky' AIRFLOW_CTX_DAG_ID='youtube_english_video_pipeline' AIRFLOW_CTX_TASK_ID='build_long_video_1' AIRFLOW_CTX_EXECUTION_DATE='2026-09-09T00:16:13.135356+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2026-09-09T00:16:13.135356+00:00'
[2026-09-09T00:22:45.240+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-09-09T00:22:45.897+0000] {logging_mixin.py:188} INFO - 2026-09-09 00:22:45,897 | INFO     | planner.video_planner | Only 6 phrases for topic='Travel English', topping up without topic filter
[2026-09-09T00:22:45.904+0000] {logging_mixin.py:188} INFO - 2026-09-09 00:22:45,903 | INFO     | planner.video_planner | Planned LONG video: topic='Mixed English Expressions', phrases=20
[2026-09-09T00:22:46.278+0000] {logging_mixin.py:188} INFO - 2026-09-09 00:22:46,278 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2662.mp3
[2026-09-09T00:22:46.733+0000] {logging_mixin.py:188} INFO - 2026-09-09 00:22:46,733 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2662.mp3
[2026-09-09T00:22:46.957+0000] {logging_mixin.py:188} INFO - 2026-09-09 00:22:46,956 | INFO     | media.image_downloader | Downloaded background image for scene='office' -> /opt/airflow/output/images/long_2662.jpg
[2026-09-09T00:22:50.963+0000] {logging_mixin.py:188} INFO - 2026-09-09 00:22:50,962 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2663.mp3
[2026-09-09T00:22:51.261+0000] {logging_mixin.py:188} INFO - 2026-09-09 00:22:51,261 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2663.mp3
[2026-09-09T00:22:51.832+0000] {logging_mixin.py:188} INFO - 2026-09-09 00:22:51,832 | INFO     | media.image_downloader | Downloaded background image for scene='shopping' -> /opt/airflow/output/images/long_2663.jpg
[2026-09-09T00:22:56.533+0000] {logging_mixin.py:188} INFO - 2026-09-09 00:22:56,533 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2664.mp3
[2026-09-09T00:22:56.929+0000] {logging_mixin.py:188} INFO - 2026-09-09 00:22:56,929 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2664.mp3
[2026-09-09T00:22:57.366+0000] {logging_mixin.py:188} INFO - 2026-09-09 00:22:57,366 | INFO     | media.image_downloader | Downloaded background image for scene='airport' -> /opt/airflow/output/images/long_2664.jpg
[2026-09-09T00:23:01.921+0000] {logging_mixin.py:188} INFO - 2026-09-09 00:23:01,921 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2665.mp3
[2026-09-09T00:23:02.422+0000] {logging_mixin.py:188} INFO - 2026-09-09 00:23:02,421 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2665.mp3
[2026-09-09T00:23:02.749+0000] {logging_mixin.py:188} INFO - 2026-09-09 00:23:02,749 | INFO     | media.image_downloader | Downloaded background image for scene='hotel' -> /opt/airflow/output/images/long_2665.jpg
[2026-09-09T00:23:07.047+0000] {logging_mixin.py:188} INFO - 2026-09-09 00:23:07,046 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2666.mp3
[2026-09-09T00:23:07.380+0000] {logging_mixin.py:188} INFO - 2026-09-09 00:23:07,380 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2666.mp3
