[2026-09-10T12:36:00.635+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-09-10T12:36:00.659+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_1 manual__2026-09-10T12:29:05.229650+00:00 [queued]>
[2026-09-10T12:36:00.664+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_1 manual__2026-09-10T12:29:05.229650+00:00 [queued]>
[2026-09-10T12:36:00.684+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 3
[2026-09-10T12:36:00.701+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): build_long_video_1> on 2026-09-10 12:29:05.229650+00:00
[2026-09-10T12:36:00.704+0000] {standard_task_runner.py:64} INFO - Started process 4459 to run task
[2026-09-10T12:36:00.706+0000] {standard_task_runner.py:90} INFO - Running: ['airflow', 'tasks', 'run', 'youtube_english_video_pipeline', 'build_long_video_1', 'manual__2026-09-10T12:29:05.229650+00:00', '--job-id', '1093', '--raw', '--subdir', 'DAGS_FOLDER/youtube_pipeline.py', '--cfg-path', '/tmp/tmp8om3xnnr']
[2026-09-10T12:36:00.708+0000] {standard_task_runner.py:91} INFO - Job 1093: Subtask build_long_video_1
[2026-09-10T12:36:00.785+0000] {task_command.py:426} INFO - Running <TaskInstance: youtube_english_video_pipeline.build_long_video_1 manual__2026-09-10T12:29:05.229650+00:00 [running]> on host cc859d74cf38
[2026-09-10T12:36:00.968+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='taky' AIRFLOW_CTX_DAG_ID='youtube_english_video_pipeline' AIRFLOW_CTX_TASK_ID='build_long_video_1' AIRFLOW_CTX_EXECUTION_DATE='2026-09-10T12:29:05.229650+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2026-09-10T12:29:05.229650+00:00'
[2026-09-10T12:36:00.968+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-09-10T12:36:01.426+0000] {logging_mixin.py:188} INFO - 2026-09-10 12:36:01,425 | INFO     | planner.video_planner | Only 9 phrases for topic='Travel English', topping up without topic filter
[2026-09-10T12:36:01.431+0000] {logging_mixin.py:188} INFO - 2026-09-10 12:36:01,431 | INFO     | planner.video_planner | Planned LONG video: topic='Mixed English Expressions', phrases=20
[2026-09-10T12:36:01.742+0000] {logging_mixin.py:188} INFO - 2026-09-10 12:36:01,742 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2706.mp3
[2026-09-10T12:36:02.146+0000] {logging_mixin.py:188} INFO - 2026-09-10 12:36:02,146 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2706.mp3
[2026-09-10T12:36:02.801+0000] {logging_mixin.py:188} INFO - 2026-09-10 12:36:02,800 | INFO     | media.image_downloader | Downloaded background image for scene='sidewalk' -> /opt/airflow/output/images/long_2706.jpg
[2026-09-10T12:36:07.467+0000] {logging_mixin.py:188} INFO - 2026-09-10 12:36:07,467 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2707.mp3
[2026-09-10T12:36:07.886+0000] {logging_mixin.py:188} INFO - 2026-09-10 12:36:07,886 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2707.mp3
[2026-09-10T12:36:08.733+0000] {logging_mixin.py:188} INFO - 2026-09-10 12:36:08,733 | INFO     | media.image_downloader | Downloaded background image for scene='park' -> /opt/airflow/output/images/long_2707.jpg
[2026-09-10T12:36:13.163+0000] {logging_mixin.py:188} INFO - 2026-09-10 12:36:13,163 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2709.mp3
[2026-09-10T12:36:13.629+0000] {logging_mixin.py:188} INFO - 2026-09-10 12:36:13,629 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2709.mp3
[2026-09-10T12:36:14.339+0000] {logging_mixin.py:188} INFO - 2026-09-10 12:36:14,338 | INFO     | media.image_downloader | Downloaded background image for scene='coffeeshop' -> /opt/airflow/output/images/long_2709.jpg
[2026-09-10T12:36:17.182+0000] {logging_mixin.py:188} INFO - 2026-09-10 12:36:17,182 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2708.mp3
[2026-09-10T12:36:17.514+0000] {logging_mixin.py:188} INFO - 2026-09-10 12:36:17,514 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2708.mp3
[2026-09-10T12:36:18.613+0000] {logging_mixin.py:188} INFO - 2026-09-10 12:36:18,613 | INFO     | media.image_downloader | Downloaded background image for scene='elevator' -> /opt/airflow/output/images/long_2708.jpg
[2026-09-10T12:36:22.642+0000] {logging_mixin.py:188} INFO - 2026-09-10 12:36:22,642 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2710.mp3
[2026-09-10T12:36:22.975+0000] {logging_mixin.py:188} INFO - 2026-09-10 12:36:22,975 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2710.mp3
