[2026-09-10T12:38:51.898+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-09-10T12:38:51.934+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_2 manual__2026-09-10T12:29:05.229650+00:00 [queued]>
[2026-09-10T12:38:51.940+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_2 manual__2026-09-10T12:29:05.229650+00:00 [queued]>
[2026-09-10T12:38:51.941+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 3
[2026-09-10T12:38:51.953+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): build_long_video_2> on 2026-09-10 12:29:05.229650+00:00
[2026-09-10T12:38:51.957+0000] {standard_task_runner.py:64} INFO - Started process 7876 to run task
[2026-09-10T12:38:51.960+0000] {standard_task_runner.py:90} INFO - Running: ['airflow', 'tasks', 'run', 'youtube_english_video_pipeline', 'build_long_video_2', 'manual__2026-09-10T12:29:05.229650+00:00', '--job-id', '1098', '--raw', '--subdir', 'DAGS_FOLDER/youtube_pipeline.py', '--cfg-path', '/tmp/tmp3ern4l14']
[2026-09-10T12:38:51.962+0000] {standard_task_runner.py:91} INFO - Job 1098: Subtask build_long_video_2
[2026-09-10T12:38:52.026+0000] {task_command.py:426} INFO - Running <TaskInstance: youtube_english_video_pipeline.build_long_video_2 manual__2026-09-10T12:29:05.229650+00:00 [running]> on host cc859d74cf38
[2026-09-10T12:38:52.213+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='taky' AIRFLOW_CTX_DAG_ID='youtube_english_video_pipeline' AIRFLOW_CTX_TASK_ID='build_long_video_2' AIRFLOW_CTX_EXECUTION_DATE='2026-09-10T12:29:05.229650+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2026-09-10T12:29:05.229650+00:00'
[2026-09-10T12:38:52.214+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-09-10T12:38:52.841+0000] {logging_mixin.py:188} INFO - 2026-09-10 12:38:52,841 | INFO     | planner.video_planner | Only 6 phrases for topic='Travel English', topping up without topic filter
[2026-09-10T12:38:52.850+0000] {logging_mixin.py:188} INFO - 2026-09-10 12:38:52,850 | INFO     | planner.video_planner | Planned LONG video: topic='Mixed English Expressions', phrases=20
[2026-09-10T12:38:53.114+0000] {logging_mixin.py:188} INFO - 2026-09-10 12:38:53,114 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2727.mp3
[2026-09-10T12:38:53.516+0000] {logging_mixin.py:188} INFO - 2026-09-10 12:38:53,516 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2727.mp3
[2026-09-10T12:38:53.766+0000] {logging_mixin.py:188} INFO - 2026-09-10 12:38:53,766 | INFO     | media.image_downloader | Downloaded background image for scene='supermarket' -> /opt/airflow/output/images/long_2727.jpg
[2026-09-10T12:38:57.989+0000] {logging_mixin.py:188} INFO - 2026-09-10 12:38:57,989 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2728.mp3
[2026-09-10T12:38:58.386+0000] {logging_mixin.py:188} INFO - 2026-09-10 12:38:58,386 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2728.mp3
[2026-09-10T12:38:58.574+0000] {logging_mixin.py:188} INFO - 2026-09-10 12:38:58,574 | INFO     | media.image_downloader | Downloaded background image for scene='street' -> /opt/airflow/output/images/long_2728.jpg
[2026-09-10T12:39:02.625+0000] {logging_mixin.py:188} INFO - 2026-09-10 12:39:02,625 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2729.mp3
[2026-09-10T12:39:03.049+0000] {logging_mixin.py:188} INFO - 2026-09-10 12:39:03,049 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2729.mp3
[2026-09-10T12:39:03.383+0000] {logging_mixin.py:188} INFO - 2026-09-10 12:39:03,383 | INFO     | media.image_downloader | Downloaded background image for scene='restaurant' -> /opt/airflow/output/images/long_2729.jpg
[2026-09-10T12:39:07.317+0000] {logging_mixin.py:188} INFO - 2026-09-10 12:39:07,317 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2730.mp3
[2026-09-10T12:39:07.736+0000] {logging_mixin.py:188} INFO - 2026-09-10 12:39:07,736 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2730.mp3
[2026-09-10T12:39:07.939+0000] {logging_mixin.py:188} INFO - 2026-09-10 12:39:07,939 | INFO     | media.image_downloader | Downloaded background image for scene='airport' -> /opt/airflow/output/images/long_2730.jpg
[2026-09-10T12:39:12.724+0000] {logging_mixin.py:188} INFO - 2026-09-10 12:39:12,723 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2731.mp3
[2026-09-10T12:39:13.031+0000] {logging_mixin.py:188} INFO - 2026-09-10 12:39:13,030 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2731.mp3
[2026-09-10T12:39:13.325+0000] {logging_mixin.py:188} INFO - 2026-09-10 12:39:13,325 | INFO     | media.image_downloader | Downloaded background image for scene='hotel' -> /opt/airflow/output/images/long_2731.jpg
[2026-09-10T12:39:17.165+0000] {logging_mixin.py:188} INFO - 2026-09-10 12:39:17,165 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2732.mp3
[2026-09-10T12:39:17.529+0000] {logging_mixin.py:188} INFO - 2026-09-10 12:39:17,529 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2732.mp3
[2026-09-10T12:39:17.716+0000] {logging_mixin.py:188} INFO - 2026-09-10 12:39:17,716 | INFO     | media.image_downloader | Downloaded background image for scene='taxi' -> /opt/airflow/output/images/long_2732.jpg
[2026-09-10T12:39:22.182+0000] {logging_mixin.py:188} INFO - 2026-09-10 12:39:22,182 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2733.mp3
[2026-09-10T12:39:22.690+0000] {logging_mixin.py:188} INFO - 2026-09-10 12:39:22,690 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2733.mp3
[2026-09-10T12:39:22.941+0000] {logging_mixin.py:188} INFO - 2026-09-10 12:39:22,941 | INFO     | media.image_downloader | Downloaded background image for scene='office' -> /opt/airflow/output/images/long_2733.jpg
[2026-09-10T12:39:26.887+0000] {logging_mixin.py:188} INFO - 2026-09-10 12:39:26,887 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2734.mp3
[2026-09-10T12:39:27.424+0000] {logging_mixin.py:188} INFO - 2026-09-10 12:39:27,423 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2734.mp3
