[2026-09-20T11:28:40.938+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-09-20T11:28:40.999+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_10 manual__2026-09-20T11:03:20.949531+00:00 [queued]>
[2026-09-20T11:28:41.012+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_10 manual__2026-09-20T11:03:20.949531+00:00 [queued]>
[2026-09-20T11:28:41.013+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 3
[2026-09-20T11:28:41.030+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): build_long_video_10> on 2026-09-20 11:03:20.949531+00:00
[2026-09-20T11:28:41.037+0000] {standard_task_runner.py:64} INFO - Started process 62093 to run task
[2026-09-20T11:28:41.042+0000] {standard_task_runner.py:90} INFO - Running: ['airflow', 'tasks', 'run', 'youtube_english_video_pipeline', 'build_long_video_10', 'manual__2026-09-20T11:03:20.949531+00:00', '--job-id', '1360', '--raw', '--subdir', 'DAGS_FOLDER/youtube_pipeline.py', '--cfg-path', '/tmp/tmpa0jwferc']
[2026-09-20T11:28:41.048+0000] {standard_task_runner.py:91} INFO - Job 1360: Subtask build_long_video_10
[2026-09-20T11:28:41.132+0000] {task_command.py:426} INFO - Running <TaskInstance: youtube_english_video_pipeline.build_long_video_10 manual__2026-09-20T11:03:20.949531+00:00 [running]> on host 73b18333cdfe
[2026-09-20T11:28:41.484+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='taky' AIRFLOW_CTX_DAG_ID='youtube_english_video_pipeline' AIRFLOW_CTX_TASK_ID='build_long_video_10' AIRFLOW_CTX_EXECUTION_DATE='2026-09-20T11:03:20.949531+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2026-09-20T11:03:20.949531+00:00'
[2026-09-20T11:28:41.485+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-09-20T11:28:42.362+0000] {logging_mixin.py:188} INFO - 2026-09-20 11:28:42,361 | INFO     | planner.video_planner | Planned LONG video: topic='Small Talk', phrases=20
[2026-09-20T11:28:42.634+0000] {logging_mixin.py:188} INFO - 2026-09-20 11:28:42,633 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3281.mp3
[2026-09-20T11:28:42.948+0000] {logging_mixin.py:188} INFO - 2026-09-20 11:28:42,948 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3281.mp3
[2026-09-20T11:28:43.646+0000] {logging_mixin.py:188} INFO - 2026-09-20 11:28:43,646 | INFO     | media.image_downloader | Downloaded background image for scene='cafe' -> /opt/airflow/output/images/long_3281.jpg
[2026-09-20T11:28:50.288+0000] {logging_mixin.py:188} INFO - 2026-09-20 11:28:50,288 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3285.mp3
[2026-09-20T11:28:50.650+0000] {logging_mixin.py:188} INFO - 2026-09-20 11:28:50,650 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3285.mp3
[2026-09-20T11:28:51.312+0000] {logging_mixin.py:188} INFO - 2026-09-20 11:28:51,312 | INFO     | media.image_downloader | Downloaded background image for scene='cafe' -> /opt/airflow/output/images/long_3285.jpg
[2026-09-20T11:28:57.569+0000] {logging_mixin.py:188} INFO - 2026-09-20 11:28:57,569 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3290.mp3
[2026-09-20T11:28:57.882+0000] {logging_mixin.py:188} INFO - 2026-09-20 11:28:57,882 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3290.mp3
[2026-09-20T11:28:58.329+0000] {logging_mixin.py:188} INFO - 2026-09-20 11:28:58,328 | INFO     | media.image_downloader | Downloaded background image for scene='coffee' -> /opt/airflow/output/images/long_3290.jpg
[2026-09-20T11:29:02.999+0000] {logging_mixin.py:188} INFO - 2026-09-20 11:29:02,999 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3291.mp3
[2026-09-20T11:29:03.219+0000] {logging_mixin.py:188} INFO - 2026-09-20 11:29:03,219 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3291.mp3
