[2026-09-20T11:14:58.163+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-09-20T11:14:58.208+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_5 manual__2026-09-20T11:03:20.949531+00:00 [queued]>
[2026-09-20T11:14:58.220+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_5 manual__2026-09-20T11:03:20.949531+00:00 [queued]>
[2026-09-20T11:14:58.222+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 3
[2026-09-20T11:14:58.235+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): build_long_video_5> on 2026-09-20 11:03:20.949531+00:00
[2026-09-20T11:14:58.242+0000] {standard_task_runner.py:64} INFO - Started process 46834 to run task
[2026-09-20T11:14:58.245+0000] {standard_task_runner.py:90} INFO - Running: ['airflow', 'tasks', 'run', 'youtube_english_video_pipeline', 'build_long_video_5', 'manual__2026-09-20T11:03:20.949531+00:00', '--job-id', '1335', '--raw', '--subdir', 'DAGS_FOLDER/youtube_pipeline.py', '--cfg-path', '/tmp/tmpwbo6o4b1']
[2026-09-20T11:14:58.248+0000] {standard_task_runner.py:91} INFO - Job 1335: Subtask build_long_video_5
[2026-09-20T11:14:58.306+0000] {task_command.py:426} INFO - Running <TaskInstance: youtube_english_video_pipeline.build_long_video_5 manual__2026-09-20T11:03:20.949531+00:00 [running]> on host 73b18333cdfe
[2026-09-20T11:14:58.545+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='taky' AIRFLOW_CTX_DAG_ID='youtube_english_video_pipeline' AIRFLOW_CTX_TASK_ID='build_long_video_5' AIRFLOW_CTX_EXECUTION_DATE='2026-09-20T11:03:20.949531+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2026-09-20T11:03:20.949531+00:00'
[2026-09-20T11:14:58.547+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-09-20T11:14:59.163+0000] {logging_mixin.py:188} INFO - 2026-09-20 11:14:59,163 | INFO     | planner.video_planner | Planned LONG video: topic='Travel English', phrases=20
[2026-09-20T11:14:59.379+0000] {logging_mixin.py:188} INFO - 2026-09-20 11:14:59,378 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3188.mp3
[2026-09-20T11:14:59.681+0000] {logging_mixin.py:188} INFO - 2026-09-20 11:14:59,681 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3188.mp3
[2026-09-20T11:15:00.145+0000] {logging_mixin.py:188} INFO - 2026-09-20 11:15:00,145 | INFO     | media.image_downloader | Downloaded background image for scene='hotel' -> /opt/airflow/output/images/long_3188.jpg
[2026-09-20T11:15:03.949+0000] {logging_mixin.py:188} INFO - 2026-09-20 11:15:03,949 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3230.mp3
[2026-09-20T11:15:04.436+0000] {logging_mixin.py:188} INFO - 2026-09-20 11:15:04,436 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3230.mp3
[2026-09-20T11:15:05.079+0000] {logging_mixin.py:188} INFO - 2026-09-20 11:15:05,079 | INFO     | media.image_downloader | Downloaded background image for scene='taxi' -> /opt/airflow/output/images/long_3230.jpg
[2026-09-20T11:15:10.020+0000] {logging_mixin.py:188} INFO - 2026-09-20 11:15:10,020 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3250.mp3
[2026-09-20T11:15:10.360+0000] {logging_mixin.py:188} INFO - 2026-09-20 11:15:10,360 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3250.mp3
[2026-09-20T11:15:10.795+0000] {logging_mixin.py:188} INFO - 2026-09-20 11:15:10,795 | INFO     | media.image_downloader | Downloaded background image for scene='city' -> /opt/airflow/output/images/long_3250.jpg
[2026-09-20T11:15:16.787+0000] {logging_mixin.py:188} INFO - 2026-09-20 11:15:16,787 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3255.mp3
[2026-09-20T11:15:17.225+0000] {logging_mixin.py:188} INFO - 2026-09-20 11:15:17,224 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3255.mp3
