[2026-09-20T11:17:52.081+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-09-20T11:17:52.116+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_6 manual__2026-09-20T11:03:20.949531+00:00 [queued]>
[2026-09-20T11:17:52.125+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_6 manual__2026-09-20T11:03:20.949531+00:00 [queued]>
[2026-09-20T11:17:52.127+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 3
[2026-09-20T11:17:52.140+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): build_long_video_6> on 2026-09-20 11:03:20.949531+00:00
[2026-09-20T11:17:52.144+0000] {standard_task_runner.py:64} INFO - Started process 50246 to run task
[2026-09-20T11:17:52.148+0000] {standard_task_runner.py:90} INFO - Running: ['airflow', 'tasks', 'run', 'youtube_english_video_pipeline', 'build_long_video_6', 'manual__2026-09-20T11:03:20.949531+00:00', '--job-id', '1340', '--raw', '--subdir', 'DAGS_FOLDER/youtube_pipeline.py', '--cfg-path', '/tmp/tmp03vl3f_d']
[2026-09-20T11:17:52.151+0000] {standard_task_runner.py:91} INFO - Job 1340: Subtask build_long_video_6
[2026-09-20T11:17:52.201+0000] {task_command.py:426} INFO - Running <TaskInstance: youtube_english_video_pipeline.build_long_video_6 manual__2026-09-20T11:03:20.949531+00:00 [running]> on host 73b18333cdfe
[2026-09-20T11:17:52.456+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='taky' AIRFLOW_CTX_DAG_ID='youtube_english_video_pipeline' AIRFLOW_CTX_TASK_ID='build_long_video_6' AIRFLOW_CTX_EXECUTION_DATE='2026-09-20T11:03:20.949531+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2026-09-20T11:03:20.949531+00:00'
[2026-09-20T11:17:52.457+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-09-20T11:17:53.062+0000] {logging_mixin.py:188} INFO - 2026-09-20 11:17:53,061 | INFO     | planner.video_planner | Planned LONG video: topic='Shopping English', phrases=18
[2026-09-20T11:17:53.353+0000] {logging_mixin.py:188} INFO - 2026-09-20 11:17:53,353 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3184.mp3
[2026-09-20T11:17:53.688+0000] {logging_mixin.py:188} INFO - 2026-09-20 11:17:53,688 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3184.mp3
[2026-09-20T11:17:54.312+0000] {logging_mixin.py:188} INFO - 2026-09-20 11:17:54,311 | INFO     | media.image_downloader | Downloaded background image for scene='clothing store' -> /opt/airflow/output/images/long_3184.jpg
[2026-09-20T11:17:57.963+0000] {logging_mixin.py:188} INFO - 2026-09-20 11:17:57,963 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3252.mp3
[2026-09-20T11:17:58.268+0000] {logging_mixin.py:188} INFO - 2026-09-20 11:17:58,267 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3252.mp3
[2026-09-20T11:17:59.136+0000] {logging_mixin.py:188} INFO - 2026-09-20 11:17:59,136 | INFO     | media.image_downloader | Downloaded background image for scene='shopping' -> /opt/airflow/output/images/long_3252.jpg
[2026-09-20T11:18:03.886+0000] {logging_mixin.py:188} INFO - 2026-09-20 11:18:03,886 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3253.mp3
[2026-09-20T11:18:04.264+0000] {logging_mixin.py:188} INFO - 2026-09-20 11:18:04,264 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3253.mp3
[2026-09-20T11:18:04.937+0000] {logging_mixin.py:188} INFO - 2026-09-20 11:18:04,937 | INFO     | media.image_downloader | Downloaded background image for scene='shopping' -> /opt/airflow/output/images/long_3253.jpg
[2026-09-20T11:18:09.147+0000] {logging_mixin.py:188} INFO - 2026-09-20 11:18:09,147 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3260.mp3
[2026-09-20T11:18:09.551+0000] {logging_mixin.py:188} INFO - 2026-09-20 11:18:09,551 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3260.mp3
