[2026-09-20T11:24:59.692+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-09-20T11:24:59.739+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_9 manual__2026-09-20T11:03:20.949531+00:00 [queued]>
[2026-09-20T11:24:59.752+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_9 manual__2026-09-20T11:03:20.949531+00:00 [queued]>
[2026-09-20T11:24:59.753+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 3
[2026-09-20T11:24:59.773+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): build_long_video_9> on 2026-09-20 11:03:20.949531+00:00
[2026-09-20T11:24:59.779+0000] {standard_task_runner.py:64} INFO - Started process 58647 to run task
[2026-09-20T11:24:59.784+0000] {standard_task_runner.py:90} INFO - Running: ['airflow', 'tasks', 'run', 'youtube_english_video_pipeline', 'build_long_video_9', 'manual__2026-09-20T11:03:20.949531+00:00', '--job-id', '1355', '--raw', '--subdir', 'DAGS_FOLDER/youtube_pipeline.py', '--cfg-path', '/tmp/tmph4bt9ze1']
[2026-09-20T11:24:59.789+0000] {standard_task_runner.py:91} INFO - Job 1355: Subtask build_long_video_9
[2026-09-20T11:24:59.860+0000] {task_command.py:426} INFO - Running <TaskInstance: youtube_english_video_pipeline.build_long_video_9 manual__2026-09-20T11:03:20.949531+00:00 [running]> on host 73b18333cdfe
[2026-09-20T11:25:00.157+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='taky' AIRFLOW_CTX_DAG_ID='youtube_english_video_pipeline' AIRFLOW_CTX_TASK_ID='build_long_video_9' AIRFLOW_CTX_EXECUTION_DATE='2026-09-20T11:03:20.949531+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2026-09-20T11:03:20.949531+00:00'
[2026-09-20T11:25:00.159+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-09-20T11:25:01.215+0000] {logging_mixin.py:188} INFO - 2026-09-20 11:25:01,215 | INFO     | planner.video_planner | Only 14 phrases for topic='Small Talk', topping up without topic filter
[2026-09-20T11:25:01.227+0000] {logging_mixin.py:188} INFO - 2026-09-20 11:25:01,227 | INFO     | planner.video_planner | Planned LONG video: topic='Mixed English Expressions', phrases=20
[2026-09-20T11:25:01.588+0000] {logging_mixin.py:188} INFO - 2026-09-20 11:25:01,588 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3099.mp3
[2026-09-20T11:25:02.027+0000] {logging_mixin.py:188} INFO - 2026-09-20 11:25:02,027 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3099.mp3
[2026-09-20T11:25:02.607+0000] {logging_mixin.py:188} INFO - 2026-09-20 11:25:02,607 | INFO     | media.image_downloader | Downloaded background image for scene='hotel' -> /opt/airflow/output/images/long_3099.jpg
[2026-09-20T11:25:07.309+0000] {logging_mixin.py:188} INFO - 2026-09-20 11:25:07,308 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3087.mp3
[2026-09-20T11:25:07.694+0000] {logging_mixin.py:188} INFO - 2026-09-20 11:25:07,694 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3087.mp3
[2026-09-20T11:25:08.161+0000] {logging_mixin.py:188} INFO - 2026-09-20 11:25:08,161 | INFO     | media.image_downloader | Downloaded background image for scene='hotel' -> /opt/airflow/output/images/long_3087.jpg
[2026-09-20T11:25:12.584+0000] {logging_mixin.py:188} INFO - 2026-09-20 11:25:12,584 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3092.mp3
[2026-09-20T11:25:12.973+0000] {logging_mixin.py:188} INFO - 2026-09-20 11:25:12,973 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3092.mp3
[2026-09-20T11:25:13.485+0000] {logging_mixin.py:188} INFO - 2026-09-20 11:25:13,484 | INFO     | media.image_downloader | Downloaded background image for scene='classroom' -> /opt/airflow/output/images/long_3092.jpg
[2026-09-20T11:25:18.559+0000] {logging_mixin.py:188} INFO - 2026-09-20 11:25:18,559 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3080.mp3
[2026-09-20T11:25:18.973+0000] {logging_mixin.py:188} INFO - 2026-09-20 11:25:18,973 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3080.mp3
[2026-09-20T11:25:19.419+0000] {logging_mixin.py:188} INFO - 2026-09-20 11:25:19,419 | INFO     | media.image_downloader | Downloaded background image for scene='shopping' -> /opt/airflow/output/images/long_3080.jpg
[2026-09-20T11:25:24.707+0000] {logging_mixin.py:188} INFO - 2026-09-20 11:25:24,707 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3170.mp3
[2026-09-20T11:25:25.079+0000] {logging_mixin.py:188} INFO - 2026-09-20 11:25:25,079 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3170.mp3
[2026-09-20T11:25:25.567+0000] {logging_mixin.py:188} INFO - 2026-09-20 11:25:25,567 | INFO     | media.image_downloader | Downloaded background image for scene='office' -> /opt/airflow/output/images/long_3170.jpg
[2026-09-20T11:25:30.684+0000] {logging_mixin.py:188} INFO - 2026-09-20 11:25:30,684 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3213.mp3
[2026-09-20T11:25:31.083+0000] {logging_mixin.py:188} INFO - 2026-09-20 11:25:31,082 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3213.mp3
[2026-09-20T11:25:31.662+0000] {logging_mixin.py:188} INFO - 2026-09-20 11:25:31,662 | INFO     | media.image_downloader | Downloaded background image for scene='hotel' -> /opt/airflow/output/images/long_3213.jpg
[2026-09-20T11:25:36.382+0000] {logging_mixin.py:188} INFO - 2026-09-20 11:25:36,382 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3210.mp3
[2026-09-20T11:25:36.738+0000] {logging_mixin.py:188} INFO - 2026-09-20 11:25:36,738 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3210.mp3
[2026-09-20T11:25:37.290+0000] {logging_mixin.py:188} INFO - 2026-09-20 11:25:37,289 | INFO     | media.image_downloader | Downloaded background image for scene='hotel' -> /opt/airflow/output/images/long_3210.jpg
[2026-09-20T11:25:42.160+0000] {logging_mixin.py:188} INFO - 2026-09-20 11:25:42,160 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3227.mp3
[2026-09-20T11:25:42.496+0000] {logging_mixin.py:188} INFO - 2026-09-20 11:25:42,496 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3227.mp3
[2026-09-20T11:25:42.968+0000] {logging_mixin.py:188} INFO - 2026-09-20 11:25:42,968 | INFO     | media.image_downloader | Downloaded background image for scene='hotel' -> /opt/airflow/output/images/long_3227.jpg
[2026-09-20T11:25:47.137+0000] {logging_mixin.py:188} INFO - 2026-09-20 11:25:47,136 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3169.mp3
[2026-09-20T11:25:47.454+0000] {logging_mixin.py:188} INFO - 2026-09-20 11:25:47,454 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3169.mp3
[2026-09-20T11:25:48.005+0000] {logging_mixin.py:188} INFO - 2026-09-20 11:25:48,004 | INFO     | media.image_downloader | Downloaded background image for scene='commute' -> /opt/airflow/output/images/long_3169.jpg
[2026-09-20T11:25:52.506+0000] {logging_mixin.py:188} INFO - 2026-09-20 11:25:52,506 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3179.mp3
[2026-09-20T11:25:52.874+0000] {logging_mixin.py:188} INFO - 2026-09-20 11:25:52,874 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3179.mp3
[2026-09-20T11:25:53.326+0000] {logging_mixin.py:188} INFO - 2026-09-20 11:25:53,326 | INFO     | media.image_downloader | Downloaded background image for scene='city' -> /opt/airflow/output/images/long_3179.jpg
