[2026-09-21T01:01:24.579+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-09-21T01:01:24.631+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_1 manual__2026-09-21T01:00:56.686308+00:00 [queued]>
[2026-09-21T01:01:24.641+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_1 manual__2026-09-21T01:00:56.686308+00:00 [queued]>
[2026-09-21T01:01:24.642+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 3
[2026-09-21T01:01:24.657+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): build_long_video_1> on 2026-09-21 01:00:56.686308+00:00
[2026-09-21T01:01:24.666+0000] {standard_task_runner.py:64} INFO - Started process 427 to run task
[2026-09-21T01:01:24.670+0000] {standard_task_runner.py:90} INFO - Running: ['airflow', 'tasks', 'run', 'youtube_english_video_pipeline', 'build_long_video_1', 'manual__2026-09-21T01:00:56.686308+00:00', '--job-id', '1415', '--raw', '--subdir', 'DAGS_FOLDER/youtube_pipeline.py', '--cfg-path', '/tmp/tmp1ryjj4mc']
[2026-09-21T01:01:24.672+0000] {standard_task_runner.py:91} INFO - Job 1415: Subtask build_long_video_1
[2026-09-21T01:01:24.733+0000] {task_command.py:426} INFO - Running <TaskInstance: youtube_english_video_pipeline.build_long_video_1 manual__2026-09-21T01:00:56.686308+00:00 [running]> on host 73b18333cdfe
[2026-09-21T01:01:24.969+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='taky' AIRFLOW_CTX_DAG_ID='youtube_english_video_pipeline' AIRFLOW_CTX_TASK_ID='build_long_video_1' AIRFLOW_CTX_EXECUTION_DATE='2026-09-21T01:00:56.686308+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2026-09-21T01:00:56.686308+00:00'
[2026-09-21T01:01:24.971+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-09-21T01:01:26.071+0000] {logging_mixin.py:188} INFO - 2026-09-21 01:01:26,071 | INFO     | planner.video_planner | Planned LONG video: topic='Business English', phrases=20
[2026-09-21T01:01:26.327+0000] {logging_mixin.py:188} INFO - 2026-09-21 01:01:26,326 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3506.mp3
[2026-09-21T01:01:26.558+0000] {logging_mixin.py:188} INFO - 2026-09-21 01:01:26,558 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3506.mp3
[2026-09-21T01:01:27.292+0000] {logging_mixin.py:188} INFO - 2026-09-21 01:01:27,292 | INFO     | media.image_downloader | Downloaded background image for scene='office' -> /opt/airflow/output/images/long_3506.jpg
[2026-09-21T01:01:31.729+0000] {logging_mixin.py:188} INFO - 2026-09-21 01:01:31,729 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3510.mp3
[2026-09-21T01:01:32.123+0000] {logging_mixin.py:188} INFO - 2026-09-21 01:01:32,123 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3510.mp3
[2026-09-21T01:01:32.633+0000] {logging_mixin.py:188} INFO - 2026-09-21 01:01:32,633 | INFO     | media.image_downloader | Downloaded background image for scene='commute' -> /opt/airflow/output/images/long_3510.jpg
[2026-09-21T01:01:37.353+0000] {logging_mixin.py:188} INFO - 2026-09-21 01:01:37,353 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3518.mp3
[2026-09-21T01:01:37.689+0000] {logging_mixin.py:188} INFO - 2026-09-21 01:01:37,689 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3518.mp3
[2026-09-21T01:01:38.587+0000] {logging_mixin.py:188} INFO - 2026-09-21 01:01:38,587 | INFO     | media.image_downloader | Downloaded background image for scene='phone' -> /opt/airflow/output/images/long_3518.jpg
[2026-09-21T01:01:42.588+0000] {logging_mixin.py:188} INFO - 2026-09-21 01:01:42,588 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3536.mp3
[2026-09-21T01:01:43.143+0000] {logging_mixin.py:188} INFO - 2026-09-21 01:01:43,143 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3536.mp3
[2026-09-21T01:01:43.789+0000] {logging_mixin.py:188} INFO - 2026-09-21 01:01:43,789 | INFO     | media.image_downloader | Downloaded background image for scene='airport' -> /opt/airflow/output/images/long_3536.jpg
[2026-09-21T01:01:48.460+0000] {logging_mixin.py:188} INFO - 2026-09-21 01:01:48,460 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3541.mp3
[2026-09-21T01:01:48.828+0000] {logging_mixin.py:188} INFO - 2026-09-21 01:01:48,828 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3541.mp3
[2026-09-21T01:01:49.400+0000] {logging_mixin.py:188} INFO - 2026-09-21 01:01:49,399 | INFO     | media.image_downloader | Downloaded background image for scene='office' -> /opt/airflow/output/images/long_3541.jpg
[2026-09-21T01:01:53.385+0000] {logging_mixin.py:188} INFO - 2026-09-21 01:01:53,385 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3545.mp3
[2026-09-21T01:01:53.781+0000] {logging_mixin.py:188} INFO - 2026-09-21 01:01:53,781 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3545.mp3
