[2026-09-21T01:04:15.171+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-09-21T01:04:15.218+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_2 manual__2026-09-21T01:00:56.686308+00:00 [queued]>
[2026-09-21T01:04:15.227+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_2 manual__2026-09-21T01:00:56.686308+00:00 [queued]>
[2026-09-21T01:04:15.229+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 3
[2026-09-21T01:04:15.242+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): build_long_video_2> on 2026-09-21 01:00:56.686308+00:00
[2026-09-21T01:04:15.248+0000] {standard_task_runner.py:64} INFO - Started process 3832 to run task
[2026-09-21T01:04:15.251+0000] {standard_task_runner.py:90} INFO - Running: ['airflow', 'tasks', 'run', 'youtube_english_video_pipeline', 'build_long_video_2', 'manual__2026-09-21T01:00:56.686308+00:00', '--job-id', '1420', '--raw', '--subdir', 'DAGS_FOLDER/youtube_pipeline.py', '--cfg-path', '/tmp/tmp83umqbg_']
[2026-09-21T01:04:15.254+0000] {standard_task_runner.py:91} INFO - Job 1420: Subtask build_long_video_2
[2026-09-21T01:04:15.313+0000] {task_command.py:426} INFO - Running <TaskInstance: youtube_english_video_pipeline.build_long_video_2 manual__2026-09-21T01:00:56.686308+00:00 [running]> on host 73b18333cdfe
[2026-09-21T01:04:15.583+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='taky' AIRFLOW_CTX_DAG_ID='youtube_english_video_pipeline' AIRFLOW_CTX_TASK_ID='build_long_video_2' AIRFLOW_CTX_EXECUTION_DATE='2026-09-21T01:00:56.686308+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2026-09-21T01:00:56.686308+00:00'
[2026-09-21T01:04:15.586+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-09-21T01:04:17.370+0000] {logging_mixin.py:188} INFO - 2026-09-21 01:04:17,370 | INFO     | planner.video_planner | Planned LONG video: topic='Small Talk', phrases=20
[2026-09-21T01:04:17.672+0000] {logging_mixin.py:188} INFO - 2026-09-21 01:04:17,672 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3549.mp3
[2026-09-21T01:04:17.956+0000] {logging_mixin.py:188} INFO - 2026-09-21 01:04:17,956 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3549.mp3
[2026-09-21T01:04:18.736+0000] {logging_mixin.py:188} INFO - 2026-09-21 01:04:18,736 | INFO     | media.image_downloader | Downloaded background image for scene='greeting' -> /opt/airflow/output/images/long_3549.jpg
[2026-09-21T01:04:22.392+0000] {logging_mixin.py:188} INFO - 2026-09-21 01:04:22,392 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3559.mp3
[2026-09-21T01:04:22.692+0000] {logging_mixin.py:188} INFO - 2026-09-21 01:04:22,692 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3559.mp3
[2026-09-21T01:04:23.236+0000] {logging_mixin.py:188} INFO - 2026-09-21 01:04:23,236 | INFO     | media.image_downloader | Downloaded background image for scene='meeting' -> /opt/airflow/output/images/long_3559.jpg
[2026-09-21T01:04:27.353+0000] {logging_mixin.py:188} INFO - 2026-09-21 01:04:27,353 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3567.mp3
[2026-09-21T01:04:27.672+0000] {logging_mixin.py:188} INFO - 2026-09-21 01:04:27,672 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3567.mp3
[2026-09-21T01:04:28.408+0000] {logging_mixin.py:188} INFO - 2026-09-21 01:04:28,408 | INFO     | media.image_downloader | Downloaded background image for scene='forecast' -> /opt/airflow/output/images/long_3567.jpg
[2026-09-21T01:04:32.542+0000] {logging_mixin.py:188} INFO - 2026-09-21 01:04:32,542 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3571.mp3
[2026-09-21T01:04:32.831+0000] {logging_mixin.py:188} INFO - 2026-09-21 01:04:32,831 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3571.mp3
