[2026-09-21T01:07:00.659+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-09-21T01:07:00.692+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_3 manual__2026-09-21T01:00:56.686308+00:00 [queued]>
[2026-09-21T01:07:00.700+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_3 manual__2026-09-21T01:00:56.686308+00:00 [queued]>
[2026-09-21T01:07:00.701+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 3
[2026-09-21T01:07:00.713+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): build_long_video_3> on 2026-09-21 01:00:56.686308+00:00
[2026-09-21T01:07:00.719+0000] {standard_task_runner.py:64} INFO - Started process 7242 to run task
[2026-09-21T01:07:00.722+0000] {standard_task_runner.py:90} INFO - Running: ['airflow', 'tasks', 'run', 'youtube_english_video_pipeline', 'build_long_video_3', 'manual__2026-09-21T01:00:56.686308+00:00', '--job-id', '1425', '--raw', '--subdir', 'DAGS_FOLDER/youtube_pipeline.py', '--cfg-path', '/tmp/tmppp_duodf']
[2026-09-21T01:07:00.725+0000] {standard_task_runner.py:91} INFO - Job 1425: Subtask build_long_video_3
[2026-09-21T01:07:00.779+0000] {task_command.py:426} INFO - Running <TaskInstance: youtube_english_video_pipeline.build_long_video_3 manual__2026-09-21T01:00:56.686308+00:00 [running]> on host 73b18333cdfe
[2026-09-21T01:07:01.038+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='taky' AIRFLOW_CTX_DAG_ID='youtube_english_video_pipeline' AIRFLOW_CTX_TASK_ID='build_long_video_3' AIRFLOW_CTX_EXECUTION_DATE='2026-09-21T01:00:56.686308+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2026-09-21T01:00:56.686308+00:00'
[2026-09-21T01:07:01.039+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-09-21T01:07:01.631+0000] {logging_mixin.py:188} INFO - 2026-09-21 01:07:01,631 | INFO     | planner.video_planner | Planned LONG video: topic='Shopping English', phrases=18
[2026-09-21T01:07:01.871+0000] {logging_mixin.py:188} INFO - 2026-09-21 01:07:01,870 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3502.mp3
[2026-09-21T01:07:02.216+0000] {logging_mixin.py:188} INFO - 2026-09-21 01:07:02,216 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3502.mp3
[2026-09-21T01:07:02.906+0000] {logging_mixin.py:188} INFO - 2026-09-21 01:07:02,906 | INFO     | media.image_downloader | Downloaded background image for scene='shopping' -> /opt/airflow/output/images/long_3502.jpg
[2026-09-21T01:07:08.022+0000] {logging_mixin.py:188} INFO - 2026-09-21 01:07:08,022 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3503.mp3
[2026-09-21T01:07:08.594+0000] {logging_mixin.py:188} INFO - 2026-09-21 01:07:08,593 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3503.mp3
[2026-09-21T01:07:09.091+0000] {logging_mixin.py:188} INFO - 2026-09-21 01:07:09,091 | INFO     | media.image_downloader | Downloaded background image for scene='store' -> /opt/airflow/output/images/long_3503.jpg
[2026-09-21T01:07:13.210+0000] {logging_mixin.py:188} INFO - 2026-09-21 01:07:13,210 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3552.mp3
[2026-09-21T01:07:13.544+0000] {logging_mixin.py:188} INFO - 2026-09-21 01:07:13,544 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3552.mp3
[2026-09-21T01:07:14.035+0000] {logging_mixin.py:188} INFO - 2026-09-21 01:07:14,035 | INFO     | media.image_downloader | Downloaded background image for scene='shopping' -> /opt/airflow/output/images/long_3552.jpg
[2026-09-21T01:07:19.572+0000] {logging_mixin.py:188} INFO - 2026-09-21 01:07:19,572 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3553.mp3
[2026-09-21T01:07:19.812+0000] {logging_mixin.py:188} INFO - 2026-09-21 01:07:19,812 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3553.mp3
[2026-09-21T01:07:20.247+0000] {logging_mixin.py:188} INFO - 2026-09-21 01:07:20,247 | INFO     | media.image_downloader | Downloaded background image for scene='store' -> /opt/airflow/output/images/long_3553.jpg
[2026-09-21T01:07:24.960+0000] {logging_mixin.py:188} INFO - 2026-09-21 01:07:24,960 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3561.mp3
[2026-09-21T01:07:25.349+0000] {logging_mixin.py:188} INFO - 2026-09-21 01:07:25,349 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3561.mp3
[2026-09-21T01:07:25.865+0000] {logging_mixin.py:188} INFO - 2026-09-21 01:07:25,864 | INFO     | media.image_downloader | Downloaded background image for scene='checkout' -> /opt/airflow/output/images/long_3561.jpg
[2026-09-21T01:07:29.931+0000] {logging_mixin.py:188} INFO - 2026-09-21 01:07:29,931 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3575.mp3
[2026-09-21T01:07:30.232+0000] {logging_mixin.py:188} INFO - 2026-09-21 01:07:30,231 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3575.mp3
[2026-09-21T01:07:30.659+0000] {logging_mixin.py:188} INFO - 2026-09-21 01:07:30,659 | INFO     | media.image_downloader | Downloaded background image for scene='shopping' -> /opt/airflow/output/images/long_3575.jpg
[2026-09-21T01:07:36.008+0000] {logging_mixin.py:188} INFO - 2026-09-21 01:07:36,007 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3581.mp3
[2026-09-21T01:07:36.422+0000] {logging_mixin.py:188} INFO - 2026-09-21 01:07:36,421 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3581.mp3
[2026-09-21T01:07:37.113+0000] {logging_mixin.py:188} INFO - 2026-09-21 01:07:37,113 | INFO     | media.image_downloader | Downloaded background image for scene='clothing store' -> /opt/airflow/output/images/long_3581.jpg
[2026-09-21T01:07:41.836+0000] {logging_mixin.py:188} INFO - 2026-09-21 01:07:41,836 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3589.mp3
