[2026-07-22T12:00:04.950+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-07-22T12:00:04.976+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video scheduled__2026-07-21T12:00:00+00:00 [queued]>
[2026-07-22T12:00:04.981+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video scheduled__2026-07-21T12:00:00+00:00 [queued]>
[2026-07-22T12:00:04.982+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 3
[2026-07-22T12:00:04.991+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): build_long_video> on 2026-07-21 12:00:00+00:00
[2026-07-22T12:00:04.996+0000] {standard_task_runner.py:64} INFO - Started process 5252 to run task
[2026-07-22T12:00:04.998+0000] {standard_task_runner.py:90} INFO - Running: ['airflow', 'tasks', 'run', 'youtube_english_video_pipeline', 'build_long_video', 'scheduled__2026-07-21T12:00:00+00:00', '--job-id', '35', '--raw', '--subdir', 'DAGS_FOLDER/youtube_pipeline.py', '--cfg-path', '/tmp/tmpqm29usoq']
[2026-07-22T12:00:05.005+0000] {standard_task_runner.py:91} INFO - Job 35: Subtask build_long_video
[2026-07-22T12:00:05.069+0000] {task_command.py:426} INFO - Running <TaskInstance: youtube_english_video_pipeline.build_long_video scheduled__2026-07-21T12:00:00+00:00 [running]> on host 38df6585cc26
[2026-07-22T12:00:05.231+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='taky' AIRFLOW_CTX_DAG_ID='youtube_english_video_pipeline' AIRFLOW_CTX_TASK_ID='build_long_video' AIRFLOW_CTX_EXECUTION_DATE='2026-07-21T12:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-07-21T12:00:00+00:00'
[2026-07-22T12:00:05.233+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-07-22T12:00:05.677+0000] {logging_mixin.py:188} INFO - 2026-07-22 12:00:05,676 | INFO     | planner.video_planner | Only 13 phrases for topic='Shopping English', topping up without topic filter
[2026-07-22T12:00:05.682+0000] {logging_mixin.py:188} INFO - 2026-07-22 12:00:05,682 | INFO     | planner.video_planner | Planned LONG video: topic='Mixed English Expressions', phrases=20
[2026-07-22T12:00:05.999+0000] {logging_mixin.py:188} INFO - 2026-07-22 12:00:05,999 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_9.mp3
[2026-07-22T12:00:06.779+0000] {logging_mixin.py:188} INFO - 2026-07-22 12:00:06,779 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_9.mp3
[2026-07-22T12:00:07.409+0000] {logging_mixin.py:188} INFO - 2026-07-22 12:00:07,409 | INFO     | media.image_downloader | Downloaded background image for scene='office' -> /opt/airflow/output/images/long_9.jpg
[2026-07-22T12:00:07.411+0000] {logging_mixin.py:188} INFO - 2026-07-22 12:00:07,410 | INFO     | video.video_builder | Running ffmpeg: ffmpeg -y -i /opt/airflow/output/audio/phrase_9.mp3 -i /opt/airflow/output/audio/example_9.mp3 -filter_complex [0:a]apad=pad_dur=0.4[a0];[a0][1:a]concat=n=2:v=0:a=1[aout] -map [aout] /opt/airflow/output/videos/_tmp/long_9_raw.audio.mp3
[2026-07-22T12:00:07.497+0000] {logging_mixin.py:188} INFO - 2026-07-22 12:00:07,497 | INFO     | video.video_builder | Running ffmpeg: ffmpeg -y -loop 1 -i /opt/airflow/output/images/long_9.jpg -i /opt/airflow/output/videos/_tmp/long_9_raw.audio.mp3 -vf scale=1920:1080:force_original_aspect_ratio=increase,crop=1920:1080,drawtext=fontfile='/opt/airflow/assets/fonts/NotoSansJP-Bold.ttf':text='Let’s circle back on that.':fontcolor=FFFFFF:fontsize=56:x=(w-text_w)/2:y=(h*0.35):box=1:boxcolor=black@0.45:boxborderw=20,drawtext=fontfile='/opt/airflow/assets/fonts/NotoSansJP-Bold.ttf':text='Let’s circle back on that once we get more data.':fontcolor=FFD54A:fontsize=33:x=(w-text_w)/2:y=(h*0.55):box=1:boxcolor=black@0.45:boxborderw=16 -c:v libx264 -tune stillimage -pix_fmt yuv420p -c:a aac -b:a 192k -shortest -r 30 /opt/airflow/output/videos/_tmp/long_9_raw.mp4
[2026-07-22T12:00:15.922+0000] {logging_mixin.py:188} INFO - 2026-07-22 12:00:15,911 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_4.mp3
[2026-07-22T12:00:16.451+0000] {logging_mixin.py:188} INFO - 2026-07-22 12:00:16,451 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_4.mp3
[2026-07-22T12:00:16.856+0000] {logging_mixin.py:188} INFO - 2026-07-22 12:00:16,856 | INFO     | media.image_downloader | Downloaded background image for scene='office' -> /opt/airflow/output/images/long_4.jpg
[2026-07-22T12:00:16.861+0000] {logging_mixin.py:188} INFO - 2026-07-22 12:00:16,861 | INFO     | video.video_builder | Running ffmpeg: ffmpeg -y -i /opt/airflow/output/audio/phrase_4.mp3 -i /opt/airflow/output/audio/example_4.mp3 -filter_complex [0:a]apad=pad_dur=0.4[a0];[a0][1:a]concat=n=2:v=0:a=1[aout] -map [aout] /opt/airflow/output/videos/_tmp/long_4_raw.audio.mp3
[2026-07-22T12:00:16.971+0000] {logging_mixin.py:188} INFO - 2026-07-22 12:00:16,971 | INFO     | video.video_builder | Running ffmpeg: ffmpeg -y -loop 1 -i /opt/airflow/output/images/long_4.jpg -i /opt/airflow/output/videos/_tmp/long_4_raw.audio.mp3 -vf scale=1920:1080:force_original_aspect_ratio=increase,crop=1920:1080,drawtext=fontfile='/opt/airflow/assets/fonts/NotoSansJP-Bold.ttf':text='Let’s touch base tomorrow.':fontcolor=FFFFFF:fontsize=56:x=(w-text_w)/2:y=(h*0.35):box=1:boxcolor=black@0.45:boxborderw=20,drawtext=fontfile='/opt/airflow/assets/fonts/NotoSansJP-Bold.ttf':text='Let’s touch base tomorrow morning about the project.':fontcolor=FFD54A:fontsize=33:x=(w-text_w)/2:y=(h*0.55):box=1:boxcolor=black@0.45:boxborderw=16 -c:v libx264 -tune stillimage -pix_fmt yuv420p -c:a aac -b:a 192k -shortest -r 30 /opt/airflow/output/videos/_tmp/long_4_raw.mp4
[2026-07-22T12:00:20.537+0000] {logging_mixin.py:188} INFO - 2026-07-22 12:00:20,536 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2.mp3
[2026-07-22T12:00:20.948+0000] {logging_mixin.py:188} INFO - 2026-07-22 12:00:20,948 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2.mp3
