[2026-07-23T12:23:20.865+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-07-23T12:23:20.893+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video scheduled__2026-07-22T12:00:00+00:00 [queued]>
[2026-07-23T12:23:20.902+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video scheduled__2026-07-22T12:00:00+00:00 [queued]>
[2026-07-23T12:23:20.903+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 3
[2026-07-23T12:23:20.912+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): build_long_video> on 2026-07-22 12:00:00+00:00
[2026-07-23T12:23:20.916+0000] {standard_task_runner.py:64} INFO - Started process 245 to run task
[2026-07-23T12:23:20.928+0000] {standard_task_runner.py:90} INFO - Running: ['airflow', 'tasks', 'run', 'youtube_english_video_pipeline', 'build_long_video', 'scheduled__2026-07-22T12:00:00+00:00', '--job-id', '61', '--raw', '--subdir', 'DAGS_FOLDER/youtube_pipeline.py', '--cfg-path', '/tmp/tmp2a4w4f77']
[2026-07-23T12:23:20.935+0000] {standard_task_runner.py:91} INFO - Job 61: Subtask build_long_video
[2026-07-23T12:23:20.991+0000] {task_command.py:426} INFO - Running <TaskInstance: youtube_english_video_pipeline.build_long_video scheduled__2026-07-22T12:00:00+00:00 [running]> on host 78117f1d7858
[2026-07-23T12:23:21.457+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='taky' AIRFLOW_CTX_DAG_ID='youtube_english_video_pipeline' AIRFLOW_CTX_TASK_ID='build_long_video' AIRFLOW_CTX_EXECUTION_DATE='2026-07-22T12:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-07-22T12:00:00+00:00'
[2026-07-23T12:23:21.458+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-07-23T12:23:22.264+0000] {logging_mixin.py:188} INFO - 2026-07-23 12:23:22,264 | INFO     | planner.video_planner | Planned LONG video: topic='Shopping English', phrases=20
[2026-07-23T12:23:22.966+0000] {logging_mixin.py:188} INFO - 2026-07-23 12:23:22,966 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_57.mp3
[2026-07-23T12:23:23.574+0000] {logging_mixin.py:188} INFO - 2026-07-23 12:23:23,574 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_57.mp3
[2026-07-23T12:23:25.460+0000] {logging_mixin.py:188} INFO - 2026-07-23 12:23:25,460 | INFO     | media.image_downloader | Downloaded background image for scene='supermarket' -> /opt/airflow/output/images/long_57.jpg
[2026-07-23T12:23:25.461+0000] {logging_mixin.py:188} INFO - 2026-07-23 12:23:25,461 | INFO     | video.video_builder | Running ffmpeg: ffmpeg -y -i /opt/airflow/output/audio/phrase_57.mp3 -i /opt/airflow/output/audio/example_57.mp3 -filter_complex [0:a]apad=pad_dur=0.4[a0];[a0][1:a]concat=n=2:v=0:a=1[aout] -map [aout] /opt/airflow/output/videos/_tmp/long_57_raw.audio.mp3
[2026-07-23T12:23:26.083+0000] {logging_mixin.py:188} INFO - 2026-07-23 12:23:26,083 | INFO     | video.video_builder | Running ffmpeg: ffmpeg -y -loop 1 -i /opt/airflow/output/images/long_57.jpg -i /opt/airflow/output/videos/_tmp/long_57_raw.audio.mp3 -vf scale=1920:1080:force_original_aspect_ratio=increase,crop=1920:1080,drawtext=fontfile='/opt/airflow/assets/fonts/NotoSansJP-Bold.ttf':text='Where can I find...':fontcolor=FFFFFF:fontsize=56:x=(w-text_w)/2:y=(h*0.35):box=1:boxcolor=black@0.45:boxborderw=20,drawtext=fontfile='/opt/airflow/assets/fonts/NotoSansJP-Bold.ttf':text='Excuse me, where can I find the olive oil?':fontcolor=FFD54A:fontsize=33:x=(w-text_w)/2:y=(h*0.55):box=1:boxcolor=black@0.45:boxborderw=16 -c:v libx264 -tune stillimage -pix_fmt yuv420p -c:a aac -b:a 192k -shortest -r 30 /opt/airflow/output/videos/_tmp/long_57_raw.mp4
[2026-07-23T12:23:40.830+0000] {logging_mixin.py:188} INFO - 2026-07-23 12:23:40,830 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_63.mp3
[2026-07-23T12:23:41.885+0000] {logging_mixin.py:188} INFO - 2026-07-23 12:23:41,884 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_63.mp3
[2026-07-23T12:23:42.999+0000] {logging_mixin.py:188} INFO - 2026-07-23 12:23:42,998 | INFO     | media.image_downloader | Downloaded background image for scene='clothing' -> /opt/airflow/output/images/long_63.jpg
[2026-07-23T12:23:43.001+0000] {logging_mixin.py:188} INFO - 2026-07-23 12:23:43,001 | INFO     | video.video_builder | Running ffmpeg: ffmpeg -y -i /opt/airflow/output/audio/phrase_63.mp3 -i /opt/airflow/output/audio/example_63.mp3 -filter_complex [0:a]apad=pad_dur=0.4[a0];[a0][1:a]concat=n=2:v=0:a=1[aout] -map [aout] /opt/airflow/output/videos/_tmp/long_63_raw.audio.mp3
[2026-07-23T12:23:43.262+0000] {logging_mixin.py:188} INFO - 2026-07-23 12:23:43,262 | INFO     | video.video_builder | Running ffmpeg: ffmpeg -y -loop 1 -i /opt/airflow/output/images/long_63.jpg -i /opt/airflow/output/videos/_tmp/long_63_raw.audio.mp3 -vf scale=1920:1080:force_original_aspect_ratio=increase,crop=1920:1080,drawtext=fontfile='/opt/airflow/assets/fonts/NotoSansJP-Bold.ttf':text='Do you have this in a medium?':fontcolor=FFFFFF:fontsize=56:x=(w-text_w)/2:y=(h*0.35):box=1:boxcolor=black@0.45:boxborderw=20,drawtext=fontfile='/opt/airflow/assets/fonts/NotoSansJP-Bold.ttf':text='This jacket looks great, but it’s too small. Do you have this in a medium?':fontcolor=FFD54A:fontsize=33:x=(w-text_w)/2:y=(h*0.55):box=1:boxcolor=black@0.45:boxborderw=16 -c:v libx264 -tune stillimage -pix_fmt yuv420p -c:a aac -b:a 192k -shortest -r 30 /opt/airflow/output/videos/_tmp/long_63_raw.mp4
[2026-07-23T12:23:47.661+0000] {logging_mixin.py:188} INFO - 2026-07-23 12:23:47,661 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_69.mp3
[2026-07-23T12:23:48.120+0000] {logging_mixin.py:188} INFO - 2026-07-23 12:23:48,119 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_69.mp3
[2026-07-23T12:23:48.708+0000] {logging_mixin.py:188} INFO - 2026-07-23 12:23:48,708 | INFO     | media.image_downloader | Downloaded background image for scene='checkout' -> /opt/airflow/output/images/long_69.jpg
[2026-07-23T12:23:48.709+0000] {logging_mixin.py:188} INFO - 2026-07-23 12:23:48,709 | INFO     | video.video_builder | Running ffmpeg: ffmpeg -y -i /opt/airflow/output/audio/phrase_69.mp3 -i /opt/airflow/output/audio/example_69.mp3 -filter_complex [0:a]apad=pad_dur=0.4[a0];[a0][1:a]concat=n=2:v=0:a=1[aout] -map [aout] /opt/airflow/output/videos/_tmp/long_69_raw.audio.mp3
[2026-07-23T12:23:48.820+0000] {logging_mixin.py:188} INFO - 2026-07-23 12:23:48,820 | INFO     | video.video_builder | Running ffmpeg: ffmpeg -y -loop 1 -i /opt/airflow/output/images/long_69.jpg -i /opt/airflow/output/videos/_tmp/long_69_raw.audio.mp3 -vf scale=1920:1080:force_original_aspect_ratio=increase,crop=1920:1080,drawtext=fontfile='/opt/airflow/assets/fonts/NotoSansJP-Bold.ttf':text='Can I pay with a credit card?':fontcolor=FFFFFF:fontsize=56:x=(w-text_w)/2:y=(h*0.35):box=1:boxcolor=black@0.45:boxborderw=20,drawtext=fontfile='/opt/airflow/assets/fonts/NotoSansJP-Bold.ttf':text='I don’t have any cash on me. Can I pay with a credit card?':fontcolor=FFD54A:fontsize=33:x=(w-text_w)/2:y=(h*0.55):box=1:boxcolor=black@0.45:boxborderw=16 -c:v libx264 -tune stillimage -pix_fmt yuv420p -c:a aac -b:a 192k -shortest -r 30 /opt/airflow/output/videos/_tmp/long_69_raw.mp4
[2026-07-23T12:23:53.086+0000] {logging_mixin.py:188} INFO - 2026-07-23 12:23:53,086 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_75.mp3
[2026-07-23T12:23:53.616+0000] {logging_mixin.py:188} INFO - 2026-07-23 12:23:53,616 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_75.mp3
[2026-07-23T12:23:54.642+0000] {logging_mixin.py:188} INFO - 2026-07-23 12:23:54,642 | INFO     | media.image_downloader | Downloaded background image for scene='boutique' -> /opt/airflow/output/images/long_75.jpg
[2026-07-23T12:23:54.645+0000] {logging_mixin.py:188} INFO - 2026-07-23 12:23:54,645 | INFO     | video.video_builder | Running ffmpeg: ffmpeg -y -i /opt/airflow/output/audio/phrase_75.mp3 -i /opt/airflow/output/audio/example_75.mp3 -filter_complex [0:a]apad=pad_dur=0.4[a0];[a0][1:a]concat=n=2:v=0:a=1[aout] -map [aout] /opt/airflow/output/videos/_tmp/long_75_raw.audio.mp3
[2026-07-23T12:23:54.763+0000] {logging_mixin.py:188} INFO - 2026-07-23 12:23:54,763 | INFO     | video.video_builder | Running ffmpeg: ffmpeg -y -loop 1 -i /opt/airflow/output/images/long_75.jpg -i /opt/airflow/output/videos/_tmp/long_75_raw.audio.mp3 -vf scale=1920:1080:force_original_aspect_ratio=increase,crop=1920:1080,drawtext=fontfile='/opt/airflow/assets/fonts/NotoSansJP-Bold.ttf':text='I’m just browsing, thank you.':fontcolor=FFFFFF:fontsize=56:x=(w-text_w)/2:y=(h*0.35):box=1:boxcolor=black@0.45:boxborderw=20,drawtext=fontfile='/opt/airflow/assets/fonts/NotoSansJP-Bold.ttf':text='The sales assistant asked if I needed help, but I told her I’m just browsing, thank you.':fontcolor=FFD54A:fontsize=33:x=(w-text_w)/2:y=(h*0.55):box=1:boxcolor=black@0.45:boxborderw=16 -c:v libx264 -tune stillimage -pix_fmt yuv420p -c:a aac -b:a 192k -shortest -r 30 /opt/airflow/output/videos/_tmp/long_75_raw.mp4
[2026-07-23T12:23:58.656+0000] {logging_mixin.py:188} INFO - 2026-07-23 12:23:58,656 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_83.mp3
[2026-07-23T12:23:59.007+0000] {logging_mixin.py:188} INFO - 2026-07-23 12:23:59,007 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_83.mp3
[2026-07-23T12:23:59.599+0000] {logging_mixin.py:188} INFO - 2026-07-23 12:23:59,599 | INFO     | media.image_downloader | Downloaded background image for scene='counter' -> /opt/airflow/output/images/long_83.jpg
[2026-07-23T12:23:59.601+0000] {logging_mixin.py:188} INFO - 2026-07-23 12:23:59,601 | INFO     | video.video_builder | Running ffmpeg: ffmpeg -y -i /opt/airflow/output/audio/phrase_83.mp3 -i /opt/airflow/output/audio/example_83.mp3 -filter_complex [0:a]apad=pad_dur=0.4[a0];[a0][1:a]concat=n=2:v=0:a=1[aout] -map [aout] /opt/airflow/output/videos/_tmp/long_83_raw.audio.mp3
[2026-07-23T12:23:59.714+0000] {logging_mixin.py:188} INFO - 2026-07-23 12:23:59,714 | INFO     | video.video_builder | Running ffmpeg: ffmpeg -y -loop 1 -i /opt/airflow/output/images/long_83.jpg -i /opt/airflow/output/videos/_tmp/long_83_raw.audio.mp3 -vf scale=1920:1080:force_original_aspect_ratio=increase,crop=1920:1080,drawtext=fontfile='/opt/airflow/assets/fonts/NotoSansJP-Bold.ttf':text='I’d like to return this item.':fontcolor=FFFFFF:fontsize=56:x=(w-text_w)/2:y=(h*0.35):box=1:boxcolor=black@0.45:boxborderw=20,drawtext=fontfile='/opt/airflow/assets/fonts/NotoSansJP-Bold.ttf':text='It doesn’t fit me properly, so I’d like to return this item for a refund.':fontcolor=FFD54A:fontsize=33:x=(w-text_w)/2:y=(h*0.55):box=1:boxcolor=black@0.45:boxborderw=16 -c:v libx264 -tune stillimage -pix_fmt yuv420p -c:a aac -b:a 192k -shortest -r 30 /opt/airflow/output/videos/_tmp/long_83_raw.mp4
[2026-07-23T12:24:03.604+0000] {logging_mixin.py:188} INFO - 2026-07-23 12:24:03,604 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_123.mp3
[2026-07-23T12:24:04.031+0000] {logging_mixin.py:188} INFO - 2026-07-23 12:24:04,031 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_123.mp3
