[2026-07-27T01:57:25.259+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-07-27T01:57:25.329+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_10 scheduled__2026-07-25T12:00:00+00:00 [queued]>
[2026-07-27T01:57:25.350+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_10 scheduled__2026-07-25T12:00:00+00:00 [queued]>
[2026-07-27T01:57:25.352+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 3
[2026-07-27T01:57:25.373+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): build_long_video_10> on 2026-07-25 12:00:00+00:00
[2026-07-27T01:57:25.384+0000] {standard_task_runner.py:64} INFO - Started process 57356 to run task
[2026-07-27T01:57:25.389+0000] {standard_task_runner.py:90} INFO - Running: ['airflow', 'tasks', 'run', 'youtube_english_video_pipeline', 'build_long_video_10', 'scheduled__2026-07-25T12:00:00+00:00', '--job-id', '412', '--raw', '--subdir', 'DAGS_FOLDER/youtube_pipeline.py', '--cfg-path', '/tmp/tmpafaw8suw']
[2026-07-27T01:57:25.395+0000] {standard_task_runner.py:91} INFO - Job 412: Subtask build_long_video_10
[2026-07-27T01:57:25.528+0000] {task_command.py:426} INFO - Running <TaskInstance: youtube_english_video_pipeline.build_long_video_10 scheduled__2026-07-25T12:00:00+00:00 [running]> on host cc859d74cf38
[2026-07-27T01:57:25.851+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='taky' AIRFLOW_CTX_DAG_ID='youtube_english_video_pipeline' AIRFLOW_CTX_TASK_ID='build_long_video_10' AIRFLOW_CTX_EXECUTION_DATE='2026-07-25T12:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-07-25T12:00:00+00:00'
[2026-07-27T01:57:25.852+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-07-27T01:57:27.210+0000] {logging_mixin.py:188} INFO - 2026-07-27 01:57:27,210 | INFO     | planner.video_planner | Only 9 phrases for topic='Travel English', topping up without topic filter
[2026-07-27T01:57:27.229+0000] {logging_mixin.py:188} INFO - 2026-07-27 01:57:27,229 | INFO     | planner.video_planner | Planned LONG video: topic='Mixed English Expressions', phrases=20
[2026-07-27T01:57:27.674+0000] {logging_mixin.py:188} INFO - 2026-07-27 01:57:27,673 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_746.mp3
[2026-07-27T01:57:28.192+0000] {logging_mixin.py:188} INFO - 2026-07-27 01:57:28,192 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_746.mp3
[2026-07-27T01:57:28.742+0000] {logging_mixin.py:188} INFO - 2026-07-27 01:57:28,742 | INFO     | media.image_downloader | Downloaded background image for scene='office' -> /opt/airflow/output/images/long_746.jpg
[2026-07-27T01:57:33.850+0000] {logging_mixin.py:188} INFO - 2026-07-27 01:57:33,850 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_747.mp3
[2026-07-27T01:57:34.323+0000] {logging_mixin.py:188} INFO - 2026-07-27 01:57:34,323 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_747.mp3
[2026-07-27T01:57:34.640+0000] {logging_mixin.py:188} INFO - 2026-07-27 01:57:34,639 | INFO     | media.image_downloader | Downloaded background image for scene='airport' -> /opt/airflow/output/images/long_747.jpg
[2026-07-27T01:57:40.503+0000] {logging_mixin.py:188} INFO - 2026-07-27 01:57:40,502 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_748.mp3
[2026-07-27T01:57:41.086+0000] {logging_mixin.py:188} INFO - 2026-07-27 01:57:41,086 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_748.mp3
[2026-07-27T01:57:41.411+0000] {logging_mixin.py:188} INFO - 2026-07-27 01:57:41,411 | INFO     | media.image_downloader | Downloaded background image for scene='hotel' -> /opt/airflow/output/images/long_748.jpg
[2026-07-27T01:57:47.118+0000] {logging_mixin.py:188} INFO - 2026-07-27 01:57:47,117 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_749.mp3
