[2026-07-27T01:30:08.034+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-07-27T01:30:08.103+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_2 scheduled__2026-07-25T12:00:00+00:00 [queued]>
[2026-07-27T01:30:08.116+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_2 scheduled__2026-07-25T12:00:00+00:00 [queued]>
[2026-07-27T01:30:08.118+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 3
[2026-07-27T01:30:08.142+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): build_long_video_2> on 2026-07-25 12:00:00+00:00
[2026-07-27T01:30:08.163+0000] {standard_task_runner.py:64} INFO - Started process 31789 to run task
[2026-07-27T01:30:08.170+0000] {standard_task_runner.py:90} INFO - Running: ['airflow', 'tasks', 'run', 'youtube_english_video_pipeline', 'build_long_video_2', 'scheduled__2026-07-25T12:00:00+00:00', '--job-id', '372', '--raw', '--subdir', 'DAGS_FOLDER/youtube_pipeline.py', '--cfg-path', '/tmp/tmp1_3qskc8']
[2026-07-27T01:30:08.176+0000] {standard_task_runner.py:91} INFO - Job 372: Subtask build_long_video_2
[2026-07-27T01:30:08.329+0000] {task_command.py:426} INFO - Running <TaskInstance: youtube_english_video_pipeline.build_long_video_2 scheduled__2026-07-25T12:00:00+00:00 [running]> on host cc859d74cf38
[2026-07-27T01:30:08.753+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='taky' AIRFLOW_CTX_DAG_ID='youtube_english_video_pipeline' AIRFLOW_CTX_TASK_ID='build_long_video_2' AIRFLOW_CTX_EXECUTION_DATE='2026-07-25T12:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-07-25T12:00:00+00:00'
[2026-07-27T01:30:08.757+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-07-27T01:30:10.511+0000] {logging_mixin.py:188} INFO - 2026-07-27 01:30:10,511 | INFO     | planner.video_planner | Planned LONG video: topic='Shopping English', phrases=17
[2026-07-27T01:30:10.896+0000] {logging_mixin.py:188} INFO - 2026-07-27 01:30:10,896 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_602.mp3
[2026-07-27T01:30:11.346+0000] {logging_mixin.py:188} INFO - 2026-07-27 01:30:11,346 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_602.mp3
[2026-07-27T01:30:11.662+0000] {logging_mixin.py:188} INFO - 2026-07-27 01:30:11,662 | INFO     | media.image_downloader | Downloaded background image for scene='store' -> /opt/airflow/output/images/long_602.jpg
[2026-07-27T01:30:20.250+0000] {logging_mixin.py:188} INFO - 2026-07-27 01:30:20,250 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_630.mp3
[2026-07-27T01:30:20.674+0000] {logging_mixin.py:188} INFO - 2026-07-27 01:30:20,674 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_630.mp3
[2026-07-27T01:30:20.930+0000] {logging_mixin.py:188} INFO - 2026-07-27 01:30:20,930 | INFO     | media.image_downloader | Downloaded background image for scene='store' -> /opt/airflow/output/images/long_630.jpg
[2026-07-27T01:30:26.557+0000] {logging_mixin.py:188} INFO - 2026-07-27 01:30:26,557 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_633.mp3
[2026-07-27T01:30:26.962+0000] {logging_mixin.py:188} INFO - 2026-07-27 01:30:26,962 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_633.mp3
[2026-07-27T01:30:27.187+0000] {logging_mixin.py:188} INFO - 2026-07-27 01:30:27,187 | INFO     | media.image_downloader | Downloaded background image for scene='supermarket' -> /opt/airflow/output/images/long_633.jpg
[2026-07-27T01:30:31.856+0000] {logging_mixin.py:188} INFO - 2026-07-27 01:30:31,856 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_612.mp3
[2026-07-27T01:30:32.262+0000] {logging_mixin.py:188} INFO - 2026-07-27 01:30:32,262 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_612.mp3
[2026-07-27T01:30:32.548+0000] {logging_mixin.py:188} INFO - 2026-07-27 01:30:32,548 | INFO     | media.image_downloader | Downloaded background image for scene='shopping' -> /opt/airflow/output/images/long_612.jpg
[2026-07-27T01:30:38.913+0000] {logging_mixin.py:188} INFO - 2026-07-27 01:30:38,912 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_615.mp3
[2026-07-27T01:30:39.397+0000] {logging_mixin.py:188} INFO - 2026-07-27 01:30:39,397 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_615.mp3
[2026-07-27T01:30:39.689+0000] {logging_mixin.py:188} INFO - 2026-07-27 01:30:39,689 | INFO     | media.image_downloader | Downloaded background image for scene='store' -> /opt/airflow/output/images/long_615.jpg
[2026-07-27T01:30:44.898+0000] {logging_mixin.py:188} INFO - 2026-07-27 01:30:44,898 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_640.mp3
[2026-07-27T01:30:45.328+0000] {logging_mixin.py:188} INFO - 2026-07-27 01:30:45,328 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_640.mp3
[2026-07-27T01:30:45.607+0000] {logging_mixin.py:188} INFO - 2026-07-27 01:30:45,607 | INFO     | media.image_downloader | Downloaded background image for scene='shopping' -> /opt/airflow/output/images/long_640.jpg
[2026-07-27T01:30:51.168+0000] {logging_mixin.py:188} INFO - 2026-07-27 01:30:51,167 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_641.mp3
