[2026-07-27T01:36:23.217+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-07-27T01:36:23.281+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_4 scheduled__2026-07-25T12:00:00+00:00 [queued]>
[2026-07-27T01:36:23.300+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_4 scheduled__2026-07-25T12:00:00+00:00 [queued]>
[2026-07-27T01:36:23.302+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 3
[2026-07-27T01:36:23.327+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): build_long_video_4> on 2026-07-25 12:00:00+00:00
[2026-07-27T01:36:23.335+0000] {standard_task_runner.py:64} INFO - Started process 37561 to run task
[2026-07-27T01:36:23.341+0000] {standard_task_runner.py:90} INFO - Running: ['airflow', 'tasks', 'run', 'youtube_english_video_pipeline', 'build_long_video_4', 'scheduled__2026-07-25T12:00:00+00:00', '--job-id', '382', '--raw', '--subdir', 'DAGS_FOLDER/youtube_pipeline.py', '--cfg-path', '/tmp/tmpmenokwhp']
[2026-07-27T01:36:23.346+0000] {standard_task_runner.py:91} INFO - Job 382: Subtask build_long_video_4
[2026-07-27T01:36:23.491+0000] {task_command.py:426} INFO - Running <TaskInstance: youtube_english_video_pipeline.build_long_video_4 scheduled__2026-07-25T12:00:00+00:00 [running]> on host cc859d74cf38
[2026-07-27T01:36:23.870+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='taky' AIRFLOW_CTX_DAG_ID='youtube_english_video_pipeline' AIRFLOW_CTX_TASK_ID='build_long_video_4' AIRFLOW_CTX_EXECUTION_DATE='2026-07-25T12:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-07-25T12:00:00+00:00'
[2026-07-27T01:36:23.872+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-07-27T01:36:25.038+0000] {logging_mixin.py:188} INFO - 2026-07-27 01:36:25,038 | INFO     | planner.video_planner | Only 12 phrases for topic='Daily Conversation', topping up without topic filter
[2026-07-27T01:36:25.053+0000] {logging_mixin.py:188} INFO - 2026-07-27 01:36:25,053 | INFO     | planner.video_planner | Planned LONG video: topic='Mixed English Expressions', phrases=20
[2026-07-27T01:36:25.423+0000] {logging_mixin.py:188} INFO - 2026-07-27 01:36:25,423 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_606.mp3
[2026-07-27T01:36:25.951+0000] {logging_mixin.py:188} INFO - 2026-07-27 01:36:25,951 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_606.mp3
[2026-07-27T01:36:26.190+0000] {logging_mixin.py:188} INFO - 2026-07-27 01:36:26,189 | INFO     | media.image_downloader | Downloaded background image for scene='hotel' -> /opt/airflow/output/images/long_606.jpg
[2026-07-27T01:36:31.435+0000] {logging_mixin.py:188} INFO - 2026-07-27 01:36:31,434 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_608.mp3
[2026-07-27T01:36:31.954+0000] {logging_mixin.py:188} INFO - 2026-07-27 01:36:31,954 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_608.mp3
[2026-07-27T01:36:32.205+0000] {logging_mixin.py:188} INFO - 2026-07-27 01:36:32,205 | INFO     | media.image_downloader | Downloaded background image for scene='restaurant' -> /opt/airflow/output/images/long_608.jpg
[2026-07-27T01:36:37.088+0000] {logging_mixin.py:188} INFO - 2026-07-27 01:36:37,087 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_610.mp3
[2026-07-27T01:36:37.554+0000] {logging_mixin.py:188} INFO - 2026-07-27 01:36:37,554 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_610.mp3
[2026-07-27T01:36:37.814+0000] {logging_mixin.py:188} INFO - 2026-07-27 01:36:37,814 | INFO     | media.image_downloader | Downloaded background image for scene='airport' -> /opt/airflow/output/images/long_610.jpg
[2026-07-27T01:36:42.606+0000] {logging_mixin.py:188} INFO - 2026-07-27 01:36:42,606 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_629.mp3
