[2026-07-27T01:39:44.013+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-07-27T01:39:44.082+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_5 scheduled__2026-07-25T12:00:00+00:00 [queued]>
[2026-07-27T01:39:44.101+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_5 scheduled__2026-07-25T12:00:00+00:00 [queued]>
[2026-07-27T01:39:44.103+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 3
[2026-07-27T01:39:44.128+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): build_long_video_5> on 2026-07-25 12:00:00+00:00
[2026-07-27T01:39:44.138+0000] {standard_task_runner.py:64} INFO - Started process 40973 to run task
[2026-07-27T01:39:44.144+0000] {standard_task_runner.py:90} INFO - Running: ['airflow', 'tasks', 'run', 'youtube_english_video_pipeline', 'build_long_video_5', 'scheduled__2026-07-25T12:00:00+00:00', '--job-id', '387', '--raw', '--subdir', 'DAGS_FOLDER/youtube_pipeline.py', '--cfg-path', '/tmp/tmpuv3i_68_']
[2026-07-27T01:39:44.149+0000] {standard_task_runner.py:91} INFO - Job 387: Subtask build_long_video_5
[2026-07-27T01:39:44.322+0000] {task_command.py:426} INFO - Running <TaskInstance: youtube_english_video_pipeline.build_long_video_5 scheduled__2026-07-25T12:00:00+00:00 [running]> on host cc859d74cf38
[2026-07-27T01:39:44.711+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='taky' AIRFLOW_CTX_DAG_ID='youtube_english_video_pipeline' AIRFLOW_CTX_TASK_ID='build_long_video_5' AIRFLOW_CTX_EXECUTION_DATE='2026-07-25T12:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-07-25T12:00:00+00:00'
[2026-07-27T01:39:44.726+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-07-27T01:39:46.073+0000] {logging_mixin.py:188} INFO - 2026-07-27 01:39:46,073 | INFO     | planner.video_planner | Only 10 phrases for topic='Restaurant English', topping up without topic filter
[2026-07-27T01:39:46.091+0000] {logging_mixin.py:188} INFO - 2026-07-27 01:39:46,091 | INFO     | planner.video_planner | Planned LONG video: topic='Mixed English Expressions', phrases=20
[2026-07-27T01:39:46.416+0000] {logging_mixin.py:188} INFO - 2026-07-27 01:39:46,415 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_639.mp3
[2026-07-27T01:39:46.827+0000] {logging_mixin.py:188} INFO - 2026-07-27 01:39:46,826 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_639.mp3
[2026-07-27T01:39:47.078+0000] {logging_mixin.py:188} INFO - 2026-07-27 01:39:47,078 | INFO     | media.image_downloader | Downloaded background image for scene='restaurant' -> /opt/airflow/output/images/long_639.jpg
[2026-07-27T01:39:51.945+0000] {logging_mixin.py:188} INFO - 2026-07-27 01:39:51,945 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_642.mp3
[2026-07-27T01:39:52.429+0000] {logging_mixin.py:188} INFO - 2026-07-27 01:39:52,428 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_642.mp3
[2026-07-27T01:39:52.697+0000] {logging_mixin.py:188} INFO - 2026-07-27 01:39:52,697 | INFO     | media.image_downloader | Downloaded background image for scene='airport' -> /opt/airflow/output/images/long_642.jpg
[2026-07-27T01:39:57.807+0000] {logging_mixin.py:188} INFO - 2026-07-27 01:39:57,807 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_643.mp3
[2026-07-27T01:39:58.413+0000] {logging_mixin.py:188} INFO - 2026-07-27 01:39:58,413 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_643.mp3
[2026-07-27T01:39:58.720+0000] {logging_mixin.py:188} INFO - 2026-07-27 01:39:58,720 | INFO     | media.image_downloader | Downloaded background image for scene='hotel' -> /opt/airflow/output/images/long_643.jpg
[2026-07-27T01:40:04.565+0000] {logging_mixin.py:188} INFO - 2026-07-27 01:40:04,565 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_644.mp3
