[2026-07-27T01:47:36.851+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-07-27T01:47:36.919+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_7 scheduled__2026-07-25T12:00:00+00:00 [queued]>
[2026-07-27T01:47:36.938+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_7 scheduled__2026-07-25T12:00:00+00:00 [queued]>
[2026-07-27T01:47:36.941+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 3
[2026-07-27T01:47:36.964+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): build_long_video_7> on 2026-07-25 12:00:00+00:00
[2026-07-27T01:47:36.973+0000] {standard_task_runner.py:64} INFO - Started process 47844 to run task
[2026-07-27T01:47:36.977+0000] {standard_task_runner.py:90} INFO - Running: ['airflow', 'tasks', 'run', 'youtube_english_video_pipeline', 'build_long_video_7', 'scheduled__2026-07-25T12:00:00+00:00', '--job-id', '397', '--raw', '--subdir', 'DAGS_FOLDER/youtube_pipeline.py', '--cfg-path', '/tmp/tmp8plrw_9k']
[2026-07-27T01:47:36.983+0000] {standard_task_runner.py:91} INFO - Job 397: Subtask build_long_video_7
[2026-07-27T01:47:37.112+0000] {task_command.py:426} INFO - Running <TaskInstance: youtube_english_video_pipeline.build_long_video_7 scheduled__2026-07-25T12:00:00+00:00 [running]> on host cc859d74cf38
[2026-07-27T01:47:37.468+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='taky' AIRFLOW_CTX_DAG_ID='youtube_english_video_pipeline' AIRFLOW_CTX_TASK_ID='build_long_video_7' AIRFLOW_CTX_EXECUTION_DATE='2026-07-25T12:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-07-25T12:00:00+00:00'
[2026-07-27T01:47:37.470+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-07-27T01:47:39.161+0000] {logging_mixin.py:188} INFO - 2026-07-27 01:47:39,161 | INFO     | planner.video_planner | Planned LONG video: topic='Restaurant English', phrases=18
[2026-07-27T01:47:39.533+0000] {logging_mixin.py:188} INFO - 2026-07-27 01:47:39,533 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_687.mp3
[2026-07-27T01:47:39.944+0000] {logging_mixin.py:188} INFO - 2026-07-27 01:47:39,944 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_687.mp3
[2026-07-27T01:47:40.174+0000] {logging_mixin.py:188} INFO - 2026-07-27 01:47:40,174 | INFO     | media.image_downloader | Downloaded background image for scene='restaurant' -> /opt/airflow/output/images/long_687.jpg
[2026-07-27T01:47:44.262+0000] {logging_mixin.py:188} INFO - 2026-07-27 01:47:44,262 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_694.mp3
[2026-07-27T01:47:44.593+0000] {logging_mixin.py:188} INFO - 2026-07-27 01:47:44,593 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_694.mp3
[2026-07-27T01:47:44.824+0000] {logging_mixin.py:188} INFO - 2026-07-27 01:47:44,823 | INFO     | media.image_downloader | Downloaded background image for scene='restaurant' -> /opt/airflow/output/images/long_694.jpg
[2026-07-27T01:47:50.256+0000] {logging_mixin.py:188} INFO - 2026-07-27 01:47:50,256 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_699.mp3
[2026-07-27T01:47:50.866+0000] {logging_mixin.py:188} INFO - 2026-07-27 01:47:50,866 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_699.mp3
[2026-07-27T01:47:51.105+0000] {logging_mixin.py:188} INFO - 2026-07-27 01:47:51,105 | INFO     | media.image_downloader | Downloaded background image for scene='restaurant' -> /opt/airflow/output/images/long_699.jpg
[2026-07-27T01:47:56.219+0000] {logging_mixin.py:188} INFO - 2026-07-27 01:47:56,219 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_712.mp3
[2026-07-27T01:47:56.669+0000] {logging_mixin.py:188} INFO - 2026-07-27 01:47:56,669 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_712.mp3
