[2026-07-27T01:50:37.888+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-07-27T01:50:37.963+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_8 scheduled__2026-07-25T12:00:00+00:00 [queued]>
[2026-07-27T01:50:37.982+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_8 scheduled__2026-07-25T12:00:00+00:00 [queued]>
[2026-07-27T01:50:37.986+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 3
[2026-07-27T01:50:38.013+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): build_long_video_8> on 2026-07-25 12:00:00+00:00
[2026-07-27T01:50:38.024+0000] {standard_task_runner.py:64} INFO - Started process 50958 to run task
[2026-07-27T01:50:38.031+0000] {standard_task_runner.py:90} INFO - Running: ['airflow', 'tasks', 'run', 'youtube_english_video_pipeline', 'build_long_video_8', 'scheduled__2026-07-25T12:00:00+00:00', '--job-id', '402', '--raw', '--subdir', 'DAGS_FOLDER/youtube_pipeline.py', '--cfg-path', '/tmp/tmp2k2x63rq']
[2026-07-27T01:50:38.037+0000] {standard_task_runner.py:91} INFO - Job 402: Subtask build_long_video_8
[2026-07-27T01:50:38.183+0000] {task_command.py:426} INFO - Running <TaskInstance: youtube_english_video_pipeline.build_long_video_8 scheduled__2026-07-25T12:00:00+00:00 [running]> on host cc859d74cf38
[2026-07-27T01:50:38.525+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='taky' AIRFLOW_CTX_DAG_ID='youtube_english_video_pipeline' AIRFLOW_CTX_TASK_ID='build_long_video_8' AIRFLOW_CTX_EXECUTION_DATE='2026-07-25T12:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-07-25T12:00:00+00:00'
[2026-07-27T01:50:38.531+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-07-27T01:50:40.336+0000] {logging_mixin.py:188} INFO - 2026-07-27 01:50:40,336 | INFO     | planner.video_planner | Planned LONG video: topic='Shopping English', phrases=17
[2026-07-27T01:50:40.702+0000] {logging_mixin.py:188} INFO - 2026-07-27 01:50:40,702 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_713.mp3
[2026-07-27T01:50:41.135+0000] {logging_mixin.py:188} INFO - 2026-07-27 01:50:41,135 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_713.mp3
[2026-07-27T01:50:41.339+0000] {logging_mixin.py:188} INFO - 2026-07-27 01:50:41,339 | INFO     | media.image_downloader | Downloaded background image for scene='clothing' -> /opt/airflow/output/images/long_713.jpg
[2026-07-27T01:50:45.966+0000] {logging_mixin.py:188} INFO - 2026-07-27 01:50:45,966 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_720.mp3
[2026-07-27T01:50:46.304+0000] {logging_mixin.py:188} INFO - 2026-07-27 01:50:46,304 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_720.mp3
[2026-07-27T01:50:46.592+0000] {logging_mixin.py:188} INFO - 2026-07-27 01:50:46,592 | INFO     | media.image_downloader | Downloaded background image for scene='store' -> /opt/airflow/output/images/long_720.jpg
[2026-07-27T01:50:52.198+0000] {logging_mixin.py:188} INFO - 2026-07-27 01:50:52,197 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_726.mp3
[2026-07-27T01:50:52.563+0000] {logging_mixin.py:188} INFO - 2026-07-27 01:50:52,563 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_726.mp3
[2026-07-27T01:50:52.831+0000] {logging_mixin.py:188} INFO - 2026-07-27 01:50:52,830 | INFO     | media.image_downloader | Downloaded background image for scene='cashier' -> /opt/airflow/output/images/long_726.jpg
[2026-07-27T01:50:57.769+0000] {logging_mixin.py:188} INFO - 2026-07-27 01:50:57,769 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_731.mp3
[2026-07-27T01:50:58.293+0000] {logging_mixin.py:188} INFO - 2026-07-27 01:50:58,293 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_731.mp3
