[2026-07-27T01:53:48.719+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-07-27T01:53:48.785+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_9 scheduled__2026-07-25T12:00:00+00:00 [queued]>
[2026-07-27T01:53:48.805+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_9 scheduled__2026-07-25T12:00:00+00:00 [queued]>
[2026-07-27T01:53:48.808+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 3
[2026-07-27T01:53:48.834+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): build_long_video_9> on 2026-07-25 12:00:00+00:00
[2026-07-27T01:53:48.842+0000] {standard_task_runner.py:64} INFO - Started process 53919 to run task
[2026-07-27T01:53:48.849+0000] {standard_task_runner.py:90} INFO - Running: ['airflow', 'tasks', 'run', 'youtube_english_video_pipeline', 'build_long_video_9', 'scheduled__2026-07-25T12:00:00+00:00', '--job-id', '407', '--raw', '--subdir', 'DAGS_FOLDER/youtube_pipeline.py', '--cfg-path', '/tmp/tmpy8z3es6z']
[2026-07-27T01:53:48.853+0000] {standard_task_runner.py:91} INFO - Job 407: Subtask build_long_video_9
[2026-07-27T01:53:49.001+0000] {task_command.py:426} INFO - Running <TaskInstance: youtube_english_video_pipeline.build_long_video_9 scheduled__2026-07-25T12:00:00+00:00 [running]> on host cc859d74cf38
[2026-07-27T01:53:49.354+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='taky' AIRFLOW_CTX_DAG_ID='youtube_english_video_pipeline' AIRFLOW_CTX_TASK_ID='build_long_video_9' AIRFLOW_CTX_EXECUTION_DATE='2026-07-25T12:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-07-25T12:00:00+00:00'
[2026-07-27T01:53:49.356+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-07-27T01:53:51.106+0000] {logging_mixin.py:188} INFO - 2026-07-27 01:53:51,106 | INFO     | planner.video_planner | Only 14 phrases for topic='Travel English', topping up without topic filter
[2026-07-27T01:53:51.128+0000] {logging_mixin.py:188} INFO - 2026-07-27 01:53:51,128 | INFO     | planner.video_planner | Planned LONG video: topic='Mixed English Expressions', phrases=20
[2026-07-27T01:53:51.479+0000] {logging_mixin.py:188} INFO - 2026-07-27 01:53:51,478 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_693.mp3
[2026-07-27T01:53:51.896+0000] {logging_mixin.py:188} INFO - 2026-07-27 01:53:51,896 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_693.mp3
[2026-07-27T01:53:52.150+0000] {logging_mixin.py:188} INFO - 2026-07-27 01:53:52,150 | INFO     | media.image_downloader | Downloaded background image for scene='airport' -> /opt/airflow/output/images/long_693.jpg
[2026-07-27T01:53:57.333+0000] {logging_mixin.py:188} INFO - 2026-07-27 01:53:57,333 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_690.mp3
[2026-07-27T01:53:57.888+0000] {logging_mixin.py:188} INFO - 2026-07-27 01:53:57,888 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_690.mp3
[2026-07-27T01:53:58.145+0000] {logging_mixin.py:188} INFO - 2026-07-27 01:53:58,144 | INFO     | media.image_downloader | Downloaded background image for scene='hotel' -> /opt/airflow/output/images/long_690.jpg
[2026-07-27T01:54:02.447+0000] {logging_mixin.py:188} INFO - 2026-07-27 01:54:02,446 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_710.mp3
[2026-07-27T01:54:02.921+0000] {logging_mixin.py:188} INFO - 2026-07-27 01:54:02,921 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_710.mp3
[2026-07-27T01:54:03.207+0000] {logging_mixin.py:188} INFO - 2026-07-27 01:54:03,206 | INFO     | media.image_downloader | Downloaded background image for scene='cafe' -> /opt/airflow/output/images/long_710.jpg
[2026-07-27T01:54:10.655+0000] {logging_mixin.py:188} INFO - 2026-07-27 01:54:10,655 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_703.mp3
