[2026-07-27T12:06:34.471+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-07-27T12:06:34.496+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_3 scheduled__2026-07-26T12:00:00+00:00 [queued]>
[2026-07-27T12:06:34.503+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_3 scheduled__2026-07-26T12:00:00+00:00 [queued]>
[2026-07-27T12:06:34.505+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 3
[2026-07-27T12:06:34.514+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): build_long_video_3> on 2026-07-26 12:00:00+00:00
[2026-07-27T12:06:34.519+0000] {standard_task_runner.py:64} INFO - Started process 98788 to run task
[2026-07-27T12:06:34.521+0000] {standard_task_runner.py:90} INFO - Running: ['airflow', 'tasks', 'run', 'youtube_english_video_pipeline', 'build_long_video_3', 'scheduled__2026-07-26T12:00:00+00:00', '--job-id', '477', '--raw', '--subdir', 'DAGS_FOLDER/youtube_pipeline.py', '--cfg-path', '/tmp/tmpn0p9fgeg']
[2026-07-27T12:06:34.524+0000] {standard_task_runner.py:91} INFO - Job 477: Subtask build_long_video_3
[2026-07-27T12:06:34.601+0000] {task_command.py:426} INFO - Running <TaskInstance: youtube_english_video_pipeline.build_long_video_3 scheduled__2026-07-26T12:00:00+00:00 [running]> on host cc859d74cf38
[2026-07-27T12:06:34.752+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='taky' AIRFLOW_CTX_DAG_ID='youtube_english_video_pipeline' AIRFLOW_CTX_TASK_ID='build_long_video_3' AIRFLOW_CTX_EXECUTION_DATE='2026-07-26T12:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-07-26T12:00:00+00:00'
[2026-07-27T12:06:34.752+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-07-27T12:06:35.482+0000] {logging_mixin.py:188} INFO - 2026-07-27 12:06:35,482 | INFO     | planner.video_planner | Only 10 phrases for topic='Restaurant English', topping up without topic filter
[2026-07-27T12:06:35.492+0000] {logging_mixin.py:188} INFO - 2026-07-27 12:06:35,492 | INFO     | planner.video_planner | Planned LONG video: topic='Mixed English Expressions', phrases=20
[2026-07-27T12:06:35.935+0000] {logging_mixin.py:188} INFO - 2026-07-27 12:06:35,935 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1012.mp3
[2026-07-27T12:06:36.445+0000] {logging_mixin.py:188} INFO - 2026-07-27 12:06:36,445 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1012.mp3
[2026-07-27T12:06:37.910+0000] {logging_mixin.py:188} INFO - 2026-07-27 12:06:37,909 | INFO     | media.image_downloader | Downloaded background image for scene='street' -> /opt/airflow/output/images/long_1012.jpg
[2026-07-27T12:06:41.987+0000] {logging_mixin.py:188} INFO - 2026-07-27 12:06:41,986 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1013.mp3
[2026-07-27T12:06:42.545+0000] {logging_mixin.py:188} INFO - 2026-07-27 12:06:42,545 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1013.mp3
[2026-07-27T12:06:42.886+0000] {logging_mixin.py:188} INFO - 2026-07-27 12:06:42,886 | INFO     | media.image_downloader | Downloaded background image for scene='restaurant' -> /opt/airflow/output/images/long_1013.jpg
[2026-07-27T12:06:46.839+0000] {logging_mixin.py:188} INFO - 2026-07-27 12:06:46,838 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1015.mp3
[2026-07-27T12:06:47.149+0000] {logging_mixin.py:188} INFO - 2026-07-27 12:06:47,149 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1015.mp3
[2026-07-27T12:06:47.380+0000] {logging_mixin.py:188} INFO - 2026-07-27 12:06:47,380 | INFO     | media.image_downloader | Downloaded background image for scene='train' -> /opt/airflow/output/images/long_1015.jpg
[2026-07-27T12:06:51.084+0000] {logging_mixin.py:188} INFO - 2026-07-27 12:06:51,084 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1016.mp3
