[2026-07-27T12:10:01.740+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-07-27T12:10:01.773+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_4 scheduled__2026-07-26T12:00:00+00:00 [queued]>
[2026-07-27T12:10:01.783+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_4 scheduled__2026-07-26T12:00:00+00:00 [queued]>
[2026-07-27T12:10:01.784+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 3
[2026-07-27T12:10:01.795+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): build_long_video_4> on 2026-07-26 12:00:00+00:00
[2026-07-27T12:10:01.801+0000] {standard_task_runner.py:64} INFO - Started process 2547 to run task
[2026-07-27T12:10:01.803+0000] {standard_task_runner.py:90} INFO - Running: ['airflow', 'tasks', 'run', 'youtube_english_video_pipeline', 'build_long_video_4', 'scheduled__2026-07-26T12:00:00+00:00', '--job-id', '482', '--raw', '--subdir', 'DAGS_FOLDER/youtube_pipeline.py', '--cfg-path', '/tmp/tmpn1ecn1a3']
[2026-07-27T12:10:01.806+0000] {standard_task_runner.py:91} INFO - Job 482: Subtask build_long_video_4
[2026-07-27T12:10:01.885+0000] {task_command.py:426} INFO - Running <TaskInstance: youtube_english_video_pipeline.build_long_video_4 scheduled__2026-07-26T12:00:00+00:00 [running]> on host cc859d74cf38
[2026-07-27T12:10:02.084+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='taky' AIRFLOW_CTX_DAG_ID='youtube_english_video_pipeline' AIRFLOW_CTX_TASK_ID='build_long_video_4' AIRFLOW_CTX_EXECUTION_DATE='2026-07-26T12:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-07-26T12:00:00+00:00'
[2026-07-27T12:10:02.085+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-07-27T12:10:02.871+0000] {logging_mixin.py:188} INFO - 2026-07-27 12:10:02,871 | INFO     | planner.video_planner | Only 5 phrases for topic='Daily Conversation', topping up without topic filter
[2026-07-27T12:10:02.877+0000] {logging_mixin.py:188} INFO - 2026-07-27 12:10:02,877 | INFO     | planner.video_planner | Planned LONG video: topic='Mixed English Expressions', phrases=18
[2026-07-27T12:10:03.233+0000] {logging_mixin.py:188} INFO - 2026-07-27 12:10:03,232 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1039.mp3
[2026-07-27T12:10:03.748+0000] {logging_mixin.py:188} INFO - 2026-07-27 12:10:03,748 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1039.mp3
[2026-07-27T12:10:03.937+0000] {logging_mixin.py:188} INFO - 2026-07-27 12:10:03,936 | INFO     | media.image_downloader | Downloaded background image for scene='office' -> /opt/airflow/output/images/long_1039.jpg
[2026-07-27T12:10:07.721+0000] {logging_mixin.py:188} INFO - 2026-07-27 12:10:07,721 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1040.mp3
[2026-07-27T12:10:08.119+0000] {logging_mixin.py:188} INFO - 2026-07-27 12:10:08,118 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1040.mp3
[2026-07-27T12:10:08.336+0000] {logging_mixin.py:188} INFO - 2026-07-27 12:10:08,336 | INFO     | media.image_downloader | Downloaded background image for scene='street' -> /opt/airflow/output/images/long_1040.jpg
[2026-07-27T12:10:11.981+0000] {logging_mixin.py:188} INFO - 2026-07-27 12:10:11,981 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1041.mp3
[2026-07-27T12:10:12.364+0000] {logging_mixin.py:188} INFO - 2026-07-27 12:10:12,364 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1041.mp3
[2026-07-27T12:10:12.529+0000] {logging_mixin.py:188} INFO - 2026-07-27 12:10:12,529 | INFO     | media.image_downloader | Downloaded background image for scene='restaurant' -> /opt/airflow/output/images/long_1041.jpg
[2026-07-27T12:10:15.601+0000] {logging_mixin.py:188} INFO - 2026-07-27 12:10:15,601 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1042.mp3
