[2026-07-28T12:34:28.760+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-07-28T12:34:28.788+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_1 scheduled__2026-07-27T12:00:00+00:00 [queued]>
[2026-07-28T12:34:28.794+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_1 scheduled__2026-07-27T12:00:00+00:00 [queued]>
[2026-07-28T12:34:28.796+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 3
[2026-07-28T12:34:28.806+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): build_long_video_1> on 2026-07-27 12:00:00+00:00
[2026-07-28T12:34:28.812+0000] {standard_task_runner.py:64} INFO - Started process 7766 to run task
[2026-07-28T12:34:28.816+0000] {standard_task_runner.py:90} INFO - Running: ['airflow', 'tasks', 'run', 'youtube_english_video_pipeline', 'build_long_video_1', 'scheduled__2026-07-27T12:00:00+00:00', '--job-id', '490', '--raw', '--subdir', 'DAGS_FOLDER/youtube_pipeline.py', '--cfg-path', '/tmp/tmp7aodja6i']
[2026-07-28T12:34:28.818+0000] {standard_task_runner.py:91} INFO - Job 490: Subtask build_long_video_1
[2026-07-28T12:34:28.886+0000] {task_command.py:426} INFO - Running <TaskInstance: youtube_english_video_pipeline.build_long_video_1 scheduled__2026-07-27T12:00:00+00:00 [running]> on host cc859d74cf38
[2026-07-28T12:34:29.097+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='taky' AIRFLOW_CTX_DAG_ID='youtube_english_video_pipeline' AIRFLOW_CTX_TASK_ID='build_long_video_1' AIRFLOW_CTX_EXECUTION_DATE='2026-07-27T12:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-07-27T12:00:00+00:00'
[2026-07-28T12:34:29.098+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-07-28T12:34:29.726+0000] {logging_mixin.py:188} INFO - 2026-07-28 12:34:29,726 | INFO     | planner.video_planner | Planned LONG video: topic='Restaurant English', phrases=18
[2026-07-28T12:34:30.150+0000] {logging_mixin.py:188} INFO - 2026-07-28 12:34:30,149 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1157.mp3
[2026-07-28T12:34:30.569+0000] {logging_mixin.py:188} INFO - 2026-07-28 12:34:30,569 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1157.mp3
[2026-07-28T12:34:30.793+0000] {logging_mixin.py:188} INFO - 2026-07-28 12:34:30,793 | INFO     | media.image_downloader | Downloaded background image for scene='restaurant' -> /opt/airflow/output/images/long_1157.jpg
[2026-07-28T12:34:34.627+0000] {logging_mixin.py:188} INFO - 2026-07-28 12:34:34,627 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1061.mp3
[2026-07-28T12:34:35.073+0000] {logging_mixin.py:188} INFO - 2026-07-28 12:34:35,073 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1061.mp3
[2026-07-28T12:34:35.283+0000] {logging_mixin.py:188} INFO - 2026-07-28 12:34:35,283 | INFO     | media.image_downloader | Downloaded background image for scene='restaurant' -> /opt/airflow/output/images/long_1061.jpg
[2026-07-28T12:34:38.539+0000] {logging_mixin.py:188} INFO - 2026-07-28 12:34:38,539 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1066.mp3
[2026-07-28T12:34:39.077+0000] {logging_mixin.py:188} INFO - 2026-07-28 12:34:39,077 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1066.mp3
[2026-07-28T12:34:39.306+0000] {logging_mixin.py:188} INFO - 2026-07-28 12:34:39,306 | INFO     | media.image_downloader | Downloaded background image for scene='cafe' -> /opt/airflow/output/images/long_1066.jpg
[2026-07-28T12:34:43.580+0000] {logging_mixin.py:188} INFO - 2026-07-28 12:34:43,579 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1070.mp3
[2026-07-28T12:34:43.963+0000] {logging_mixin.py:188} INFO - 2026-07-28 12:34:43,963 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1070.mp3
