[2026-07-28T12:37:03.470+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-07-28T12:37:03.505+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_2 scheduled__2026-07-27T12:00:00+00:00 [queued]>
[2026-07-28T12:37:03.513+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_2 scheduled__2026-07-27T12:00:00+00:00 [queued]>
[2026-07-28T12:37:03.514+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 3
[2026-07-28T12:37:03.529+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): build_long_video_2> on 2026-07-27 12:00:00+00:00
[2026-07-28T12:37:03.535+0000] {standard_task_runner.py:64} INFO - Started process 10871 to run task
[2026-07-28T12:37:03.538+0000] {standard_task_runner.py:90} INFO - Running: ['airflow', 'tasks', 'run', 'youtube_english_video_pipeline', 'build_long_video_2', 'scheduled__2026-07-27T12:00:00+00:00', '--job-id', '495', '--raw', '--subdir', 'DAGS_FOLDER/youtube_pipeline.py', '--cfg-path', '/tmp/tmp7zs9mwfe']
[2026-07-28T12:37:03.540+0000] {standard_task_runner.py:91} INFO - Job 495: Subtask build_long_video_2
[2026-07-28T12:37:03.605+0000] {task_command.py:426} INFO - Running <TaskInstance: youtube_english_video_pipeline.build_long_video_2 scheduled__2026-07-27T12:00:00+00:00 [running]> on host cc859d74cf38
[2026-07-28T12:37:03.843+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='taky' AIRFLOW_CTX_DAG_ID='youtube_english_video_pipeline' AIRFLOW_CTX_TASK_ID='build_long_video_2' AIRFLOW_CTX_EXECUTION_DATE='2026-07-27T12:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-07-27T12:00:00+00:00'
[2026-07-28T12:37:03.845+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-07-28T12:37:04.554+0000] {logging_mixin.py:188} INFO - 2026-07-28 12:37:04,554 | INFO     | planner.video_planner | Only 14 phrases for topic='Business English', topping up without topic filter
[2026-07-28T12:37:04.563+0000] {logging_mixin.py:188} INFO - 2026-07-28 12:37:04,563 | INFO     | planner.video_planner | Planned LONG video: topic='Mixed English Expressions', phrases=20
[2026-07-28T12:37:04.891+0000] {logging_mixin.py:188} INFO - 2026-07-28 12:37:04,891 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1154.mp3
[2026-07-28T12:37:05.343+0000] {logging_mixin.py:188} INFO - 2026-07-28 12:37:05,343 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1154.mp3
[2026-07-28T12:37:05.942+0000] {logging_mixin.py:188} INFO - 2026-07-28 12:37:05,942 | INFO     | media.image_downloader | Downloaded background image for scene='library' -> /opt/airflow/output/images/long_1154.jpg
[2026-07-28T12:37:10.258+0000] {logging_mixin.py:188} INFO - 2026-07-28 12:37:10,258 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1155.mp3
[2026-07-28T12:37:10.650+0000] {logging_mixin.py:188} INFO - 2026-07-28 12:37:10,650 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1155.mp3
[2026-07-28T12:37:10.918+0000] {logging_mixin.py:188} INFO - 2026-07-28 12:37:10,918 | INFO     | media.image_downloader | Downloaded background image for scene='office' -> /opt/airflow/output/images/long_1155.jpg
[2026-07-28T12:37:14.534+0000] {logging_mixin.py:188} INFO - 2026-07-28 12:37:14,534 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1156.mp3
[2026-07-28T12:37:14.909+0000] {logging_mixin.py:188} INFO - 2026-07-28 12:37:14,909 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1156.mp3
[2026-07-28T12:37:15.141+0000] {logging_mixin.py:188} INFO - 2026-07-28 12:37:15,140 | INFO     | media.image_downloader | Downloaded background image for scene='airport' -> /opt/airflow/output/images/long_1156.jpg
[2026-07-28T12:37:18.989+0000] {logging_mixin.py:188} INFO - 2026-07-28 12:37:18,989 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1062.mp3
[2026-07-28T12:37:19.477+0000] {logging_mixin.py:188} INFO - 2026-07-28 12:37:19,476 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1062.mp3
[2026-07-28T12:37:19.662+0000] {logging_mixin.py:188} INFO - 2026-07-28 12:37:19,662 | INFO     | media.image_downloader | Downloaded background image for scene='airport' -> /opt/airflow/output/images/long_1062.jpg
[2026-07-28T12:37:24.413+0000] {logging_mixin.py:188} INFO - 2026-07-28 12:37:24,413 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1063.mp3
[2026-07-28T12:37:24.805+0000] {logging_mixin.py:188} INFO - 2026-07-28 12:37:24,805 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1063.mp3
[2026-07-28T12:37:25.082+0000] {logging_mixin.py:188} INFO - 2026-07-28 12:37:25,082 | INFO     | media.image_downloader | Downloaded background image for scene='office' -> /opt/airflow/output/images/long_1063.jpg
[2026-07-28T12:37:29.007+0000] {logging_mixin.py:188} INFO - 2026-07-28 12:37:29,007 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1064.mp3
