[2026-07-28T12:43:14.046+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-07-28T12:43:14.086+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_4 scheduled__2026-07-27T12:00:00+00:00 [queued]>
[2026-07-28T12:43:14.100+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_4 scheduled__2026-07-27T12:00:00+00:00 [queued]>
[2026-07-28T12:43:14.102+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 3
[2026-07-28T12:43:14.114+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): build_long_video_4> on 2026-07-27 12:00:00+00:00
[2026-07-28T12:43:14.122+0000] {standard_task_runner.py:64} INFO - Started process 17700 to run task
[2026-07-28T12:43:14.127+0000] {standard_task_runner.py:90} INFO - Running: ['airflow', 'tasks', 'run', 'youtube_english_video_pipeline', 'build_long_video_4', 'scheduled__2026-07-27T12:00:00+00:00', '--job-id', '505', '--raw', '--subdir', 'DAGS_FOLDER/youtube_pipeline.py', '--cfg-path', '/tmp/tmpb8m3vk1g']
[2026-07-28T12:43:14.132+0000] {standard_task_runner.py:91} INFO - Job 505: Subtask build_long_video_4
[2026-07-28T12:43:14.220+0000] {task_command.py:426} INFO - Running <TaskInstance: youtube_english_video_pipeline.build_long_video_4 scheduled__2026-07-27T12:00:00+00:00 [running]> on host cc859d74cf38
[2026-07-28T12:43:14.489+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='taky' AIRFLOW_CTX_DAG_ID='youtube_english_video_pipeline' AIRFLOW_CTX_TASK_ID='build_long_video_4' AIRFLOW_CTX_EXECUTION_DATE='2026-07-27T12:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-07-27T12:00:00+00:00'
[2026-07-28T12:43:14.490+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-07-28T12:43:15.675+0000] {logging_mixin.py:188} INFO - 2026-07-28 12:43:15,675 | INFO     | planner.video_planner | Only 9 phrases for topic='Daily Conversation', topping up without topic filter
[2026-07-28T12:43:15.687+0000] {logging_mixin.py:188} INFO - 2026-07-28 12:43:15,687 | INFO     | planner.video_planner | Planned LONG video: topic='Mixed English Expressions', phrases=20
[2026-07-28T12:43:16.098+0000] {logging_mixin.py:188} INFO - 2026-07-28 12:43:16,098 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1109.mp3
[2026-07-28T12:43:16.454+0000] {logging_mixin.py:188} INFO - 2026-07-28 12:43:16,454 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1109.mp3
[2026-07-28T12:43:16.682+0000] {logging_mixin.py:188} INFO - 2026-07-28 12:43:16,682 | INFO     | media.image_downloader | Downloaded background image for scene='office' -> /opt/airflow/output/images/long_1109.jpg
[2026-07-28T12:43:20.550+0000] {logging_mixin.py:188} INFO - 2026-07-28 12:43:20,550 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1110.mp3
[2026-07-28T12:43:21.239+0000] {logging_mixin.py:188} INFO - 2026-07-28 12:43:21,239 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1110.mp3
[2026-07-28T12:43:21.763+0000] {logging_mixin.py:188} INFO - 2026-07-28 12:43:21,763 | INFO     | media.image_downloader | Downloaded background image for scene='street' -> /opt/airflow/output/images/long_1110.jpg
[2026-07-28T12:43:26.411+0000] {logging_mixin.py:188} INFO - 2026-07-28 12:43:26,411 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1111.mp3
[2026-07-28T12:43:26.777+0000] {logging_mixin.py:188} INFO - 2026-07-28 12:43:26,777 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1111.mp3
[2026-07-28T12:43:27.027+0000] {logging_mixin.py:188} INFO - 2026-07-28 12:43:27,026 | INFO     | media.image_downloader | Downloaded background image for scene='office' -> /opt/airflow/output/images/long_1111.jpg
[2026-07-28T12:43:30.446+0000] {logging_mixin.py:188} INFO - 2026-07-28 12:43:30,446 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1112.mp3
