[2026-07-28T12:47:08.489+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-07-28T12:47:08.535+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_5 scheduled__2026-07-27T12:00:00+00:00 [queued]>
[2026-07-28T12:47:08.545+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_5 scheduled__2026-07-27T12:00:00+00:00 [queued]>
[2026-07-28T12:47:08.547+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 3
[2026-07-28T12:47:08.566+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): build_long_video_5> on 2026-07-27 12:00:00+00:00
[2026-07-28T12:47:08.573+0000] {standard_task_runner.py:64} INFO - Started process 21142 to run task
[2026-07-28T12:47:08.576+0000] {standard_task_runner.py:90} INFO - Running: ['airflow', 'tasks', 'run', 'youtube_english_video_pipeline', 'build_long_video_5', 'scheduled__2026-07-27T12:00:00+00:00', '--job-id', '510', '--raw', '--subdir', 'DAGS_FOLDER/youtube_pipeline.py', '--cfg-path', '/tmp/tmpwfljq5tq']
[2026-07-28T12:47:08.579+0000] {standard_task_runner.py:91} INFO - Job 510: Subtask build_long_video_5
[2026-07-28T12:47:08.670+0000] {task_command.py:426} INFO - Running <TaskInstance: youtube_english_video_pipeline.build_long_video_5 scheduled__2026-07-27T12:00:00+00:00 [running]> on host cc859d74cf38
[2026-07-28T12:47:08.920+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='taky' AIRFLOW_CTX_DAG_ID='youtube_english_video_pipeline' AIRFLOW_CTX_TASK_ID='build_long_video_5' AIRFLOW_CTX_EXECUTION_DATE='2026-07-27T12:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-07-27T12:00:00+00:00'
[2026-07-28T12:47:08.923+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-07-28T12:47:10.807+0000] {logging_mixin.py:188} INFO - 2026-07-28 12:47:10,807 | INFO     | planner.video_planner | Planned LONG video: topic='Shopping English', phrases=20
[2026-07-28T12:47:11.274+0000] {logging_mixin.py:188} INFO - 2026-07-28 12:47:11,274 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1135.mp3
[2026-07-28T12:47:11.662+0000] {logging_mixin.py:188} INFO - 2026-07-28 12:47:11,662 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1135.mp3
[2026-07-28T12:47:11.955+0000] {logging_mixin.py:188} INFO - 2026-07-28 12:47:11,955 | INFO     | media.image_downloader | Downloaded background image for scene='store' -> /opt/airflow/output/images/long_1135.jpg
[2026-07-28T12:47:17.651+0000] {logging_mixin.py:188} INFO - 2026-07-28 12:47:17,651 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1140.mp3
[2026-07-28T12:47:18.133+0000] {logging_mixin.py:188} INFO - 2026-07-28 12:47:18,133 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1140.mp3
[2026-07-28T12:47:18.532+0000] {logging_mixin.py:188} INFO - 2026-07-28 12:47:18,532 | INFO     | media.image_downloader | Downloaded background image for scene='shopping' -> /opt/airflow/output/images/long_1140.jpg
[2026-07-28T12:47:35.516+0000] {logging_mixin.py:188} INFO - 2026-07-28 12:47:35,516 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1141.mp3
[2026-07-28T12:47:36.105+0000] {logging_mixin.py:188} INFO - 2026-07-28 12:47:36,105 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1141.mp3
[2026-07-28T12:47:36.501+0000] {logging_mixin.py:188} INFO - 2026-07-28 12:47:36,500 | INFO     | media.image_downloader | Downloaded background image for scene='store' -> /opt/airflow/output/images/long_1141.jpg
[2026-07-28T12:47:41.531+0000] {logging_mixin.py:188} INFO - 2026-07-28 12:47:41,531 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1249.mp3
[2026-07-28T12:47:41.941+0000] {logging_mixin.py:188} INFO - 2026-07-28 12:47:41,941 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1249.mp3
