[2026-07-28T12:51:08.042+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-07-28T12:51:08.076+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_6 scheduled__2026-07-27T12:00:00+00:00 [queued]>
[2026-07-28T12:51:08.084+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_6 scheduled__2026-07-27T12:00:00+00:00 [queued]>
[2026-07-28T12:51:08.087+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 3
[2026-07-28T12:51:08.103+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): build_long_video_6> on 2026-07-27 12:00:00+00:00
[2026-07-28T12:51:08.110+0000] {standard_task_runner.py:64} INFO - Started process 24580 to run task
[2026-07-28T12:51:08.113+0000] {standard_task_runner.py:90} INFO - Running: ['airflow', 'tasks', 'run', 'youtube_english_video_pipeline', 'build_long_video_6', 'scheduled__2026-07-27T12:00:00+00:00', '--job-id', '515', '--raw', '--subdir', 'DAGS_FOLDER/youtube_pipeline.py', '--cfg-path', '/tmp/tmpy02mkws0']
[2026-07-28T12:51:08.118+0000] {standard_task_runner.py:91} INFO - Job 515: Subtask build_long_video_6
[2026-07-28T12:51:08.214+0000] {task_command.py:426} INFO - Running <TaskInstance: youtube_english_video_pipeline.build_long_video_6 scheduled__2026-07-27T12:00:00+00:00 [running]> on host cc859d74cf38
[2026-07-28T12:51:08.434+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='taky' AIRFLOW_CTX_DAG_ID='youtube_english_video_pipeline' AIRFLOW_CTX_TASK_ID='build_long_video_6' AIRFLOW_CTX_EXECUTION_DATE='2026-07-27T12:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-07-27T12:00:00+00:00'
[2026-07-28T12:51:08.436+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-07-28T12:51:09.633+0000] {logging_mixin.py:188} INFO - 2026-07-28 12:51:09,633 | INFO     | planner.video_planner | Planned LONG video: topic='Travel English', phrases=18
[2026-07-28T12:51:09.960+0000] {logging_mixin.py:188} INFO - 2026-07-28 12:51:09,960 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1142.mp3
[2026-07-28T12:51:10.353+0000] {logging_mixin.py:188} INFO - 2026-07-28 12:51:10,353 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1142.mp3
[2026-07-28T12:51:10.582+0000] {logging_mixin.py:188} INFO - 2026-07-28 12:51:10,582 | INFO     | media.image_downloader | Downloaded background image for scene='street' -> /opt/airflow/output/images/long_1142.jpg
[2026-07-28T12:51:14.859+0000] {logging_mixin.py:188} INFO - 2026-07-28 12:51:14,859 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1150.mp3
[2026-07-28T12:51:15.249+0000] {logging_mixin.py:188} INFO - 2026-07-28 12:51:15,249 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1150.mp3
[2026-07-28T12:51:15.479+0000] {logging_mixin.py:188} INFO - 2026-07-28 12:51:15,479 | INFO     | media.image_downloader | Downloaded background image for scene='cafe' -> /opt/airflow/output/images/long_1150.jpg
[2026-07-28T12:51:19.928+0000] {logging_mixin.py:188} INFO - 2026-07-28 12:51:19,928 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1160.mp3
[2026-07-28T12:51:20.340+0000] {logging_mixin.py:188} INFO - 2026-07-28 12:51:20,340 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1160.mp3
[2026-07-28T12:51:20.602+0000] {logging_mixin.py:188} INFO - 2026-07-28 12:51:20,602 | INFO     | media.image_downloader | Downloaded background image for scene='bus' -> /opt/airflow/output/images/long_1160.jpg
[2026-07-28T12:51:24.265+0000] {logging_mixin.py:188} INFO - 2026-07-28 12:51:24,265 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1165.mp3
[2026-07-28T12:51:24.833+0000] {logging_mixin.py:188} INFO - 2026-07-28 12:51:24,833 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1165.mp3
[2026-07-28T12:51:25.381+0000] {logging_mixin.py:188} INFO - 2026-07-28 12:51:25,381 | INFO     | media.image_downloader | Downloaded background image for scene='airport' -> /opt/airflow/output/images/long_1165.jpg
[2026-07-28T12:51:29.192+0000] {logging_mixin.py:188} INFO - 2026-07-28 12:51:29,192 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1168.mp3
[2026-07-28T12:51:29.565+0000] {logging_mixin.py:188} INFO - 2026-07-28 12:51:29,565 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1168.mp3
[2026-07-28T12:51:29.913+0000] {logging_mixin.py:188} INFO - 2026-07-28 12:51:29,913 | INFO     | media.image_downloader | Downloaded background image for scene='city' -> /opt/airflow/output/images/long_1168.jpg
[2026-07-28T12:51:33.901+0000] {logging_mixin.py:188} INFO - 2026-07-28 12:51:33,901 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1172.mp3
[2026-07-28T12:51:34.436+0000] {logging_mixin.py:188} INFO - 2026-07-28 12:51:34,436 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1172.mp3
[2026-07-28T12:51:34.850+0000] {logging_mixin.py:188} INFO - 2026-07-28 12:51:34,849 | INFO     | media.image_downloader | Downloaded background image for scene='airport' -> /opt/airflow/output/images/long_1172.jpg
[2026-07-28T12:51:38.389+0000] {logging_mixin.py:188} INFO - 2026-07-28 12:51:38,389 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1175.mp3
[2026-07-28T12:51:39.053+0000] {logging_mixin.py:188} INFO - 2026-07-28 12:51:39,053 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1175.mp3
[2026-07-28T12:51:39.494+0000] {logging_mixin.py:188} INFO - 2026-07-28 12:51:39,494 | INFO     | media.image_downloader | Downloaded background image for scene='taxi' -> /opt/airflow/output/images/long_1175.jpg
[2026-07-28T12:51:43.570+0000] {logging_mixin.py:188} INFO - 2026-07-28 12:51:43,570 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1181.mp3
[2026-07-28T12:51:44.030+0000] {logging_mixin.py:188} INFO - 2026-07-28 12:51:44,030 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1181.mp3
[2026-07-28T12:51:44.612+0000] {logging_mixin.py:188} INFO - 2026-07-28 12:51:44,612 | INFO     | media.image_downloader | Downloaded background image for scene='street' -> /opt/airflow/output/images/long_1181.jpg
[2026-07-28T12:51:49.410+0000] {logging_mixin.py:188} INFO - 2026-07-28 12:51:49,410 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1185.mp3
[2026-07-28T12:51:49.947+0000] {logging_mixin.py:188} INFO - 2026-07-28 12:51:49,947 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1185.mp3
[2026-07-28T12:51:50.217+0000] {logging_mixin.py:188} INFO - 2026-07-28 12:51:50,217 | INFO     | media.image_downloader | Downloaded background image for scene='taxi' -> /opt/airflow/output/images/long_1185.jpg
[2026-07-28T12:51:54.194+0000] {logging_mixin.py:188} INFO - 2026-07-28 12:51:54,194 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1189.mp3
