[2026-07-28T12:59:11.831+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-07-28T12:59:11.863+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_9 scheduled__2026-07-27T12:00:00+00:00 [queued]>
[2026-07-28T12:59:11.875+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_9 scheduled__2026-07-27T12:00:00+00:00 [queued]>
[2026-07-28T12:59:11.879+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 3
[2026-07-28T12:59:11.895+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): build_long_video_9> on 2026-07-27 12:00:00+00:00
[2026-07-28T12:59:11.900+0000] {standard_task_runner.py:64} INFO - Started process 33305 to run task
[2026-07-28T12:59:11.902+0000] {standard_task_runner.py:90} INFO - Running: ['airflow', 'tasks', 'run', 'youtube_english_video_pipeline', 'build_long_video_9', 'scheduled__2026-07-27T12:00:00+00:00', '--job-id', '530', '--raw', '--subdir', 'DAGS_FOLDER/youtube_pipeline.py', '--cfg-path', '/tmp/tmp_2sdgpfk']
[2026-07-28T12:59:11.904+0000] {standard_task_runner.py:91} INFO - Job 530: Subtask build_long_video_9
[2026-07-28T12:59:11.977+0000] {task_command.py:426} INFO - Running <TaskInstance: youtube_english_video_pipeline.build_long_video_9 scheduled__2026-07-27T12:00:00+00:00 [running]> on host cc859d74cf38
[2026-07-28T12:59:12.202+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='taky' AIRFLOW_CTX_DAG_ID='youtube_english_video_pipeline' AIRFLOW_CTX_TASK_ID='build_long_video_9' AIRFLOW_CTX_EXECUTION_DATE='2026-07-27T12:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-07-27T12:00:00+00:00'
[2026-07-28T12:59:12.205+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-07-28T12:59:13.866+0000] {logging_mixin.py:188} INFO - 2026-07-28 12:59:13,866 | INFO     | planner.video_planner | Only 12 phrases for topic='Daily Conversation', topping up without topic filter
[2026-07-28T12:59:13.890+0000] {logging_mixin.py:188} INFO - 2026-07-28 12:59:13,890 | INFO     | planner.video_planner | Planned LONG video: topic='Mixed English Expressions', phrases=20
[2026-07-28T12:59:14.362+0000] {logging_mixin.py:188} INFO - 2026-07-28 12:59:14,362 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1145.mp3
[2026-07-28T12:59:14.903+0000] {logging_mixin.py:188} INFO - 2026-07-28 12:59:14,903 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1145.mp3
[2026-07-28T12:59:15.197+0000] {logging_mixin.py:188} INFO - 2026-07-28 12:59:15,197 | INFO     | media.image_downloader | Downloaded background image for scene='hotel' -> /opt/airflow/output/images/long_1145.jpg
[2026-07-28T12:59:22.088+0000] {logging_mixin.py:188} INFO - 2026-07-28 12:59:22,088 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1144.mp3
[2026-07-28T12:59:22.933+0000] {logging_mixin.py:188} INFO - 2026-07-28 12:59:22,933 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1144.mp3
[2026-07-28T12:59:23.232+0000] {logging_mixin.py:188} INFO - 2026-07-28 12:59:23,231 | INFO     | media.image_downloader | Downloaded background image for scene='hotel' -> /opt/airflow/output/images/long_1144.jpg
[2026-07-28T12:59:29.693+0000] {logging_mixin.py:188} INFO - 2026-07-28 12:59:29,693 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1159.mp3
[2026-07-28T12:59:30.383+0000] {logging_mixin.py:188} INFO - 2026-07-28 12:59:30,383 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1159.mp3
[2026-07-28T12:59:31.048+0000] {logging_mixin.py:188} INFO - 2026-07-28 12:59:31,048 | INFO     | media.image_downloader | Downloaded background image for scene='cafe' -> /opt/airflow/output/images/long_1159.jpg
[2026-07-28T12:59:35.701+0000] {logging_mixin.py:188} INFO - 2026-07-28 12:59:35,701 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1146.mp3
[2026-07-28T12:59:36.110+0000] {logging_mixin.py:188} INFO - 2026-07-28 12:59:36,109 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1146.mp3
[2026-07-28T12:59:36.381+0000] {logging_mixin.py:188} INFO - 2026-07-28 12:59:36,381 | INFO     | media.image_downloader | Downloaded background image for scene='airport' -> /opt/airflow/output/images/long_1146.jpg
